f1,f2,f3,f4,f5,f6,f7,f8
13.0106180969314,57.1672116532075,-16.7902298338237,-0.337852229465938,-95.4544977231275,-51.4093007500581,-0.632807940593324,-24.705824380968
11.5430556427275,50.4255782309862,-17.222784559569,4.53875241566445,-102.580895586171,-39.8687592616915,-2.38494717146193,-27.0509806964628
17.1622587690538,75.8360262985593,-8.88453163225898,-21.097493954101,-71.8679401925543,-42.056591025869,8.10257643075587,-12.3643878751403
13.0166635114163,57.1834228019788,-16.770243769625,-0.372373201404116,-95.3749540106423,-51.37047206859,-0.519263662019796,-24.5597551853097
10.8646631363339,48.5233330787943,-21.0927743568728,6.91544418419002,-101.305231342423,-53.7628621516113,-2.95322110079195,-26.880819786998
12.9950496861888,57.047186555238,-16.8280762866035,-0.285012604364113,-95.3798272743146,-51.4163719956236,-0.379013709680208,-24.2811737043308
12.9982254732301,57.1145399237377,-16.7943905664056,-0.304747997926938,-95.4671054137549,-51.4123403813345,-0.545617010229307,-24.6201796587886
12.9246573755734,53.6374778350432,-14.030061060338,-0.20614730411674,-96.3512493021319,-51.3372017969994,-0.710223774029458,-24.3782221757125
13.0223824613836,57.1989680701236,-16.7394371183723,-0.414734701794686,-95.2740522864179,-51.32049992856,-0.402961172651487,-24.418019043673
13.0105287768442,57.1661063035141,-16.7907957688121,-0.337433995406144,-95.4533096423511,-51.406141623794,-0.628783359252225,-24.6985477957731
14.2734576256825,62.2765871591243,-15.6269742697584,-3.73927348219931,-95.7813528769801,-54.6317075865816,-3.52946428671572,-29.638673463987
12.2325332712297,56.5312126989952,-15.5380652893024,-0.892133690440176,-89.567154510633,-45.516608016278,3.43235023047751,-17.8129500186698
11.2298541309208,50.4495412719828,-17.2069308431991,3.22720386227022,-93.3052947020466,-45.9618668573117,3.81107439216461,-17.1080784808524
9.43120066580639,44.0223708404093,-18.0004935574572,6.69906349131585,-91.6076975585695,-41.2400254966711,7.65492176829787,-10.5951537983939
9.55244241730557,40.5309429310242,-20.6740821896986,11.2790857066789,-109.771886277845,-52.6276173737803,-5.77651320843964,-30.6499191041175
14.3735710413874,63.6372437519559,-13.5374075062508,-7.2774806982311,-85.5847325783444,-46.9063867592409,3.78437471969048,-18.2796920413888
14.8358257339597,64.7583800648822,-10.6841772254074,-9.61849090572753,-85.3013981258221,-37.689422179771,4.97565078846588,-17.0137349937524
12.4297898534934,54.9329407817683,-14.9191321857845,-0.43069224454959,-92.1364896472611,-45.6260235266869,3.06619702622598,-18.7588041651823
12.3197967265918,54.5316271008924,-14.5712717676355,-0.452229470090685,-91.5200795202554,-44.4733719989322,3.7321865964729,-17.6923717164011
12.2033438880581,54.1218010769006,-14.1552440525163,-0.518547661803609,-90.768858209619,-43.0279463401467,4.42466610297342,-16.5170556526226
