disp f1,disp f2,disp f3,disp f4,disp f5,disp f6
5.64397918587981e-07,5.04712200524843e-07,4.99817914768474e-07,4.99484486833489e-07,4.27459016954182e-07,3.46170682053764e-07
5.66098413676394e-07,4.57463706642977e-07,5.10557850704961e-07,4.54473524808929e-07,4.47640199864087e-07,3.7729868556178e-07
5.68531190269706e-07,4.26019601528109e-07,5.20156008665771e-07,4.24754844304598e-07,4.6379124918408e-07,4.01148363416059e-07
5.68549267657597e-07,4.25471415302339e-07,5.20233197600788e-07,4.24203859457718e-07,4.64038561288e-07,4.01385017346816e-07
5.67992581543126e-07,4.0509799011417e-07,5.22584035095916e-07,4.0407426499251e-07,4.70367333010103e-07,4.12586659492272e-07
5.7072819099765e-07,3.61538165495544e-07,5.34446869947814e-07,3.61888597797468e-07,4.90825595941418e-07,4.43452672981206e-07
5.70766181523275e-07,3.60276895984554e-07,5.34660880602581e-07,3.60633311873955e-07,4.91295873861022e-07,4.43987693578019e-07
5.70915732718759e-07,3.12577233820359e-07,5.42164541732485e-07,3.13266564376435e-07,5.07376124098361e-07,4.70802457293846e-07
5.72244433704569e-07,2.58136994144847e-07,5.52030481701204e-07,2.59005999572143e-07,5.25837851598516e-07,5.00250675541191e-07
5.73314018039886e-07,1.93847677921492e-07,5.61525390803409e-07,1.94191562681381e-07,5.43248455431379e-07,5.2848645955012e-07
5.73816946779999e-07,1.27480258282531e-07,5.68711564208738e-07,1.26690808598374e-07,5.55864578158002e-07,5.4956890421879e-07
5.7363996222902e-07,6.08855037916133e-08,5.72942965830739e-07,5.8571059119416e-08,5.6239818207854e-07,5.61437553011747e-07
5.72625317090943e-07,2.95825740875158e-07,5.47615474035329e-07,2.96896792833957e-07,5.15630987137583e-07,4.82696867256112e-07
5.74031737893729e-07,2.30186192524366e-07,5.58692193061423e-07,2.3102971650319e-07,5.36201355717687e-07,5.15718164928225e-07
5.74032138230628e-07,2.29877537283367e-07,5.58666743348463e-07,2.30690936778132e-07,5.36154381822616e-07,5.15337437694806e-07
5.61375754840733e-07,3.07743706791191e-07,5.43352283250343e-07,3.15679511974711e-07,4.87685789041221e-07,4.57137931369712e-07
5.74828406414877e-07,1.65471757905315e-07,5.67088212734392e-07,1.65456924589896e-07,5.513214238318e-07,5.40566463493573e-07
5.74831842427794e-07,1.64118734469029e-07,5.67155995823732e-07,1.64041888958165e-07,5.51408367887059e-07,5.40409789012255e-07
5.65269732134833e-07,2.41834730271076e-07,5.55376959552334e-07,2.49990396700594e-07,5.14410371615632e-07,4.95873488305032e-07
5.6517945852454e-07,2.43340241565701e-07,5.55061366304201e-07,2.51509301058693e-07,5.1362371506127e-07,4.94539738987401e-07
5.61435772118401e-07,3.06910180449514e-07,5.43580693172453e-07,3.14838598679184e-07,4.88279329384743e-07,4.58129081857187e-07
5.57119339625985e-07,3.72051802576498e-07,5.29684472029112e-07,3.78838304845007e-07,4.57916328030871e-07,4.14136930317485e-07
5.66137362766201e-07,4.91239954022593e-07,5.05122923119427e-07,4.87159865361108e-07,4.35518195253016e-07,3.57542959207222e-07
5.66159340700586e-07,4.9058168089509e-07,5.05225855116844e-07,4.86518897603007e-07,4.35850660928795e-07,3.57954945458029e-07
5.72632626654638e-07,2.9540295319425e-07,5.47630783983319e-07,2.96455025343107e-07,5.15691274614551e-07,4.82524462451448e-07
5.68544822461515e-07,1.76747215631853e-07,5.64724899523615e-07,1.84308338735075e-07,5.35644194824851e-07,5.26270881974832e-07
5.57056211446796e-07,3.72907670591211e-07,5.29495857573926e-07,3.79608535411619e-07,4.57614659439203e-07,4.13726968605965e-07
5.75016085887628e-07,1.01530835639156e-07,5.7289529625498e-07,1.00210430795299e-07,5.61094550465075e-07,5.57325013253524e-07
5.75007154019412e-07,1.00757806742871e-07,5.72865695382369e-07,9.93670966482702e-08,5.60975563993381e-07,5.56798644296945e-07
5.52428179007466e-07,4.37737861083642e-07,5.14306415641204e-07,4.42332616547512e-07,4.2492515567073e-07,3.66459594879155e-07
5.63596829180298e-07,5.62676250257667e-07,4.89053818961754e-07,5.54924137902819e-07,4.05316589210564e-07,3.11008555800999e-07
5.63588837984478e-07,5.62670609224495e-07,4.88981781127832e-07,5.54888725587087e-07,4.05360182046629e-07,3.10995332279631e-07
5.7114921190312e-07,1.14155083675669e-07,5.71230401974333e-07,1.2046679251124e-07,5.50975651433469e-07,5.47437038683537e-07
5.68499585112932e-07,1.77566192492124e-07,5.64549080450014e-07,1.85142501171978e-07,5.35174038143416e-07,5.25342950697185e-07
5.52419950011995e-07,4.38151885541687e-07,5.14298377737609e-07,4.4280676931012e-07,4.24802315641001e-07,3.66386462126052e-07
5.47713289568482e-07,5.02430430028454e-07,4.9886070208225e-07,5.0382533328521e-07,3.92078590017506e-07,3.19462780583672e-07
5.47703076091297e-07,5.02530860468145e-07,4.9883283466352e-07,5.03925198992282e-07,3.91929794024184e-07,3.19425956410749e-07
5.42528120435829e-07,5.75100887446483e-07,4.82016325476296e-07,5.72433203507158e-07,3.56336763504084e-07,2.68592435209445e-07
5.42513192372481e-07,5.75140495208514e-07,4.81951293396656e-07,5.72518059055872e-07,3.56049969616216e-07,2.68372134473375e-07
5.74433052967195e-07,4.35118989222094e-08,5.75496630739758e-07,4.16293525104571e-08,5.64145762455305e-07,5.63640235612888e-07
5.7322033055155e-07,5.22079395621121e-08,5.75087745352931e-07,5.60146634203006e-08,5.61250688854942e-07,5.61419695012447e-07
5.73122078806611e-07,5.49945081056844e-08,5.74885777843043e-07,5.89540027736626e-08,5.60653342368777e-07,5.60290770504189e-07
5.71292944744223e-07,1.10484045870286e-07,5.71615494570823e-07,1.16709828050543e-07,5.5196879917108e-07,5.49150634072529e-07
5.74470198345272e-07,4.47579674676579e-08,5.75556491835472e-07,4.29080713949621e-08,5.64381567894375e-07,5.64282334599078e-07
5.5715397955991e-07,3.51944408312329e-07,5.31885348712513e-07,3.58874434566973e-07,4.65194460008308e-07,4.25776359878846e-07
5.53406450494001e-07,4.05700351333722e-07,5.19629662192903e-07,4.11050198668719e-07,4.38696745953241e-07,3.87417405480355e-07
5.48909894803821e-07,4.67587794784219e-07,5.04816267576903e-07,4.70275852658846e-07,4.0699041892191e-07,3.41768308058416e-07
5.44836809902971e-07,5.23557671879423e-07,4.91469600237893e-07,5.23150669811919e-07,3.78605514170443e-07,3.01172336894922e-07
5.72725362675704e-07,6.31230529574524e-09,5.73987332928303e-07,1.03873514958179e-08,5.62351395532658e-07,5.63303569100183e-07
5.71170048201368e-07,7.12487125999809e-08,5.72053223922896e-07,7.6955888419479e-08,5.56254300843797e-07,5.5587937136172e-07
5.69319170989451e-07,1.26124875525477e-07,5.68066750802247e-07,1.32973215003574e-07,5.46281678319926e-07,5.42262648068353e-07
5.65036076148077e-07,2.20786114359505e-07,5.56433616287356e-07,2.28762073817664e-07,5.19388581857847e-07,5.04074407514152e-07
5.62802478377569e-07,2.61831039403969e-07,5.49754560554918e-07,2.69870569918298e-07,5.04426335719087e-07,4.82543986975711e-07
5.28381612555837e-07,4.29571207960013e-07,4.85312307103303e-07,4.25161567452603e-07,4.01259091668295e-07,3.49432564901719e-07
5.45555976027219e-07,1.08060823938665e-07,5.39956620607752e-07,1.11942422453576e-07,5.24880101933658e-07,5.29159545599997e-07
5.49208442954625e-07,8.27275284039891e-08,5.42185195877995e-07,7.94509930285217e-08,5.35725660709981e-07,5.40417552205007e-07
5.44063882147111e-07,4.12165753138455e-07,4.92107709913649e-07,4.02760110018697e-07,4.40929864713268e-07,3.86515240686339e-07
5.44056489467968e-07,4.11540396425626e-07,4.92177451327367e-07,4.02147427382959e-07,4.41200770116876e-07,3.86752709898665e-07
5.36371405965368e-07,2.87299357038213e-07,5.14202456050961e-07,2.88431453941681e-07,4.67005214215804e-07,4.46386440473928e-07
5.26680038716984e-07,4.43463175004586e-07,4.80883275079046e-07,4.3783949059918e-07,3.9263404473174e-07,3.37299770531336e-07
5.39005124402368e-07,2.6314365352272e-07,5.20892048037007e-07,2.65497959288007e-07,4.79410028374842e-07,4.63283921621182e-07
5.48724967130623e-07,2.33765283657411e-07,5.2723680449946e-07,2.30069404214087e-07,5.08067081860205e-07,4.93078810999237e-07
5.46803331264263e-07,2.6115465711402e-07,5.20265713992983e-07,2.56313653773245e-07,4.97117369723042e-07,4.77100705378104e-07
5.48710226056926e-07,2.33523496785406e-07,5.27319797870603e-07,2.29849753530381e-07,5.0824639819083e-07,4.93701970267758e-07
5.38950919193995e-07,2.56785041599731e-07,5.21584211209646e-07,2.59248903883596e-07,4.81751517152e-07,4.67193589910591e-07
5.46485298007975e-07,8.79996123765762e-08,5.4220059110638e-07,9.19426438627321e-08,5.29658927997738e-07,5.35170841800547e-07
5.40221646055221e-07,4.41915769016108e-07,4.8044667437161e-07,4.29690041090573e-07,4.22187398282299e-07,3.59477766324884e-07
5.46352748659905e-07,8.3989243981841e-08,5.42216007864695e-07,8.79443084578026e-08,5.30300670127367e-07,5.3655244781691e-07
5.48800887676271e-07,1.15384178966515e-07,5.39972561633967e-07,1.12170002714824e-07,5.31946816632552e-07,5.3370174065691e-07
5.48341904289255e-07,6.55045020412759e-08,5.42934473548675e-07,6.31861926762268e-08,5.36766448081759e-07,5.43176705199266e-07
5.47972125436283e-07,6.1572744340673e-08,5.42617976709833e-07,5.92826998205375e-08,5.36393128783851e-07,5.42679303817464e-07
5.48151962303005e-07,1.19324526617278e-07,5.38939693784035e-07,1.16047393824909e-07,5.30918146739374e-07,5.32895133391681e-07
5.36842850436055e-07,2.27661158943243e-07,5.21350618307741e-07,2.30106483561814e-07,4.87872060490461e-07,4.78935612843171e-07
5.44618686334335e-07,2.92816924361288e-07,5.13419967170581e-07,2.86700514192152e-07,4.8536286253108e-07,4.59443355758784e-07
