disp f1,disp f2,disp f3,disp f4,disp f5,disp f6
4.24392792126359e-07,5.52987210863867e-07,4.28285320700682e-07,5.14471600090077e-07,4.34228363611089e-07,4.79326491965759e-07
3.75406996144006e-07,5.55513671980587e-07,3.80280165373433e-07,5.23364383054506e-07,3.8803562094475e-07,4.95208274540859e-07
2.69625990430068e-07,5.60299421396654e-07,2.75208657025956e-07,5.40185893853262e-07,2.84474029910648e-07,5.2474421880585e-07
2.17238358189789e-07,5.62337456533052e-07,2.22295909567732e-07,5.47398185677085e-07,2.31115053682102e-07,5.37173761716238e-07
1.52424510129779e-07,5.64464722986639e-07,1.56394489733532e-07,5.54991183969841e-07,1.64007577863667e-07,5.49996095179699e-07
8.6705031219576e-08,5.66111074562866e-07,8.92587621131171e-08,5.6088685614388e-07,9.50677807394499e-08,5.59380438378775e-07
3.0282335847129e-08,5.67144936514328e-07,3.10366226461363e-08,5.64697115812654e-07,3.46524669020336e-08,5.65015312015636e-07
6.87798739211729e-08,5.67992057746924e-07,7.07846316512174e-08,5.67911072625324e-07,7.05931890716153e-08,5.67834127304463e-07
6.38738407831486e-08,5.68367061506906e-07,6.55217268827653e-08,5.67128725817446e-07,7.04098979739243e-08,5.68973777293062e-07
9.81749676333545e-08,5.69584117294467e-07,1.00351833849728e-07,5.71714401989726e-07,1.00641170433179e-07,5.72842900852576e-07
1.66527259477647e-07,5.69294486871614e-07,1.70776676823164e-07,5.70865354070264e-07,1.73298630840139e-07,5.68448337026313e-07
2.99735882817395e-07,5.67082580989875e-07,3.05025674443837e-07,5.63237659370481e-07,3.07814879607311e-07,5.48147818719456e-07
3.99000265612241e-07,5.55829718378753e-07,4.04220671209164e-07,5.22374250699738e-07,4.12377429740379e-07,4.92195230570244e-07
1.28445881582441e-07,5.6684660699558e-07,1.32094059654414e-07,5.61609537376445e-07,1.39690275974944e-07,5.60431902925395e-07
4.11580358433887e-08,5.6933590104048e-07,4.14634966530854e-08,5.70711145458764e-07,4.0810665560654e-08,5.73470229769683e-07
2.34184448472814e-07,5.68403157523054e-07,2.39333748469224e-07,5.67869435527689e-07,2.42526070305485e-07,5.59990773507278e-07
2.99208827936572e-07,5.67093191685098e-07,3.04509933023979e-07,5.63327118320409e-07,3.07314709285924e-07,5.48401630894882e-07
3.6065017743327e-07,5.65496509846483e-07,3.6543880459498e-07,5.5758616696056e-07,3.66906941711771e-07,5.34337635430168e-07
4.25376740717532e-07,5.63533321447781e-07,4.27828105721438e-07,5.50667084222314e-07,4.25329303445374e-07,5.18295385595286e-07
5.69272250624611e-07,5.47171746472782e-07,5.6974725539024e-07,4.91732100809115e-07,5.702226422698e-07,4.36954596144872e-07
5.69275002032908e-07,5.47203424622717e-07,5.69783302316314e-07,4.91852772707703e-07,5.70351665801546e-07,4.37276469373e-07
4.77175370241243e-07,5.51664044968046e-07,4.8032566578353e-07,5.07641532281812e-07,4.84834789394532e-07,4.65642461432925e-07
1.93041250181985e-07,5.64892784239914e-07,1.98010322110098e-07,5.54588794061253e-07,2.07187076597743e-07,5.48733376118204e-07
5.84006332573353e-08,5.68492732135747e-07,5.97021558109549e-08,5.67528412082125e-07,6.40409137323258e-08,5.69428178597025e-07
3.93633773070441e-08,5.69265667601851e-07,3.94195412470544e-08,5.70428294408955e-07,3.86128448125553e-08,5.72937803664402e-07
2.33034854934494e-07,5.68417471381223e-07,2.3816824166841e-07,5.67968172245825e-07,2.41339195397283e-07,5.60275569440995e-07
3.58895463988842e-07,5.65540673683971e-07,3.63710752570963e-07,5.57780397096178e-07,3.65227966984168e-07,5.34817922601822e-07
4.23894955220085e-07,5.63571094857018e-07,4.26419689638311e-07,5.50849860303504e-07,4.24025851678388e-07,5.1877040985283e-07
4.92139852824573e-07,5.61337597911983e-07,4.91508664546992e-07,5.42763016455931e-07,4.84031475262245e-07,4.99921148031215e-07
4.92653242008839e-07,5.61367452368954e-07,4.91951806839063e-07,5.42865693456549e-07,4.84442037826641e-07,5.00122395055298e-07
5.59624722952712e-07,5.59821962339936e-07,5.55404611582133e-07,5.37435344143124e-07,5.43342827461441e-07,4.86781096146566e-07
5.59580109947185e-07,5.59871497233063e-07,5.55327102486824e-07,5.37605628243571e-07,5.43300978656844e-07,4.8712498890186e-07
4.80269877546808e-07,5.51515097180338e-07,4.83416245923782e-07,5.07074033534463e-07,4.8790116017381e-07,4.64643396858202e-07
3.25834936348416e-07,5.59555831481877e-07,3.31866326669268e-07,5.35636157160635e-07,3.42001532200946e-07,5.15907643110698e-07
2.51927760478076e-07,5.62645237523797e-07,2.58085660908163e-07,5.46505457398526e-07,2.68576163026277e-07,5.34809755909231e-07
1.85960185829891e-07,5.65138479210517e-07,1.9072595577034e-07,5.55421810772559e-07,1.99636642447495e-07,5.50081860478224e-07
9.61824790554976e-08,5.69576679988234e-07,9.83489736825382e-08,5.71723280028662e-07,9.85910843162636e-08,5.72968189426218e-07
1.65452092507061e-07,5.69299241107785e-07,1.69642108153318e-07,5.70932792494834e-07,1.72074182087541e-07,5.68677611506089e-07
3.31047441766201e-07,5.59325742105725e-07,3.36987832635957e-07,5.34875806821346e-07,3.46996267829993e-07,5.14583336661362e-07
2.57414005038711e-07,5.62426846653564e-07,2.63586643964118e-07,5.45774074682851e-07,2.74115357934452e-07,5.33566044115302e-07
4.00110542532757e-07,5.55814713533299e-07,4.05261608886855e-07,5.22376553646443e-07,4.13406514866265e-07,4.92221415253486e-07
1.2105334837188e-07,5.67044097140645e-07,1.24576509825822e-07,5.6227015256657e-07,1.32033073315217e-07,5.61441167284155e-07
1.26726012810118e-07,5.67912238319504e-07,1.30286588061817e-07,5.67746164193182e-07,1.31914353745177e-07,5.65317678207839e-07
1.82517230089781e-07,5.67482477601637e-07,1.87195499566377e-07,5.66332550802255e-07,1.89983375823678e-07,5.60377296417393e-07
2.77371523485591e-07,5.65939176214762e-07,2.82732785804841e-07,5.61016508024156e-07,2.85643377294954e-07,5.46144157856965e-07
3.30364958414861e-07,5.64697253904791e-07,3.35301269299873e-07,5.56656225920502e-07,3.37061174259467e-07,5.3537826563945e-07
3.9126691348982e-07,5.62967303703305e-07,3.94696770002817e-07,5.50628728100012e-07,3.93667694651186e-07,5.21239316781402e-07
4.5469170770605e-07,5.61024605248327e-07,4.55377237413734e-07,5.43621935265707e-07,4.49942306952213e-07,5.04583026251829e-07
5.10794603164947e-07,5.59294834911968e-07,5.08616586978116e-07,5.37534357469937e-07,4.98773784533131e-07,4.9044927963313e-07
3.40018192437803e-07,5.39736245084564e-07,3.38505796120922e-07,5.17809846294833e-07,3.33999301085938e-07,4.86304138037463e-07
1.7192738453326e-08,5.42005900440208e-07,1.56144855265771e-08,5.262390691918e-07,1.64005586892199e-08,5.1701360224592e-07
4.98608518801582e-07,5.32681895466724e-07,4.8691531761516e-07,4.98958804168806e-07,4.69039152776854e-07,4.46003801042035e-07
1.52085171387628e-07,5.39284480317982e-07,1.5402088368098e-07,5.23192279848321e-07,1.54359453784074e-07,5.0852650325462e-07
1.98909540901669e-07,5.34731669443963e-07,1.96670041676427e-07,5.06899184825218e-07,1.97781703674465e-07,4.88627412273233e-07
3.82410321425309e-07,5.26137533530483e-07,3.75961023817788e-07,4.80620261323727e-07,3.73281120723528e-07,4.44912356672469e-07
5.25429135494945e-07,5.29332729784437e-07,5.10166696066264e-07,4.91517947330793e-07,4.8734231888134e-07,4.32303565625305e-07
5.26753920241306e-07,5.30704282496364e-07,5.11975853925505e-07,4.94126403550682e-07,4.89705841562211e-07,4.35461765279049e-07
5.26773009232732e-07,5.30701771493404e-07,5.1200760472359e-07,4.94089144148568e-07,4.89736620785495e-07,4.35363619894197e-07
1.68039217000241e-07,5.3365460385685e-07,1.65726811670959e-07,5.06706247557099e-07,1.66370097360668e-07,4.88909093447615e-07
1.82493413780616e-07,5.36888070342393e-07,1.83697292356132e-07,5.18373508047587e-07,1.83259472819055e-07,4.99469499597916e-07
1.72080257670917e-07,5.35299633631555e-07,1.7037347593323e-07,5.10606312643319e-07,1.72015017737675e-07,4.9474181881354e-07
1.72093380610861e-07,5.35296095463193e-07,1.70426217049864e-07,5.10550922535686e-07,1.72111130647448e-07,4.94613726973635e-07
1.86085678535867e-07,5.38584948077251e-07,1.87417869704391e-07,5.22557095653304e-07,1.87279373368235e-07,5.06001394185161e-07
1.86073360305286e-07,5.38590626438302e-07,1.87390311057743e-07,5.22528021074075e-07,1.87255363673558e-07,5.05905416858085e-07
