rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta,L,W,T
397.7,11562693605.3528,1328539400.82567,430707936.471476,780508298.367517,34177056.4123348,933341951.673988,0.332320270881223,0.973879906472751,0.98063653141796,0,5e-07,0.576,0.216,0.005
2.52211557174367,13.312460724826,19.3679670327997,61.1796100993194,11.5312245509776,39.9262179165445,48.3885606460306,51.6802293578459,72.714358753228,40.1871883867135,NaN,2.11758236813575e-14,1.92747052886312e-14,1.28498035257541e-14,1.73472347597681e-14
