f11_a,f02_a,f12_a,f20_a,f21_a,f21_b,f21_c,f03_a,f03_b,f22_a,f13_a,f30_a,f30_b,f30_c,f23_a,f13_b,f31_a,f31_b,f04_a,f14_a,f14_b,f14_c,f14_d,f32_a,f32_b,f24_a,f33_a,f33_b,f05_a,f05_b,f15_a,f15_b,f40_a,f41_a,f41_b,f34_a,f25_a,f25_b,f35_a,f06_a,f16_a,f42_a,f43_a,f50_a,f51_a
4.88989478231302e-07,4.32110089191411e-07,4.89050243625732e-07,4.89379815278248e-07,4.89278586550665e-07,4.29830173925009e-07,4.88958660088234e-07,4.88754004186491e-07,2.53501376822455e-07,4.88702116129556e-07,4.8919421860173e-07,4.41791569322843e-07,4.69086171840487e-07,4.87974467337688e-07,4.85842445785957e-07,4.89363634605382e-07,4.9019233143784e-07,1.69965802344671e-07,4.89362187035725e-07,4.89321591473326e-07,4.86508424028308e-07,2.21078686320718e-07,4.89326102077913e-07,4.89953947002883e-07,4.89546111834095e-07,4.89398265210649e-07,4.89987281402906e-07,4.89564411167772e-07,4.22709598025204e-07,4.89900248310783e-07,4.89215756067157e-07,2.35696243707813e-08,4.8861224586621e-07,4.74521043118651e-07,1.78397117393407e-07,4.89988713853037e-07,4.89549932104044e-07,1.4994779436671e-07,4.89100627919635e-07,4.82084849495794e-07,4.88975828852718e-07,4.85449757251728e-07,4.65543191270923e-07,4.71519348084674e-07,4.9010870848807e-07
4.64798524511875e-07,4.36993928239502e-07,4.69892817886527e-07,4.30736853817686e-07,4.24122259016014e-07,3.59595716359074e-07,4.48438173064641e-07,4.80702535878171e-07,1.96543909511547e-07,4.31571981387217e-07,4.78455670812228e-07,3.38376060354043e-07,3.72185413168138e-07,4.21986974574175e-07,4.35755825848355e-07,4.38662858417645e-07,3.88639277151872e-07,9.33117196188182e-08,4.88378124935476e-07,4.57114722027898e-07,4.55333184463476e-07,2.44950862061767e-07,4.79124991491229e-07,3.98993354517611e-07,4.25613735176249e-07,4.47607086425719e-07,3.89306897813558e-07,4.28372838619679e-07,4.38093809235118e-07,4.06233541193628e-07,4.69578524661088e-07,6.91331345696511e-08,3.42449911700396e-07,3.25507512758626e-07,1.11254765919308e-07,3.9998419553333e-07,4.39916627686037e-07,1.8351520326049e-07,3.84681505273883e-07,4.84071144607788e-07,4.81384111235492e-07,3.45719138797984e-07,3.43805369734708e-07,2.86229110262989e-07,3.0885110632919e-07
4.40512469395968e-07,4.41853794348628e-07,4.50478677720938e-07,3.72179938000809e-07,3.58905502081671e-07,2.89374595132596e-07,4.07847002309805e-07,4.72572147992783e-07,1.39982782742334e-07,3.74002709050888e-07,4.67235651478755e-07,2.36414784748058e-07,2.75752868353136e-07,3.56153015485753e-07,3.84766904040239e-07,3.87871479810859e-07,2.8781500080611e-07,4.54793176742985e-08,4.87173845493925e-07,4.2438235362231e-07,4.23851534809444e-07,2.68350499935239e-07,4.6839840550843e-07,3.08147561292936e-07,3.61479208986583e-07,4.04329345325303e-07,2.88389205106838e-07,3.66508727395382e-07,4.528998816087e-07,3.23957451863948e-07,4.4913515510858e-07,1.15354191468514e-07,2.11025633151922e-07,1.95472176462549e-07,7.63012983589435e-08,3.08834954592613e-07,3.88899077428398e-07,2.147389827694e-07,2.80484752802615e-07,4.85913211839938e-07,4.73009389680516e-07,2.17460249604113e-07,2.27622793980455e-07,1.41549921753324e-07,1.62719875180455e-07
4.15827651329011e-07,4.46613141219961e-07,4.29988126419107e-07,3.13983814097312e-07,2.93435362898031e-07,2.19209393569493e-07,3.66959452592032e-07,4.64110848000813e-07,8.50835235153303e-08,3.14592119874015e-07,4.53996807808011e-07,1.40551152381188e-07,1.81283558005662e-07,2.90962827610275e-07,3.29994603964871e-07,3.36700202597639e-07,1.90046511786878e-07,1.18497070491809e-07,4.85046188266754e-07,3.89446552629141e-07,3.91085098644122e-07,2.89768772639173e-07,4.55468485742779e-07,2.17783124742605e-07,2.96497063867583e-07,3.54818404736871e-07,1.86476468295002e-07,3.01824641731727e-07,4.65281800846505e-07,2.47512263795933e-07,4.25311624610713e-07,1.64332361009777e-07,1.41398455048766e-07,1.45012965762081e-07,1.76316767277511e-07,2.12885858051583e-07,3.32077343673718e-07,2.36135855373909e-07,1.77220405009784e-07,4.87150527332161e-07,4.61351509597269e-07,1.37302658421344e-07,1.34733527092699e-07,1.67154056816683e-07,1.63874550256663e-07
3.91077623545805e-07,4.51350657738905e-07,4.09321582235439e-07,2.55935094432311e-07,2.2806254098762e-07,1.50074385185973e-07,3.2608100240762e-07,4.55613863595213e-07,3.63287265997055e-08,2.5503464173422e-07,4.40414420829122e-07,5.50004799977414e-08,9.42198332597449e-08,2.26187396079422e-07,2.74793311756705e-07,2.85715350970983e-07,9.97069970971341e-08,1.91448253435308e-07,4.82776343746391e-07,3.54338656058203e-07,3.58226158732931e-07,3.10668180917865e-07,4.42168768086813e-07,1.31930414192926e-07,2.31767079019446e-07,3.04499085565695e-07,9.36083276336558e-08,2.37161919598779e-07,4.77157512887304e-07,1.7283686684393e-07,4.01077737433679e-07,2.12782204774995e-07,8.29497059463702e-08,1.04281116246759e-07,2.7412977379667e-07,1.23454967423165e-07,2.74713889241704e-07,2.55482641564302e-07,8.35172983744836e-08,4.883084455805e-07,4.49211269276983e-07,6.90289102915474e-08,5.50598313927229e-08,1.94228563124578e-07,1.68874758836985e-07
3.65488868883095e-07,4.55807392429766e-07,3.86391418930454e-07,1.99782286973193e-07,1.63941413112874e-07,9.41897137229118e-08,2.85319590352782e-07,4.46657906530141e-07,6.66039576772906e-08,1.9358787885911e-07,4.22413382407069e-07,1.02095021284709e-07,1.02406694771517e-07,1.66746557530818e-07,2.14074325965958e-07,2.37128303835295e-07,1.04918894307642e-07,2.63543215160408e-07,4.78677687331375e-07,3.17017267461535e-07,3.24177436338731e-07,3.24893958865127e-07,4.2411271274946e-07,1.04107489499199e-07,1.70280377676888e-07,2.43782407148772e-07,1.17071714571821e-07,1.72773975036979e-07,4.82522391770964e-07,1.20924509903032e-07,3.71565845738386e-07,2.54436726385972e-07,1.6827782650011e-07,1.88662513066821e-07,3.43614725514879e-07,1.17861192173459e-07,2.1038282753592e-07,2.48461231729456e-07,1.12790803529939e-07,4.88445157075706e-07,4.30866915219132e-07,1.53605062047047e-07,1.45364712822642e-07,2.40214973310683e-07,2.23336190397895e-07
3.39900114220386e-07,4.60264127120626e-07,3.63461255625469e-07,1.43629479514075e-07,9.98202852381278e-08,3.83050422598509e-08,2.44558178297944e-07,4.3770194946507e-07,9.68791887548756e-08,1.32141115984001e-07,4.04412343985016e-07,1.49189562571678e-07,1.10593556283289e-07,1.07305718982214e-07,1.5335534017521e-07,1.88541256699607e-07,1.10130791518151e-07,3.35638176885508e-07,4.7457903091636e-07,2.79695878864867e-07,2.90128713944531e-07,3.3911973681239e-07,4.06056657412106e-07,7.62845648054711e-08,1.08793676334329e-07,1.83065728731849e-07,1.40535101509986e-07,1.08386030475179e-07,4.87887270654625e-07,6.90121529621337e-08,3.42053954043093e-07,2.9609124799695e-07,2.5360594705385e-07,2.73043909886884e-07,4.13099677233087e-07,1.12267416923752e-07,1.46051765830135e-07,2.41439821894611e-07,1.42064308685395e-07,4.88581868570913e-07,4.12522561161282e-07,2.38181213802547e-07,2.35669594252562e-07,2.86201383496789e-07,2.77797621958805e-07
3.13498008562308e-07,4.6434810937153e-07,3.38330451172044e-07,9.38183162137738e-08,7.80536075775844e-08,6.9157137111427e-08,2.05197698477399e-07,4.28677237645428e-07,1.43664657242295e-07,9.0642166962346e-08,3.81900870929799e-07,2.04258058195332e-07,1.57435682665596e-07,7.02929224874265e-08,1.02099099311889e-07,1.45994831014979e-07,1.57117417333284e-07,3.86620239049244e-07,4.69012920980315e-07,2.43217029692181e-07,2.56873120058891e-07,3.43797252979769e-07,3.83301861114596e-07,1.15827519740828e-07,7.2940955511081e-08,1.21832260434757e-07,2.01388712856291e-07,7.6043082336381e-08,4.86065226840348e-07,4.81617492407693e-08,3.09824916354343e-07,3.24559424627205e-07,2.87820551490374e-07,3.00912537948877e-07,4.38119805184214e-07,1.68333470921152e-07,9.9346936367105e-08,2.05978401336637e-07,1.96060770477537e-07,4.87770560114823e-07,3.88677037742714e-07,2.74071184780348e-07,2.83068784663354e-07,2.48740315243769e-07,2.51863705785001e-07
2.86831681303705e-07,4.68311000916399e-07,3.12484756185835e-07,4.60672713360646e-08,7.00460089476305e-08,1.28186153550824e-07,1.66292319295173e-07,4.19630190460859e-07,1.95813568300373e-07,5.56233763634567e-08,3.57924158064687e-07,2.61916937293449e-07,2.16835187118264e-07,4.05660003590682e-08,5.39168838377369e-08,1.05410734849887e-07,2.17674796385576e-07,4.30743658209457e-07,4.62970100595488e-07,2.07011884143608e-07,2.23875178386314e-07,3.45372963132202e-07,3.5902065264816e-07,1.77254655844731e-07,4.54155760191459e-08,6.04309100670083e-08,2.74388746833543e-07,5.41101297491535e-08,4.81908471162558e-07,3.7401994011608e-08,2.76713198657411e-07,3.48743943653671e-07,3.05430645557117e-07,3.10422678351433e-07,4.48695287503102e-07,2.44430063842632e-07,5.83680866113559e-08,1.61278084908422e-07,2.58088622419088e-07,4.86651282097884e-07,3.63044428820451e-07,2.94145178791618e-07,3.1652982239813e-07,1.84170868887842e-07,1.99812913165408e-07
2.59746448456295e-07,4.72002838654075e-07,2.85500508282697e-07,3.16962857235359e-08,8.64196296584485e-08,1.86192408672246e-07,1.29240698103959e-07,4.10860142567847e-07,2.45324341633271e-07,5.62008456991859e-08,3.31497208450326e-07,3.04527400702712e-07,2.61818185576523e-07,3.3022717761126e-08,4.78644496423105e-08,7.01350023231921e-08,2.63790540749896e-07,4.59127969677518e-07,4.56530944187332e-07,1.73009352808594e-07,1.92433962797585e-07,3.40298294463407e-07,3.32288185214747e-07,2.25601429093209e-07,4.02508895773592e-08,4.7448552603103e-08,3.30696526247159e-07,5.3795158361873e-08,4.74413451807726e-07,4.39677169214918e-08,2.43721919265037e-07,3.62515255065768e-07,2.93936830731122e-07,2.88693318443183e-07,4.35159939754792e-07,3.04648357396664e-07,5.64205867529952e-08,1.21399779596561e-07,3.01689169171613e-07,4.85143857910381e-07,3.34853339137627e-07,2.85099641474154e-07,3.17880860112573e-07,1.46555163548911e-07,1.57458070801119e-07
2.32042895881045e-07,4.7529459121559e-07,2.56835715291274e-07,6.65954691216857e-08,1.38780807732873e-07,2.42689031273429e-07,9.49252904346095e-08,4.02498955599932e-07,2.90941128722452e-07,1.09319676007158e-07,3.01453621196332e-07,3.2492586087847e-07,2.85521902256245e-07,5.82232856235005e-08,1.03997089101052e-07,4.26946056045084e-08,2.88589912479461e-07,4.64280791653331e-07,4.4950678154239e-07,1.42257959337215e-07,1.63290530943908e-07,3.25407427270103e-07,3.01937571311536e-07,2.54641115931567e-07,6.80913909641618e-08,1.05934371535987e-07,3.62365937077126e-07,8.53891053779256e-08,4.61991035102773e-07,7.61064692055926e-08,2.10908411145443e-07,3.60916297209395e-07,2.39484598766771e-07,2.20853331591616e-07,3.86036138943496e-07,3.41429709535423e-07,1.12084764300051e-07,8.86389362636248e-08,3.18090350163222e-07,4.83063516003572e-07,3.02885839758166e-07,2.33072627740466e-07,2.71836381978275e-07,1.48724150167154e-07,1.29414800025209e-07
2.04294001926953e-07,4.78543009518765e-07,2.28046250400758e-07,1.01451534736073e-07,1.90559999413944e-07,2.98530452540829e-07,6.12140819256381e-08,3.94221722310879e-07,3.36022256200776e-07,1.61955436734004e-07,2.71130489862963e-07,3.43198442225001e-07,3.07116019655577e-07,8.23326827320159e-08,1.59780466343126e-07,1.6689447275635e-08,3.11287248992705e-07,4.67228148058808e-07,4.42511010272948e-07,1.11934113880255e-07,1.34438369566576e-07,3.09616304463103e-07,2.71316710237966e-07,2.81603550341615e-07,9.47181565732998e-08,1.6444955144776e-07,3.91413428461039e-07,1.15584350087919e-07,4.49390443819097e-07,1.0952894630653e-07,1.7828217779718e-07,3.57814143854041e-07,1.84919858965873e-07,1.55785198524619e-07,3.35163709704506e-07,3.75543563540538e-07,1.67135721066501e-07,6.21265164828817e-08,3.32039901024445e-07,4.80974517150398e-07,2.70673231192962e-07,1.80907637772216e-07,2.23986038652304e-07,1.54750336739518e-07,1.06687139463608e-07
1.75733391346486e-07,4.8101564334241e-07,1.97024867206938e-07,1.35535691271686e-07,2.31920274779098e-07,3.42642238983874e-07,3.83194501649021e-08,3.87447456040424e-07,3.7151382501745e-07,2.05943123213742e-07,2.35802866323449e-07,3.2341282517979e-07,2.90943380626312e-07,8.69075737065539e-08,2.09311233817463e-07,1.63784097159574e-08,2.96353243498464e-07,4.30692517443558e-07,4.36023510964521e-07,8.92643768941394e-08,1.10800630301166e-07,2.77708502625169e-07,2.35857793352891e-07,2.71378312557243e-07,9.96162157357467e-08,2.2349036148678e-07,3.73522435358808e-07,1.20739555298412e-07,4.33600111251869e-07,1.65933097192387e-07,1.49008600443773e-07,3.27801278686092e-07,1.28340966003911e-07,1.40339724941168e-07,2.52986745748055e-07,3.61902968052068e-07,2.11208593002651e-07,1.47475478411945e-07,3.02099544049598e-07,4.78730538729388e-07,2.3407259547854e-07,1.26272550808719e-07,1.43806488793691e-07,2.29829415260522e-07,1.79121322243233e-07
1.47172780766018e-07,4.83488277166056e-07,1.66003484013117e-07,1.69619847807299e-07,2.73280550144251e-07,3.8675402542692e-07,1.54248184041662e-08,3.8067318976997e-07,4.07005393834124e-07,2.49930809693481e-07,2.00475242783935e-07,3.03627208134579e-07,2.74770741597046e-07,9.14824646810919e-08,2.58842001291801e-07,1.60673721562798e-08,2.81419238004223e-07,3.94156886828309e-07,4.29536011656094e-07,6.65946399080238e-08,8.71628910357555e-08,2.45800700787236e-07,2.00398876467815e-07,2.6115307477287e-07,1.04514274898194e-07,2.825311715258e-07,3.55631442256578e-07,1.25894760508905e-07,4.1780977868464e-07,2.22337248078244e-07,1.19735023090366e-07,2.97788413518142e-07,7.17620730419497e-08,1.24894251357716e-07,1.70809781791605e-07,3.48262372563598e-07,2.552814649388e-07,2.32824440341009e-07,2.7215918707475e-07,4.76486560308379e-07,1.97471959764118e-07,7.16374638452214e-08,6.36269389350787e-08,3.04908493781526e-07,2.51555505022857e-07
1.18232969092684e-07,4.85303658933867e-07,1.33845858845185e-07,1.94944020388724e-07,3.04115006530426e-07,4.19617948435197e-07,1.90175731206557e-08,3.75554166124218e-07,4.33415649626288e-07,2.83055186173296e-07,1.62463149865777e-07,2.602708158697e-07,2.34756331047992e-07,8.28024010978744e-08,2.96648439681283e-07,1.60733176581773e-08,2.42887201730714e-07,3.33314479254928e-07,4.24426509464694e-07,4.9388046021685e-08,6.72103414704705e-08,2.04114026156726e-07,1.6239757830475e-07,2.26788896351528e-07,9.45664889459893e-08,3.28216077009041e-07,3.07128663892804e-07,1.13631270476376e-07,4.03994207401504e-07,2.75493439172576e-07,9.36017170631631e-08,2.50824916122914e-07,1.13846435930018e-07,1.90123919469043e-07,1.14175228399444e-07,3.02576326503574e-07,2.87513452815364e-07,3.0686830565858e-07,2.19536334652856e-07,4.74557309942036e-07,1.58852456768514e-07,1.1397412408232e-07,1.01423980891468e-07,3.07318359278485e-07,2.59118628241229e-07
8.91360836495047e-08,4.86838978534771e-07,1.01216378035349e-07,2.16529710327904e-07,3.30455332995274e-07,4.47660624133319e-07,3.38391928579658e-08,3.71143616101325e-07,4.55943813955651e-07,3.11536791951037e-07,1.23332578194578e-07,2.07004224019623e-07,1.84868745215303e-07,6.85813412467165e-08,3.29439185212475e-07,1.62424374711012e-08,1.94433089549277e-07,2.62229220345958e-07,4.19912590975995e-07,3.44927223185266e-08,4.88160768945272e-08,1.58326869707672e-07,1.23334667501866e-07,1.82292548417459e-07,7.83826105326428e-08,3.68177737870622e-07,2.45764842163662e-07,9.40434630595379e-08,3.9106928881737e-07,3.27063501643973e-07,6.88006929890709e-08,1.9676722400408e-07,1.9743187371662e-07,2.89117401705811e-07,6.86520309507186e-08,2.43428992709675e-07,3.14734850347879e-07,3.7583744581711e-07,1.57544315911339e-07,4.72804737148738e-07,1.19404334499699e-07,1.97080699728065e-07,1.89144248352739e-07,2.78657117024975e-07,2.38971485990234e-07
6.12467218322409e-08,4.88018749042441e-07,6.97761502263882e-08,2.33126315875374e-07,3.50717224974558e-07,4.69231367002861e-07,4.55164122872113e-08,3.67747746630428e-07,4.73269161225746e-07,3.33464575836761e-07,8.53897703953724e-08,1.50568509923368e-07,1.33819854743837e-07,5.1892155478363e-08,3.54786897998626e-07,1.43794924835192e-08,1.42298384491992e-07,1.88664163361858e-07,4.16453395000085e-07,2.15544159605599e-08,3.20794422843455e-08,1.12173810986956e-07,8.54002338378006e-08,1.34004792221996e-07,5.93267290768919e-08,3.99036785657987e-07,1.79830609622371e-07,7.10873396374528e-08,3.80976871722141e-07,3.67681414965882e-07,4.58705315415617e-08,1.41082642857641e-07,2.63712941674218e-07,3.67209723446585e-07,4.85649121424046e-08,1.79030364384921e-07,3.35668015412125e-07,4.296665834939e-07,1.09033103365336e-07,4.71403268400218e-07,8.18884175807881e-08,2.62907144897849e-07,2.61039451484115e-07,2.28263422618202e-07,1.98282874090536e-07
