f11_a,f02_a,f12_a,f20_a,f21_a,f21_b,f21_c,f03_a,f03_b,f22_a,f13_a,f30_a,f30_b,f30_c,f23_a,f13_b,f31_a,f31_b,f04_a,f14_a,f14_b,f14_c,f14_d,f32_a,f32_b,f24_a,f33_a,f33_b,f05_a,f05_b,f15_a,f15_b,f40_a,f41_a,f41_b,f34_a,f25_a,f25_b,f35_a,f06_a,f16_a,f42_a,f43_a,f50_a,f51_a
2.46868116358124e-07,2.93763430117384e-07,2.02915074886594e-07,4.43032523397711e-08,2.93419619208746e-08,4.80594100170963e-08,7.18580425046857e-08,1.62553711838656e-07,6.88015765664306e-08,2.72302502684352e-08,1.55139294356215e-07,2.24814172157196e-07,1.30947521236665e-07,8.63721413235402e-08,2.37176851217375e-08,2.1810235693669e-08,1.95029279419866e-07,2.88606609313507e-07,8.44601673313004e-08,2.97366462331506e-08,3.13672167077832e-08,1.0578697094562e-07,8.20695500434395e-08,1.48668373165046e-07,7.19797111464767e-08,2.28598529616801e-08,1.27435547223453e-07,8.17799488479466e-08,5.38668128761917e-08,1.73449352432854e-07,3.1458148450029e-08,6.70257218227494e-08,2.86714706550994e-07,2.97097416217636e-07,2.21224244887337e-07,6.49979666167797e-08,2.22549237612353e-08,1.26717312326741e-07,4.50896797029343e-08,1.28787428558514e-07,7.91675893153594e-08,2.24040998163069e-07,1.60042253883108e-07,2.04083232127394e-07,1.97676354014142e-07
2.23161317651572e-07,2.97567225460814e-07,1.8502246659856e-07,4.62788533717353e-08,6.36688697483471e-08,9.5677444716644e-08,4.03127579599637e-08,1.55363070887307e-07,1.09499238803974e-07,4.53200148786065e-08,1.44821749970975e-07,2.64169995238298e-07,1.59940512259397e-07,1.11046617486013e-07,3.03249843079446e-08,3.44953610574071e-08,2.32966095256975e-07,3.18970294636058e-07,7.6373857872151e-08,2.49392073320486e-08,2.79999725947208e-08,1.1208703215236e-07,7.61135673135806e-08,1.82678554736583e-07,9.42242496597485e-08,1.68677121472238e-08,1.55509221493994e-07,1.00186946570948e-07,5.04918326962527e-08,1.62864797714046e-07,3.45294659482005e-08,7.75147478335552e-08,2.66122819414904e-07,2.76136018140609e-07,2.039616665566e-07,8.21378834094104e-08,2.20830783827083e-08,1.16779772998408e-07,4.06980410742385e-08,1.30819852435793e-07,7.45935484669162e-08,2.09287290409618e-07,1.57362362970155e-07,1.16827861309466e-07,1.16508981599705e-07
1.99179972508205e-07,3.01182366000169e-07,1.66425827522897e-07,6.53920939949008e-08,1.05419768846475e-07,1.46855381621539e-07,1.87138037444277e-08,1.48359463006284e-07,1.5135887436675e-07,7.27885367837219e-08,1.33151676254012e-07,2.94169978231313e-07,1.83112937493094e-07,1.31168533633647e-07,4.64178469685306e-08,4.76779001063273e-08,2.62508610736697e-07,3.40217408783503e-07,7.19636240192437e-08,2.19226381848106e-08,2.58146276454312e-08,1.15645929963958e-07,6.96525003371163e-08,2.10186546558524e-07,1.12856724371335e-07,1.91266540049323e-08,1.78914923894534e-07,1.15675209994776e-07,5.24960725426485e-08,1.42567076540451e-07,3.69153108368224e-08,8.86243216242856e-08,2.29082811424344e-07,2.37948554907398e-07,1.73790626228152e-07,9.80711800677208e-08,2.25890902751338e-08,9.83770557473452e-08,3.96365331542581e-08,1.31629378934673e-07,6.93589221510675e-08,1.81633866556815e-07,1.44845393926431e-07,7.37972219149008e-08,6.3307963942219e-08
1.75116104701291e-07,3.0438083369601e-07,1.47645150267093e-07,1.04858930570492e-07,1.48874587449133e-07,1.93768978753766e-07,2.86911411963745e-08,1.4180133267148e-07,1.89010044970951e-07,1.0752325029871e-07,1.20776784040794e-07,3.04439322895035e-07,1.91873734369731e-07,1.40062296009239e-07,7.18367576469978e-08,5.88032862541752e-08,2.73601492554745e-07,3.43073991524028e-07,6.69164641302186e-08,2.57712034820552e-08,2.88713077501801e-08,1.14537752041877e-07,6.35421665219341e-08,2.21972819807476e-07,1.2149419647597e-07,3.33692961411741e-08,1.88519251862369e-07,1.2202544628842e-07,3.80752238967926e-08,1.0579940319548e-07,3.60241680230658e-08,9.34292699651266e-08,1.62248471766414e-07,1.70112988097615e-07,1.20278757552949e-07,1.04714574636911e-07,1.64614676553021e-08,7.09907436337945e-08,3.05081990435516e-08,1.34325814355864e-07,6.17309468288661e-08,1.31283286137258e-07,1.14239976333534e-07,1.45571375429575e-07,1.10042429581321e-07
1.50635418446771e-07,3.07200563338401e-07,1.27775624087859e-07,1.40902005236455e-07,1.88326137540611e-07,2.36156542694773e-07,5.00313188096999e-08,1.3579117804099e-07,2.22966081691915e-07,1.40027868471071e-07,1.06198231348529e-07,2.97871534787479e-07,1.89553813161285e-07,1.40371117071541e-07,9.70036809220465e-08,6.43392857935322e-08,2.69200676060036e-07,3.293672851317e-07,6.2656903302017e-08,2.90840048732265e-08,3.14347589452841e-08,1.08128098144531e-07,5.57571073981291e-08,2.20677784187706e-07,1.22615670313053e-07,5.12664930189328e-08,1.87351252924386e-07,1.21781225695764e-07,3.43777381210468e-08,6.04855954671536e-08,3.5391501153831e-08,9.24216700693612e-08,8.26596052746235e-08,8.80066592411725e-08,5.88420640666858e-08,1.05711684024786e-07,1.48499689405116e-08,3.74221506214184e-08,2.2821771969499e-08,1.36098873244295e-07,5.46361429323802e-08,6.90196999498039e-08,6.99566106883978e-08,2.41313563786873e-07,1.94400778541144e-07
1.25863972530391e-07,3.09601656752722e-07,1.07327120524893e-07,1.72457975329862e-07,2.22896071117682e-07,2.73330613594456e-07,7.23671650795818e-08,1.30213722590372e-07,2.52659764789076e-07,1.68661531156871e-07,9.03936360570353e-08,2.76361272889206e-07,1.77047470113188e-07,1.32552551648161e-07,1.19330410391403e-07,6.42441595849568e-08,2.50826934645966e-07,3.01241554282477e-07,5.69230997995463e-08,3.02501708189081e-08,3.2073261451931e-08,9.75681840096451e-08,4.71949072597047e-08,2.07197039557995e-07,1.16330965141072e-07,6.73077795763023e-08,1.75624887179753e-07,1.14598262076058e-07,4.05248051014952e-08,2.98423314362782e-08,3.32262471924602e-08,8.61443427381213e-08,4.26999893652382e-08,4.24101234493818e-08,4.08672174668678e-08,9.98715003857374e-08,1.19845631440506e-08,2.23236018378649e-08,1.28547451277872e-08,1.37260632075351e-07,4.65644182644092e-08,3.11356365630893e-08,2.82840561348621e-08,3.06381605065594e-07,2.53989083421421e-07
1.0117737585045e-07,3.11632612250743e-07,8.67336016454716e-08,1.98465797099938e-07,2.51355850466634e-07,3.03782482500923e-07,9.10328585130695e-08,1.26033120252828e-07,2.77069369498984e-07,1.92273108964233e-07,7.39637665228742e-08,2.39317236734444e-07,1.53807555024496e-07,1.1590349012742e-07,1.37892230825347e-07,5.81384831719455e-08,2.17883748796056e-07,2.5861032261113e-07,5.53311385173609e-08,2.79648822952016e-08,2.93912502395678e-08,8.33864365047864e-08,3.90368013744427e-08,1.8076583740804e-07,1.02078347911519e-07,8.12795742581606e-08,1.53469650460286e-07,1.00038257449219e-07,5.22808975137207e-08,5.3104896314616e-08,2.88149136395675e-08,7.55487136523797e-08,1.16237391070458e-07,1.15579729229155e-07,1.03007893860695e-07,8.8293964530887e-08,2.5703089096837e-08,5.13518294173729e-08,2.30981689703138e-08,1.38131893767192e-07,3.77093723378345e-08,8.43307130108866e-08,4.41056097309874e-08,3.2057412920912e-07,2.69788911668857e-07
7.62625441561806e-08,3.13246251826341e-07,6.56328353298044e-08,2.19783331583179e-07,2.74776109304977e-07,3.28855212491654e-07,1.06437199804649e-07,1.22288060500106e-07,2.97076917708211e-07,2.11879900253596e-07,5.6451963150955e-08,1.92257314268775e-07,1.23562371823646e-07,9.39349273645312e-08,1.5352750495925e-07,4.84155418926185e-08,1.75579899854152e-07,2.06258417420946e-07,5.14794655851169e-08,2.37328778666154e-08,2.47407566796223e-08,6.60581969020572e-08,2.98184898965352e-08,1.46217678369917e-07,8.29713793203793e-08,9.30467120368865e-08,1.24017847973721e-07,8.10250830346112e-08,6.11658024286948e-08,9.67847010246491e-08,2.34004361125903e-08,6.09160151004496e-08,1.96859954305483e-07,1.98089974395599e-07,1.67637078666398e-07,7.16943035551838e-08,2.75485595092033e-08,8.50016184817326e-08,2.86793174070076e-08,1.40026177800941e-07,2.90571587443452e-08,1.4642823990609e-07,8.99217508442178e-08,2.95964454100544e-07,2.5153364802583e-07
5.13089995005355e-08,3.14272534053846e-07,4.40693561260866e-08,2.33311579266044e-07,2.89665568268108e-07,3.44822026218722e-07,1.16235756395016e-07,1.19966424648539e-07,3.09856448155079e-07,2.24404686218366e-07,3.77362037639477e-08,1.33039312788345e-07,8.4866161519074e-08,6.54448811287843e-08,1.63757365790274e-07,3.41825032740671e-08,1.21766774208994e-07,1.41942901052059e-07,5.23847148108233e-08,1.71199037138813e-08,1.79053308611168e-08,4.48728077800159e-08,1.96214431195032e-08,1.01120482309983e-07,5.76872788841535e-08,1.0114424275043e-07,8.49793769176724e-08,5.59538080340536e-08,6.69630921923996e-08,1.29734673240272e-07,1.67025005305989e-08,4.12869116013518e-08,2.54967234670377e-07,2.57886012101722e-07,2.13764772372115e-07,4.84147574694714e-08,3.96748147154721e-08,1.10395124508079e-07,3.72856400912791e-08,1.39506670561103e-07,2.0537153023108e-08,1.91393443572046e-07,1.27179038097209e-07,2.15562121472821e-07,1.84096968019096e-07
2.9312309913573e-08,3.15032218240021e-07,2.54005702481045e-08,2.43320931428676e-07,3.00635441978801e-07,3.56583109114573e-07,1.23460523966406e-07,1.18252607718251e-07,3.1927030846242e-07,2.33513975010775e-07,2.20820730617035e-08,7.87855791830423e-08,5.00974295864783e-08,3.866527864989e-08,1.71075792077967e-07,2.0394334488022e-08,7.23604603809042e-08,8.40383246880177e-08,5.33175374305622e-08,1.00207714867606e-08,1.03358017216427e-08,2.69910416235843e-08,1.18932537638909e-08,6.03270097861273e-08,3.43248050083241e-08,1.06611797754624e-07,5.13284448230911e-08,3.33926757764329e-08,7.1706450952728e-08,1.54280166124807e-07,9.32085681735576e-09,2.5416337141633e-08,2.98389830094509e-07,3.02340871213578e-07,2.48192582976688e-07,3.01280767167143e-08,4.95838882417711e-08,1.2872236979558e-07,4.13182073854597e-08,1.39218850981617e-07,1.10835061009991e-08,2.24459366828432e-07,1.55339920525806e-07,1.36730479633918e-07,1.17405340381992e-07
