Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,alpha,beta
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19,7e-06
14016756125.7659,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19,7e-06
13349291548.3485,869590887.464676,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19,7e-06
13349291548.3485,828181797.585406,806861053.310603,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19,7e-06
13349291548.3485,828181797.585406,768439098.39105,759111563.647599,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19,7e-06
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,27105536.5960545,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19,7e-06
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,2039997090.04495,0.305689745918008,0.783853724738189,0.370289067899727,19,7e-06
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.320974233213908,0.783853724738189,0.370289067899727,19,7e-06
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.823046410975099,0.370289067899727,19,7e-06
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.388803521294713,19,7e-06
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19.95,7e-06
13349291548.3485,828181797.585406,768439098.39105,722963393.950094,25814796.7581471,1942854371.47138,0.305689745918008,0.783853724738189,0.370289067899727,19,7.35e-06
13470648744.2426,835710723.018001,775424908.376423,729535788.44055,26049476.7286757,1960516683.9393,0.308468743608172,0.790979667690354,0.373655332153361,18.05,7.06363636363636e-06
13531327342.1896,839475185.734298,778917813.36911,732821985.685777,26166816.71394,1969347840.17326,0.309858242453253,0.794542639166437,0.375338464280178,17.1,7.09545454545454e-06
13503746161.3046,788826051.005934,777330129.281525,731328259.66522,26113480.3570017,1965333678.24873,0.309226652069125,0.792923106677309,0.374573404222534,18.6545454545455,7.08099173553719e-06
13387905201.5875,849399678.349991,770661856.113669,725054610.378875,25889467.6578607,1948474198.16572,0.306573972455787,0.786121070222969,0.371360151980429,18.9136363636364,7.0202479338843e-06
13510766825.5299,834092937.387857,777734267.049274,731708480.834089,26127056.8842224,1966355464.92043,0.30938742053054,0.793335351310905,0.374768146782661,18.6388429752066,7.0846731780616e-06
13540125966.8356,835167690.079211,779424297.714406,733298496.631178,26183831.4525997,1970628391.00208,0.310059725005546,0.795059283415035,0.353701807112756,18.5731780616078,7.10006830134553e-06
13574823133.8332,836437852.350812,781421606.682289,735177606.209557,26250928.6697729,1860873181.69344,0.310854266657825,0.797096657719916,0.369200394910112,18.4955740728092,7.11826253795381e-06
13615828876.6486,837938953.21725,738374297.830315,737398372.074914,26330225.3809776,1943110229.39829,0.311793270428701,0.799504463716594,0.369002454366545,18.4038602678655,7.13976481758178e-06
13664290209.0668,839712981.513949,771329925.375189,740022913.552155,26423939.6760376,1943156749.02137,0.312903002157918,0.756031423432683,0.368768524633239,18.2954712256592,7.16517660259665e-06
13721562692.8338,841809560.410047,771855530.281396,700404080.200933,26534692.9338359,1943211726.75773,0.314214503292447,0.790165509432229,0.368492062221151,18.1673750848699,7.19520871215967e-06
13789248355.4675,844287335.469073,772476699.716004,732450556.489499,25140163.3391616,1943276700.44616,0.315764459178708,0.791313106649327,0.368165333915955,18.0159887366645,7.23070120527961e-06
14009226759.027,852340104.410906,774495500.378482,737194137.759202,24157476.7107151,1943487864.93355,0.320801815809059,0.795042797604896,0.367103466924069,17.5239831049967,7.34605180791942e-06
13909236575.5909,848679754.891891,773577863.713719,735037964.454791,26129572.259354,1943391881.07564,0.300448623263744,0.793347483534182,0.367586133738563,17.7476220284821,7.29361971581042e-06
13222222989.0507,852406656.220343,774512184.681477,737233340.910191,26186804.1686643,1943489610.0946,0.314780179167961,0.79507362149709,0.367094691163806,17.5199169427515,7.34700511868504e-06
