force,acceleration
0.005398,0.005178
0.002159,0.004685
0.006477,0.003649
-0.000648,0.007694
0.005398,0.009124
-0.002159,0.008088
-0.002159,0.008433
-0.005613,0.005524
-0.001943,0.005326
-0.002375,0.005376
-0.004102,0.008384
0.005182,0.006855
-0.007125,0.009716
0.001943,0.008285
-0.001727,0.005326
0.00842,0.008236
0.010147,0.004093
0.00108,0.00937
0.000216,0.004882
0.009068,0.007003
-0.006693,0.004833
0.009931,0.008187
0.01792,0.005967
-0.001943,0.006115
-0.016193,0.005425
-0.004318,0.007792
-0.004318,0.008532
0.003886,0.002318
-0.014465,0.008335
0.016624,0.006214
-0.010579,0.004587
0.01317,0.004241
0.001943,0.004833
0.005182,0.006806
0.001727,0.005869
-0.005398,0.006757
0.009931,0.009913
0.00108,0.007348
-0.007988,0.005819
0.004534,0.008779
0.00475,0.009913
-0.005182,0.00725
-0.00367,0.008137
0.007125,0.0036
0.008852,0.007595
-0.001727,0.005326
0.019647,0.005425
0.061532,0.003995
0.082258,0.006806
0.14962,0.009765
0.215685,0.008631
0.366169,0.006954
0.626977,0.003452
0.888002,4.9e-05
1.250284,0.005228
1.64452,0.002121
2.072868,-0.003403
2.484808,0.00286
2.889838,0.002762
3.227508,0.014499
3.485294,0.013316
3.63513,0.025349
3.710047,0.032056
3.657367,0.041082
3.515736,0.031908
3.279972,0.013217
2.998869,-0.003403
2.677176,-0.009962
2.350301,-0.012477
2.026233,-0.005178
1.736926,0.013266
1.456686,0.04912
1.246398,0.085911
1.060291,0.098734
0.89599,0.102531
0.792142,0.087637
0.692395,0.072152
0.620068,0.035903
0.571707,-0.028456
0.539537,-0.128127
0.506288,-0.243777
0.465915,-0.294376
0.468074,-0.264539
0.442166,-0.169948
0.439359,-0.007348
0.446916,0.188146
0.435041,0.073187
0.400497,-0.045372
0.409349,0.139569
0.402656,0.074174
0.35451,0.047394
0.353214,0.140308
0.326443,0.029936
0.309818,0.101643
0.274626,0.046753
0.235116,-0.004389
0.20122,0.16694
0.184811,0.121913
0.165812,-0.097501
0.126086,-0.18642
0.108167,-0.213989
0.103633,-0.235639
0.071247,-0.181489
0.066066,-0.143415
0.051385,-0.137152
0.048146,-0.147312
0.054839,-0.207084
0.060452,-0.126647
0.052896,-0.022883
0.051816,0.15752
0.070384,0.331217
0.080531,0.516799
0.072327,0.78193
0.099315,1.076849
0.090894,1.326642
0.093917,1.483127
0.076861,1.609626
0.089167,1.608344
0.090247,1.495259
0.075997,1.291775
0.051169,0.957402
0.0706,0.428619
0.064554,-0.22691
0.058509,-0.91558
0.051816,-1.617073
0.051385,-2.128644
0.045771,-2.530927
0.040589,-3.165052
0.037783,-3.600773
0.064123,-4.154461
0.042964,-5.107325
0.028715,-5.609131
0.050737,-6.055011
0.047066,-6.787821
0.056566,-7.02923
0.051169,-6.8905
0.063043,-6.79364
0.048362,-6.308306
0.043396,-5.154424
0.056782,-3.708137
0.048794,-2.054372
0.028067,-0.219118
0.050737,1.733364
0.029147,3.789462
0.026988,5.760832
0.026772,7.616158
0.009931,9.348141
0.002807,10.807349
-0.003239,11.901114
0.018136,12.718946
0.006693,13.43844
-0.008852,14.061567
0.003023,14.686717
0.01792,15.185169
0.006693,15.558256
-0.009068,15.464159
0.023749,15.049151
0.015113,14.251687
0.006909,13.254288
0.009716,12.026134
0.023965,10.427209
0.007341,8.669236
0.023965,6.77056
0.018136,5.029552
0.02634,3.383726
0.026124,1.96343
0.03843,0.816057
0.02634,-0.045816
0.024829,-0.553294
0.019215,-0.871589
0.002591,-1.158173
0.017704,-1.546154
0.01792,-2.258448
0.004102,-3.286028
0.006261,-4.633384
0.001943,-6.174458
-0.002807,-7.799422
0.016624,-9.314655
-0.007341,-10.798817
-0.004534,-11.987123
0.010795,-12.979688
0.014681,-13.777696
0.00475,-14.290894
0.006261,-14.638977
0.012306,-14.796991
0.011227,-14.834423
0.011011,-14.766759
0.024613,-14.571067
0.018352,-14.491616
0.016408,-14.385682
0.006261,-14.444469
0.025476,-14.54991
0.021374,-14.708416
0.019863,-14.887883
-0.007557,-15.001215
0.014897,-15.083822
-0.009068,-15.101576
0.003886,-14.771691
0.011875,-14.3555
0.007988,-13.616279
-0.004318,-12.784637
0.007341,-11.845533
0.000432,-10.757933
0.01209,-9.600598
0.020727,-8.367363
0.003239,-7.339684
0.031522,-6.477761
0.010147,-5.909771
0.037567,-5.514836
0.024829,-5.451907
0.031306,-5.477256
0.025692,-5.830518
0.035192,-6.051362
0.023749,-6.339968
0.039942,-6.25243
0.028499,-6.027689
0.028283,-5.525637
0.030874,-4.920313
0.031522,-4.209105
0.039942,-3.404834
0.056998,-2.541777
0.036271,-1.681482
0.041021,-0.873463
0.038215,-0.125957
0.041453,0.523407
0.031522,1.174744
0.04318,1.701455
0.058725,2.290159
0.030874,2.844439
0.029794,3.51787
0.039078,4.281602
0.030226,5.221693
0.029363,6.262836
0.041669,7.289972
0.032601,8.13562
0.017704,8.699418
0.032169,8.886776
0.027635,8.713523
0.016193,8.102183
0.01684,7.116128
0.025045,5.686905
0.029363,3.922866
0.015113,2.015362
-0.001511,0.116685
-0.000864,-1.626049
0.025476,-3.045556
0.007341,-4.029342
0.010795,-4.621794
0.018136,-4.667906
-0.008204,-4.353605
0.010579,-3.680273
-0.010579,-2.823775
0.001943,-1.708853
0.007125,-0.479613
-0.002159,0.789574
0.00367,2.068575
0.007125,3.35093
0.001943,4.684378
0.002591,5.986756
-0.005182,7.296087
0.019215,8.501211
-0.004318,9.692329
0.004318,10.836594
0.003454,11.966311
-0.012306,13.04464
-0.002375,14.013828
-0.00367,14.908942
-0.010363,15.605946
0.021806,16.158402
-0.007341,16.506781
0.011011,16.630321
-0.015329,16.641566
0.006693,16.549638
-0.018999,16.514721
-0.016193,16.467524
0.001511,16.45845
-0.032385,16.331013
-0.008852,16.116531
-0.009931,15.75893
-0.007341,15.308414
-0.009931,14.827025
-0.011659,14.32157
0.005398,13.824745
-0.012954,13.286098
-0.002591,12.691181
0.005613,12.051828
-0.000432,11.335639
-0.011659,10.694708
0.001295,10.016986
-0.000648,9.409295
0.003454,8.670124
-0.000648,7.832219
0.009068,6.784319
0.000432,5.602671
0.00367,4.275733
0.009284,2.943222
0.008636,1.637343
0.015545,0.413281
0.004318,-0.545797
-0.016624,-1.274267
-0.000648,-1.606273
0.006477,-1.638378
0.010579,-1.419162
-0.005398,-0.893831
-0.003023,-0.388474
0.011011,0.208169
-0.018999,0.644334
0.010147,0.995524
-0.008204,1.156447
0.00108,1.106932
-0.014249,0.968005
-0.003023,0.473054
0.019215,0.108449
-0.00108,-0.346406
-0.023749,-0.522865
0.002591,-0.551814
-0.000864,-0.273663
-0.000648,0.2132
0.00475,0.874597
-0.004966,1.815231
-0.011443,2.815736
-0.010363,4.025249
-0.012738,5.16409
-0.006477,6.385735
0.002375,7.542774
-0.031953,8.682009
0.004534,9.738539
-0.012522,10.684992
-0.001727,11.472002
0.00367,12.155592
-0.002807,12.62327
-0.007988,13.008736
0.016408,13.174542
0.016193,13.201371
-0.010795,12.951873
0.006045,12.472014
0.000864,11.717208
-0.000432,10.674192
0.01317,9.562377
-0.002591,8.252305
-0.010147,6.977595
0.000216,5.606172
0.007125,4.216996
-0.000432,2.821802
0.014249,1.286448
0.002591,-0.161219
-0.010579,-1.656083
-0.001295,-3.070215
-0.006045,-4.382308
0.010795,-5.594632
-0.02159,-6.601105
-0.008204,-7.418
-0.004318,-8.000194
-0.000864,-8.355576
-0.014681,-8.487797
-0.001727,-8.359966
0.011227,-7.984955
-0.017272,-7.42382
-0.005613,-6.702452
-0.007988,-5.922347
-0.015761,-5.170846
-0.018352,-4.519509
-0.021374,-3.971542
0.006693,-3.7325
-0.01684,-3.669374
-0.001295,-3.912312
0.006909,-4.294917
-0.014897,-4.825278
-0.007772,-5.40836
-0.028067,-5.968262
0.014249,-6.471153
-0.015545,-6.904112
-0.009068,-7.192126
-0.023101,-7.36597
0.003239,-7.285534
0.006909,-7.102467
0.012306,-6.695646
0.006261,-6.301599
-0.004966,-5.801618
0.006909,-5.393712
0.00475,-5.017173
0.009068,-4.646206
-0.006045,-4.438234
-0.001511,-4.18849
-0.004966,-4.068451
-0.00475,-3.853377
0.005613,-3.716768
0.011011,-3.483693
-0.007341,-3.247462
-0.000648,-2.965316
0.002807,-2.603227
0.011443,-2.240151
-0.007341,-1.721626
-0.006909,-1.299123
-0.007772,-0.73927
-0.012738,-0.295461
0.001943,0.220104
0.014897,0.671113
-0.00367,1.128583
-0.008636,1.549163
0.00367,1.916431
-0.023101,2.26555
-0.00367,2.510165
-0.002807,2.704081
-0.005829,2.822936
-0.010363,2.850406
-0.014034,2.818301
-0.003023,2.689483
-0.018352,2.532555
-0.004102,2.356886
-0.00475,2.172882
-0.005613,1.980593
-0.013818,1.741057
-0.001943,1.496788
-0.002807,1.157187
-0.013818,0.882094
-0.004534,0.565327
-0.011875,0.330477
0.001511,0.158408
0.012522,0.090054
-0.0095,0.109732
-0.011875,0.209304
-0.009068,0.360511
-0.017704,0.489033
-0.005398,0.581996
0.007988,0.61711
-0.001943,0.605077
0.003023,0.496578
-0.011659,0.321797
0.013818,0.058343
0.006693,-0.273071
0.002375,-0.664455
0.004318,-1.06447
0.003886,-1.461378
0.008852,-1.839545
0.00108,-2.18314
-0.005829,-2.472535
0.00842,-2.74684
-0.001295,-3.001663
-0.003023,-3.263638
-0.000648,-3.558902
0.009068,-3.865756
0.007125,-4.176703
-0.01209,-4.435226
0.011443,-4.619969
-0.011875,-4.654886
0.008636,-4.545401
-0.015977,-4.27519
-0.000432,-3.884152
0.002807,-3.407201
0.003023,-2.834575
-0.018352,-2.228315
0.010363,-1.542357
-0.007341,-0.853046
0.007341,-0.110175
-0.001943,0.608283
-0.017056,1.356972
-0.003023,2.083321
-0.0095,2.828263
-0.010363,3.576262
-0.011875,4.369683
0.002807,5.182239
-0.014249,6.028528
0.002159,6.904851
-0.020511,7.805291
-0.003023,8.733497
-0.013386,9.649866
-0.000432,10.589267
-0.010147,11.495575
-0.014034,12.39424
-0.00842,13.23032
-0.006693,13.970922
-0.024397,14.599868
0.002807,15.075339
0.007772,15.379332
0.007988,15.487634
-0.007125,15.397481
-0.009068,15.149611
0.002591,14.797533
0.004318,14.387606
0.024829,13.983646
-0.008852,13.636647
-0.003239,13.354452
0.007772,13.133263
0.003886,12.96943
-0.009068,12.856197
-0.00367,12.738674
0.006045,12.618733
0.008204,12.469202
0.01792,12.23672
-0.005829,11.966163
-0.002807,11.588638
0.000432,11.168156
0.005398,10.649188
-0.014897,10.131156
-0.010795,9.582153
-0.001943,9.073739
-0.010147,8.598465
-0.011443,8.158701
0.001295,7.713215
-0.014034,7.282279
0.000648,6.860909
-0.009284,6.422871
-0.005613,6.009836
0.000648,5.580133
-0.013386,5.124488
0.002591,4.635011
-0.00367,4.12492
0.012522,3.574733
-0.009068,2.986424
0.000648,2.306483
0.009068,1.583586
0.006477,0.763189
0.001727,-0.105885
0.002591,-1.065259
0.005613,-2.083568
0.00367,-3.195136
-0.003886,-4.42122
-0.004966,-5.677486
0.005182,-7.024348
0.007557,-8.405535
0.005182,-9.789879
-0.005613,-11.173976
0.010147,-12.499237
-0.00108,-13.765662
0.001727,-14.874912
0.014897,-15.791282
-0.003886,-16.44686
0.014897,-16.893628
-0.011443,-17.068656
0.004102,-17.034281
0.004534,-16.756673
0.00475,-16.306009
0.001295,-15.667248
0.01209,-14.905539
0.01317,-14.063935
0.012738,-13.197968
0.006477,-12.263203
0.003886,-11.321731
-0.000648,-10.31225
0.001727,-9.254043
0.007988,-8.186467
0.001295,-7.053001
-0.000432,-5.984537
-0.00475,-4.901967
0.00108,-3.848742
0.011659,-2.808437
0.00367,-1.819916
-0.006909,-0.882685
0.00475,-0.028752
0.002159,0.718507
-0.009716,1.418619
0.003886,1.962247
-0.004966,2.431207
-0.002591,2.839902
-0.006477,3.103307
-0.006261,3.332042
0.003239,3.433734
0.003886,3.401925
-0.008852,3.279173
-0.002375,2.935479
-0.006261,2.552085
0.001511,1.943605
-0.004102,1.297298
0.016408,0.505012
-0.003454,-0.312723
-0.002375,-1.234665
0.019215,-2.094911
0.011227,-3.032832
-0.001295,-3.919463
0.006909,-4.859505
0.006909,-5.798807
-0.003454,-6.816129
0.00108,-7.806179
0.00475,-8.865125
0.002159,-9.916921
-0.002807,-11.008071
0.006693,-12.134484
0.008204,-13.252562
-0.014465,-14.374093
-0.006045,-15.425099
-0.006909,-16.398085
0.011227,-17.280721
0.013818,-18.064377
0.011227,-18.727994
0.00842,-19.298351
-0.013818,-19.727167
-0.004966,-20.040482
-0.011875,-20.188878
0.001943,-20.144838
-0.004102,-19.970402
-0.001511,-19.602295
-0.011227,-19.038694
-0.006477,-18.333552
-0.0095,-17.432915
-0.010363,-16.399466
-0.033249,-15.243709
0.006477,-14.021324
0.006909,-12.727528
-0.016193,-11.389987
0.001295,-10.048056
-0.006261,-8.72314
0.006261,-7.464359
-0.006909,-6.295286
0.006909,-5.193483
0.01317,-4.275141
0.002807,-3.419334
-0.001943,-2.756358
-0.005398,-2.172191
-0.001511,-1.78421
0.004102,-1.492793
0.004318,-1.362595
0.005613,-1.343114
-0.001943,-1.442933
0,-1.675071
-0.006477,-1.986856
0.000432,-2.427508
-0.009716,-2.89928
-0.00475,-3.457456
0.008204,-4.037874
0.001727,-4.657747
0.018783,-5.270665
-0.001943,-5.862821
0.00367,-6.393626
0.002807,-6.825795
0.012738,-7.152672
-0.001511,-7.342249
-0.014681,-7.391665
-0.004102,-7.295002
0.002591,-7.021783
0.000216,-6.607467
-0.001511,-6.053187
-0.004966,-5.351694
-0.012738,-4.524885
-0.004318,-3.612461
-0.007557,-2.616789
0.014681,-1.55804
-0.014249,-0.506343
0.003886,0.552061
-0.011659,1.577077
-0.003023,2.502224
-0.001727,3.365824
0.003454,4.071213
-0.006477,4.750217
-0.002591,5.263859
0.002159,5.765271
-0.007772,6.097622
0.002159,6.371235
0.009284,6.548138
0.006477,6.650767
0.006261,6.727111
0.005613,6.750142
0.020079,6.748317
-0.010795,6.702797
0.021806,6.633062
-0.014034,6.507796
0.00842,6.38756
-0.003454,6.22565
-0.015761,6.115129
0.006261,6.015607
-0.008852,5.991244
-0.002159,6.006729
-0.023533,6.076021
0.004318,6.183878
0.00367,6.394711
0.009284,6.665908
0.001727,6.984401
0.00475,7.311475
-0.001511,7.627008
0.003023,7.906343
0.003886,8.171277
0.000432,8.376684
0,8.523256
0.001943,8.534895
-0.012954,8.492531
0.006045,8.319081
-0.003454,8.146618
0.010147,7.895888
-0.00108,7.657486
-0.007557,7.395709
0.004534,7.156765
-0.007125,6.950273
0.007772,6.732437
-0.002591,6.620043
-0.013818,6.484469
0.002159,6.470857
0.007772,6.436631
-0.002807,6.472435
-0.0095,6.450834
-0.010579,6.410394
0.009931,6.334395
-0.002159,6.152956
0.007125,5.957511
-0.000864,5.662937
0.009716,5.285411
0.001295,4.91262
0.010363,4.405931
-0.020942,3.951174
-0.005398,3.41455
-0.00367,2.900414
0.002159,2.374196
0.00108,1.904249
0.010795,1.422614
0.007772,0.974219
0.013386,0.53623
-0.00108,0.100805
0.007988,-0.258276
0.003023,-0.686698
-0.005829,-1.02837
-0.002159,-1.425672
-0.009716,-1.75679
0.010579,-2.043275
0.012522,-2.274772
-0.002159,-2.39703
0.00475,-2.471697
-0.00475,-2.40137
-0.000648,-2.239904
-0.002591,-1.945479
-0.018783,-1.526132
-0.018136,-1.030934
-0.008636,-0.457026
-0.00475,0.159148
0.004966,0.765359
-0.018568,1.397215
0.002375,1.91791
0.001943,2.407485
0.004534,2.796848
-0.011227,3.134278
-0.015761,3.392801
0.000216,3.635739
0.00108,3.798487
-0.001943,3.972282
-0.00367,4.109286
0.000432,4.307493
-0.005829,4.502051
-0.002159,4.742474
0.007772,5.001835
-0.00108,5.261739
0.003886,5.539002
-0.009284,5.811531
-0.008636,6.045
-0.015977,6.243996
0.002807,6.372074
-0.003239,6.436532
0.001511,6.385094
0.00475,6.270233
-0.004318,6.07967
-0.00108,5.774641
-0.001295,5.447271
-0.022022,4.976289
0.00367,4.522616
-0.002159,3.957437
0.000432,3.424808
0.006477,2.84651
0.004102,2.275166
-0.005398,1.74012
-0.015113,1.189589
0.004534,0.733253
0.006693,0.289198
-0.002591,-0.096514
0.003454,-0.428915
-0.019863,-0.667168
-0.005613,-0.874647
-0.006693,-0.999568
0.002807,-1.091545
0.014897,-1.160689
0.016408,-1.171292
-0.007772,-1.218735
-0.002159,-1.23501
-0.00475,-1.310663
-0.015977,-1.351942
0.006909,-1.530915
-0.00842,-1.681383
-0.016624,-1.929598
0.00842,-2.198379
0.011227,-2.496997
-0.011011,-2.854944
-0.011875,-3.220978
-0.004102,-3.621092
-0.003886,-3.97243
0.004318,-4.319773
0.003886,-4.621695
0.004966,-4.849838
0.010795,-5.032412
-0.014897,-5.117534
0.001727,-5.086711
0.00475,-4.972935
-0.007341,-4.711749
-0.018783,-4.444004
-0.014681,-4.052472
0.024613,-3.642348
0.00367,-3.192719
-0.019431,-2.705857
-0.011227,-2.255489
-0.010147,-1.814639
-0.000648,-1.468183
0.004966,-1.154721
-0.002159,-0.906358
-0.010795,-0.716633
-0.002591,-0.611242
-0.009716,-0.563009
-0.006909,-0.600392
-0.011227,-0.653211
0.013818,-0.759688
-0.010363,-0.848065
-0.005398,-0.956267
0.006477,-1.042129
-0.023101,-1.095244
0.009716,-1.124292
-0.0095,-1.064125
0.00108,-0.946552
-0.003023,-0.78987
-0.00108,-0.607296
-0.016624,-0.35987
-0.000864,-0.147953
0.001943,0.1301
-0.026772,0.323523
0.000864,0.543134
0.015329,0.675059
-0.020295,0.774976
-0.00108,0.805158
0.006045,0.802347
-0.011011,0.762942
-0.004318,0.703909
-0.00475,0.647835
0.009284,0.545797
-0.020942,0.467432
-0.006045,0.355481
-0.005398,0.25004
-0.006045,0.126993
-0.003023,-0.010702
0.001295,-0.162107
-0.011443,-0.319134
-0.003454,-0.505209
0.018136,-0.719247
-0.00842,-0.942261
0.015329,-1.204828
0.00108,-1.464041
-0.016193,-1.747863
0.000864,-1.99672
0.00475,-2.277583
0.002807,-2.49818
0.01209,-2.756802
-0.014465,-2.933309
0,-3.13413
0.005613,-3.294708
-0.004102,-3.442266
-0.012522,-3.586569
-0.011659,-3.714548
-0.015761,-3.856188
0.010147,-4.000048
-0.022886,-4.189131
0.000216,-4.388078
0.003886,-4.622139
-0.012306,-4.85265
0.007125,-5.111567
0.005829,-5.374922
0.01209,-5.585903
-0.006909,-5.842305
-0.015329,-6.012302
-0.002591,-6.199068
-0.001727,-6.326307
0.000432,-6.422328
-0.0095,-6.468194
0.010363,-6.477909
-0.002807,-6.409013
-0.019647,-6.283549
0.002159,-6.061077
-0.011227,-5.746925
-0.004318,-5.314952
0.009931,-4.781287
0.020511,-4.112147
0.004102,-3.324545
0.007988,-2.438112
-0.014897,-1.454522
-0.014249,-0.397647
-0.011011,0.695525
