force,acceleration
-0.021374,-0.003058
-0.030226,0.000148
-0.010147,-0.002318
-0.018783,-0.000592
-0.005613,-0.000296
-0.012522,-0.001184
-0.019863,-0.001332
-0.006045,-0.002071
-0.023533,-0.001529
-0.000648,0.001529
-0.006909,0.000641
-0.003454,0.000296
-0.015113,-0.006806
-0.008852,-0.002022
-0.002591,-0.004537
-0.007988,0.002219
-0.001295,-0.001134
-0.010795,0.002219
-0.010795,0.002417
-0.008204,-0.000838
0.001295,-0.002515
-0.002159,9.9e-05
-0.026556,4.9e-05
-0.01684,-0.000247
-0.020511,0.001923
-0.0095,-0.000542
-0.012954,0.000838
-0.019431,0.000888
-0.016624,-0.001381
-0.014897,-0.000789
-0.014897,-0.000542
-0.020727,-0.001874
-0.006693,0.003403
-0.014681,0
-0.023533,-0.00217
-0.006693,-0.001282
-0.008204,-0.000986
-0.014249,0.001282
-0.005613,4.9e-05
-0.000648,0.002811
-0.003454,-0.001036
-0.014897,0.002565
0.002591,-0.000789
-0.003239,0.000247
-0.01684,0.000247
-0.006477,-0.000937
-0.006261,-0.001282
-0.014897,-0.00291
-0.022238,-0.000345
0.012522,0.000395
0.439359,-0.000444
1.376586,0.000542
2.551089,0.003255
3.711127,-0.000197
4.759112,-0.002022
5.577593,0.002959
6.163765,0.002712
6.549581,0.002121
6.683224,0.00069
6.648032,-0.017557
6.380962,-0.128176
5.926706,-0.300048
5.343125,-0.365591
4.664547,-0.27825
3.967618,-0.050748
3.332436,0.29704
2.749287,0.536526
2.213636,0.525922
1.735198,0.343053
1.343338,0.128176
0.996168,0.050748
0.739246,0.137004
0.534572,0.231891
0.390134,0.290678
0.275274,0.436953
0.219572,0.449628
0.182652,0.159246
0.139256,-0.318049
0.145302,-0.601329
0.131484,-0.627516
0.137961,-0.339601
0.129541,-0.280518
0.12587,-0.107068
0.129541,0.075702
0.106871,-0.713773
0.107303,-0.558423
0.088735,0.181735
0.042317,0.847621
0.036487,-0.030133
-0.007341,-1.467888
-0.041669,-2.096242
-0.069952,-1.217305
-0.085281,-0.181045
-0.079883,0.842442
-0.096076,1.354309
-0.095212,1.758319
-0.101042,2.199217
-0.077293,2.232162
-0.080099,1.77987
-0.076861,0.925099
-0.08269,-0.383099
-0.060236,-1.529584
-0.060236,-2.155621
-0.036487,-2.135401
-0.020511,-1.576337
0.015761,-0.697449
0.036056,0.21971
0.039294,1.334977
0.055271,2.493199
0.068009,3.236316
0.09953,3.037566
0.102337,2.013931
0.119393,0.899897
0.103417,0.368205
0.102337,0.269372
0.091758,0.374468
0.063259,0.197665
0.047498,-0.404009
0.031737,-1.247685
0.017056,-2.090275
-0.004102,-3.041117
-0.029147,-4.515416
-0.023317,-5.586692
-0.029147,-7.306839
-0.03951,-9.600105
-0.037567,-10.861204
-0.02526,-11.885381
-0.011011,-12.596146
0.024181,-11.369372
0.068441,-9.732868
0.090463,-7.675882
0.129541,-4.115106
0.160415,-0.685169
0.177255,1.725917
0.183516,3.888196
0.210936,6.336615
0.197981,9.060275
0.201436,11.396694
0.188266,12.971304
0.181357,14.05846
0.181141,15.467857
0.134506,17.80472
0.1127,20.763773
0.080747,23.470863
0.029147,24.427574
0.011875,22.938529
0.016624,19.655361
0.020511,16.506485
-0.001295,15.10493
0.007772,16.150905
-0.000864,18.231761
0.020727,18.953918
0.022238,16.931602
0.015329,12.503478
0.015761,7.13837
0.010795,2.319158
0.018999,-1.364469
0.028067,-3.960347
0.033033,-5.568099
0.048578,-6.102553
0.047066,-5.690209
0.051385,-4.725657
0.052896,-3.899391
0.081395,-3.754841
0.108167,-4.259606
0.133643,-5.499153
0.183516,-7.205195
0.198197,-9.244131
0.242241,-11.582374
0.251741,-14.409453
0.273979,-17.09583
0.273115,-19.498383
0.283478,-21.339407
0.26599,-22.355596
0.243321,-22.914807
0.261888,-23.21303
0.228855,-23.207655
0.209424,-23.037657
0.163005,-22.98686
0.11853,-22.956579
0.0706,-22.746486
0.042101,-22.436032
0.028067,-22.001841
0.01209,-21.310803
-0.011443,-20.445231
-0.004534,-19.554753
-0.011011,-18.872494
0.002375,-18.463553
-0.007772,-18.240046
-0.006261,-17.693756
-0.002375,-16.546827
-0.011659,-14.950763
-0.015977,-13.404263
-0.002375,-12.172705
-0.010363,-11.202235
-0.024613,-9.923135
-0.027851,-8.296198
-0.019863,-6.650965
-0.020511,-5.446827
-0.023533,-4.958337
-0.013386,-5.497033
-0.014681,-6.675969
-0.022454,-7.545881
-0.007772,-7.734619
-0.008636,-7.166629
-0.007557,-5.931717
-0.020942,-4.154362
-0.031522,-2.792162
-0.005613,-2.538128
-0.008636,-3.651126
-0.023749,-5.221841
-0.017488,-5.877518
-0.025476,-4.673084
-0.015113,-1.256069
-0.002807,3.263687
-0.030874,7.829259
-0.015545,11.175406
-0.028931,12.703855
-0.042748,12.395078
-0.019215,10.874174
-0.023533,9.162165
-0.02634,8.124129
-0.036487,8.567543
-0.016193,10.605542
-0.020942,13.557197
-0.021374,16.580363
-0.022238,18.846159
-0.010363,19.777175
-0.006477,19.063994
-0.009284,16.862854
-0.019647,13.248222
-0.021806,8.553142
-0.030226,3.144832
-0.038646,-2.305004
-0.015761,-6.997124
-0.028283,-10.621274
-0.015545,-12.920014
-0.025908,-13.589944
-0.011227,-12.500864
-0.005613,-9.860353
-0.015761,-6.154337
-0.006477,-1.732082
-0.012522,2.422281
-0.033033,6.034988
-0.011443,8.928696
-0.014249,11.545929
-0.008636,14.314813
-0.029794,16.989994
-0.000648,19.228814
-0.015113,20.419882
-0.012738,20.93239
0.001511,20.897867
-0.028067,20.933228
-0.022454,21.002223
-0.037999,20.956062
-0.028499,20.66785
-0.015329,20.079541
-0.01209,19.637804
-0.026556,19.500455
-0.026988,19.796557
-0.018568,20.434085
-0.026988,20.975197
-0.02159,21.267009
-0.024397,21.145244
-0.0095,20.684865
-0.019431,20.01099
-0.050953,19.458584
-0.022022,19.092155
-0.016193,19.271079
-0.033681,19.745563
-0.002159,20.323959
-0.014034,20.392856
-0.035624,19.532758
-0.008852,17.586687
-0.011875,14.95239
-0.018999,11.957138
-0.013818,9.112897
-0.020511,6.692539
-0.032817,4.494653
-0.010579,2.559433
0.004318,0.621549
-0.018999,-1.138644
-0.025045,-3.054532
-0.003454,-4.85186
0.002807,-6.560467
-0.013602,-7.905455
-0.028499,-8.940581
-0.022886,-9.683057
-0.017488,-9.984042
-0.01684,-9.64237
-0.014465,-8.345318
-0.026988,-6.183434
-0.012954,-3.571823
-0.018352,-1.058059
-0.013386,1.007903
-0.014897,2.60663
-0.018783,3.899489
-0.017056,5.051153
-0.019431,6.068524
-0.019647,6.818743
-0.030874,7.100987
-0.011011,6.871167
-0.014249,6.358314
-0.015329,5.831603
-0.024829,5.42133
-0.014681,5.329106
-0.028067,5.433413
-0.012738,5.95248
-0.007125,6.985979
-0.021374,8.596049
-0.021374,10.760004
-0.020727,13.272437
-0.008204,15.905748
-0.02267,18.38213
-0.025045,20.467375
-0.036703,22.044944
-0.009716,23.067889
-0.012954,23.475498
-0.019863,23.153011
-0.03476,22.134653
-0.002159,20.465106
-0.030874,18.34746
-0.011875,15.918324
-0.0095,13.21084
-0.029147,10.312645
-0.023965,7.224972
-0.004966,4.117719
0.008636,1.118473
-0.02267,-1.652335
-0.013602,-4.16033
-0.004102,-6.439244
-0.004318,-8.617453
-0.003886,-10.624627
-0.028067,-12.355673
-0.023965,-13.55335
-0.027851,-14.086078
-0.027851,-13.918596
-0.015761,-13.151659
-0.007772,-11.979479
-0.018568,-10.537237
-0.00108,-9.092183
-0.006261,-7.764851
-0.026772,-6.755469
-0.007341,-6.128199
-0.015329,-5.779573
-0.033681,-5.482977
-0.024613,-5.116301
-0.000432,-4.620857
-0.028283,-4.184594
-0.011875,-3.981998
-0.007125,-4.20728
-0.03001,-4.73123
-0.005613,-5.618403
-0.017272,-6.682873
-0.018999,-7.999849
-0.025908,-9.506303
-0.023317,-11.076869
-0.01684,-12.433053
-0.006693,-13.113832
-0.011227,-12.972932
-0.021158,-11.879513
-0.010795,-10.187871
-0.017272,-8.194604
0.000864,-6.250112
-0.006909,-4.60616
-0.017056,-3.275721
-0.028283,-2.330402
-0.015329,-1.649672
-0.015545,-1.277818
-0.014034,-1.057319
-0.021374,-0.915087
-0.034544,-0.744005
-0.017704,-0.28111
-0.025692,0.413182
-0.011011,1.472622
-0.016193,2.586311
-0.014897,3.657883
-0.009284,4.497415
-0.012738,5.045777
-0.017488,5.328367
-0.035408,5.397608
-0.037999,5.189538
-0.025045,4.861872
-0.011659,4.358685
-0.023317,3.752227
-0.0095,3.1146
-0.003239,2.553465
-0.023533,2.127608
-0.027419,1.775185
-0.006693,1.451366
-0.015113,1.048097
-0.030442,0.605718
-0.019863,0.219364
-0.015761,-0.049268
-0.023965,-0.222373
-0.011443,-0.355629
-0.02526,-0.537167
-0.006045,-0.801657
-0.013386,-1.037197
-0.016408,-1.255428
-0.014681,-1.37374
-0.018568,-1.413046
-0.020079,-1.408361
-0.021374,-1.312241
-0.011227,-1.185298
-0.010579,-1.041389
-0.001943,-0.901426
-0.009716,-0.853489
0.004102,-0.963024
-0.023749,-1.331327
-0.006477,-2.04219
-0.007988,-3.177431
-0.013818,-4.602067
-0.022886,-6.176875
-0.019215,-7.559394
0.000216,-8.632149
-0.014034,-9.219225
-0.002807,-9.428628
-0.018568,-9.355884
-0.024829,-9.133166
-0.031953,-8.875137
-0.015113,-8.593583
-0.032601,-8.339597
-0.017704,-7.979382
-0.020942,-7.480683
-0.003023,-6.74669
-0.006045,-5.78919
-0.007988,-4.595163
-0.027419,-3.250273
-0.015329,-1.816168
-0.00108,-0.358637
-0.010147,1.134057
-0.024181,2.742845
-0.017488,4.402528
-0.024613,6.071927
-0.005829,7.542774
-0.01209,8.694635
-0.013386,9.436913
-0.021374,9.793873
-0.033465,9.871647
0.00842,9.732276
-0.010579,9.518731
-0.022454,9.357906
-0.016193,9.417926
-0.015545,9.875149
-0.023965,10.893605
-0.007557,12.480841
-0.011875,14.597353
-0.017056,16.987923
-0.002375,19.366114
-0.012954,21.453331
-0.023965,22.979512
-0.040589,23.857907
-0.019215,23.991755
-0.003239,23.423912
-0.005829,22.181061
-0.022022,20.390636
