force,acceleration
-0.102553,0.003255
-0.107951,0.004241
-0.088951,0.004488
-0.108382,0.003255
-0.116587,0.005129
-0.096292,0.001332
-0.114428,0.001825
-0.105144,0.005326
-0.096508,0.002022
-0.121768,0.003551
-0.110973,0.00434
-0.106871,0.004981
-0.116155,0.00651
-0.124791,0.00217
-0.116371,0.005918
-0.103417,0.006115
-0.109894,0.00291
-0.102553,0.006263
-0.099315,0.00069
-0.105576,0.006757
-0.118962,0.005918
-0.110757,0.004833
-0.090247,0.007841
-0.107303,0.003008
-0.106008,0.01011
-0.096724,0.005721
-0.099099,0.00503
-0.122632,0.005869
-0.101474,0.006658
-0.115507,0.005524
-0.117666,0.003008
-0.113132,0.004093
-0.09694,0.001726
-0.101042,0.007348
-0.106223,0.002515
-0.107087,0.004241
-0.092622,0.007546
-0.112269,0.002811
-0.112485,0.004587
-0.11378,0.006855
-0.089815,0.004044
-0.104928,0.002712
-0.106439,0.006904
-0.113996,0.002663
-0.103417,0.008137
-0.123496,0.006017
-0.100178,0.002959
-0.096292,0.005277
-0.063907,0.006017
0.151131,0.003896
0.531117,0.002219
1.402495,0.004882
2.40514,0.008433
3.445137,0.009864
4.316298,0.002515
4.9599,0.00577
5.508937,0.004537
5.862799,0.002219
6.090143,-0.011886
6.156641,-0.038468
6.062939,-0.078563
5.824584,-0.176754
5.452587,-0.232927
4.96465,-0.226861
4.423169,-0.097451
3.862258,0.086404
3.312573,0.227995
2.802398,0.336198
2.3272,0.293637
1.878773,0.381471
1.489935,0.383296
1.143413,0.519215
0.854105,0.544071
0.665408,0.621944
0.488153,0.560247
0.375668,0.380633
0.284342,0.098438
0.202299,-0.387981
0.154585,-0.751747
0.106008,-0.748295
0.08744,-0.548658
0.033249,-0.164375
0.040589,-0.195741
0.006693,-0.070672
-0.004534,-0.798057
-0.031306,-0.343793
-0.044044,-0.328208
-0.072975,-0.188738
-0.080099,-0.234949
-0.107519,-1.5067
-0.120473,-0.650893
-0.131484,-1.114922
-0.15329,0.054299
-0.164733,0.079549
-0.163437,0.694194
-0.174448,1.564451
-0.166892,2.139395
-0.166028,2.472881
-0.186107,1.747567
-0.173153,0.955478
-0.169267,-0.034177
-0.16171,-0.684774
-0.139472,-1.014363
