f11_a,f02_a,f12_a,f20_a,f21_a,f21_b,f21_c,f03_a,f03_b,f13_a,f22_a,f04_a,f23_a,f14_a,f14_b,f30_a,f30_b,f31_a,f32_a,f24_a,f05_a,f33_a,f15_a,f25_a,f34_a,f40_a,f15_b,f06_a,f16_a,f41_a,f15_c,f33_b,f40_b,f14_c
0.000206477895329419,0.000287605086785339,0.000513911984475209,0.000691359771447057,0.000492762205199308,6.23333423510002e-07,6.12638821224106e-07,4.02257273952633e-07,0.000849163318674588,0.00103269211923967,0.00112197306913827,0.001630614852663,0.00164365288168773,6.15538223591276e-07,0.000994689322975827,5.92729656168964e-07,0.00186246614168174,0.00194038759755773,0.00222801559749454,0.00239721726341578,0.00259273844412503,0.00233084984081441,0.0028653263714008,0.00245432339908268,0.00337824478994946,2.7770910301482e-07,5.9024861955322e-08,3.47716550690053e-07,7.0681227426708e-08,6.18651639912704e-07,3.10014159585789e-07,6.18984473148847e-07,5.97681930292876e-07,6.15359344928152e-07
0.000179799384571943,0.000290952966941358,0.000459709298622176,0.00047062222985675,0.000245228509869083,4.74472882424864e-07,4.11031104115913e-07,4.45455184737413e-07,0.000726753174734998,0.000956906805632328,0.000785704797905234,0.00160017444772005,0.00121201906384608,6.17339055173392e-07,0.00127677853110449,2.67302048458355e-07,0.00124589421721955,0.00089726054657002,0.00116426629483473,0.00186624093462458,0.00266146591918335,0.000960786343699515,0.00242405838834762,0.00233596570724654,0.00187331040622771,8.96283912997133e-08,1.85810403953694e-07,3.94097345295337e-07,1.91814241440787e-07,2.52707917627995e-07,3.7718818355653e-07,3.98756130336205e-07,3.00770772611217e-07,4.50607805814065e-07
0.000152171093511636,0.000294081877845258,0.000399076509602813,0.000251422969795269,5.96567450916799e-06,3.19756785701283e-07,2.07040563267271e-07,4.88096407433466e-07,0.000600792734417524,0.000858242880616935,0.000421293579978739,0.00155606274135916,0.000700526226607512,5.98386006157052e-07,0.00149206646136704,8.9771979415728e-08,0.000632444401851515,0.000114956015785496,7.33350475991825e-05,0.00115329140009552,0.00268435136022841,0.000522956919858728,0.00186487130489473,0.00184749330978351,6.43048908768226e-05,2.93123200015153e-07,3.94682929032988e-07,4.28247107062231e-07,3.97054576135409e-07,1.39878745084985e-07,4.33895696538524e-07,1.60202424770846e-07,8.08808767779143e-08,2.65878214066072e-07
0.000123452247751305,0.00029686736436639,0.000331019173346873,4.38900120396719e-05,0.000248484421567096,1.6780741768999e-07,6.44960224731237e-08,5.28356937743475e-07,0.000477540713254333,0.00073220070724101,4.9229789892845e-05,0.00149975176584831,0.000141670838041195,5.48207195797464e-07,0.00157060876343883,2.91509690497327e-07,0.000111274616651158,0.000915451335714847,0.000833390033712237,0.000303986515822471,0.00264125668052777,0.00177966484384242,0.00126406791621159,0.000893809965800547,0.001605870494366,3.41114149571563e-07,5.31513559605104e-07,4.46979819213885e-07,5.31806043250581e-07,3.13288203824377e-07,4.56027515347539e-07,8.78513818991385e-08,1.88985735526243e-07,9.89677053604656e-08
9.36893909894447e-05,0.000299185771564414,0.000255823021031882,0.000138650730332994,0.000465047247343018,6.52857596685081e-08,1.84966757745871e-07,5.62628483668652e-07,0.000366205294444848,0.000578972037206121,0.000297157960749774,0.00143805505485294,0.000403254827755526,4.60449670152252e-07,0.00145715612425764,4.05931720986249e-07,0.000228405843620619,0.00133025498603324,0.00134062788925594,0.000572879152852242,0.0025370173036465,0.00244953089336394,0.000728011414310474,0.000430456532336743,0.00262600464916915,2.04065316293658e-07,5.58252459332592e-07,4.51854096330573e-07,5.58370476203847e-07,2.72098209776351e-07,4.24026332456065e-07,2.10360867187559e-07,2.28423447233356e-07,5.45409787898637e-08
6.30143332534353e-05,0.000300931644404922,0.000174366689640844,0.000282173841335331,0.000637256350810038,8.29821165616156e-08,3.31415786415478e-07,5.88969173574931e-07,0.000276913235596537,0.000401320273302088,0.000580991109800547,0.00138175157448355,0.000864146881064473,3.34406930468359e-07,0.00113034500006095,3.81001966033804e-07,0.000338595171851992,0.00126811379610413,0.00132436341491308,0.00134427881721977,0.00240478216154071,0.00231174188280494,0.000336999593484398,0.00184513830266179,0.00264825525258628,1.50392280571915e-07,4.6175843787829e-07,4.48276859510893e-07,4.62670886591128e-07,8.94275242899796e-08,3.29356689447537e-07,2.35614912353708e-07,1.39803337484763e-07,6.9265047636505e-08
3.16872413038527e-05,0.000302021128694763,8.84208922697212e-05,0.000374543102789137,0.00074888242341751,1.53127410780562e-07,4.27517394384401e-07,6.05560158516928e-07,0.000218680647716521,0.000205743957686427,0.000768474289581405,0.0013417325970489,0.00117439867677156,1.76982758396216e-07,0.000619420650748423,2.32054192840417e-07,0.000235265947412417,0.000768183455150902,0.000814528338938155,0.00187639632107248,0.00229096555773398,0.00139632217994196,0.000110922695172683,0.00294793347685775,0.0016603355792649,4.41633550649264e-07,2.61971129847272e-07,4.42498205383677e-07,2.62498666755507e-07,1.85723501518958e-07,1.81205136609719e-07,1.52000851998552e-07,1.90713869815435e-08,5.38956425814059e-08
6.5498706711955e-09,0.000302401616027942,3.64696713924262e-08,0.000407259831709482,0.00078858443463838,1.77756261877468e-07,4.61962391064329e-07,6.11223440096335e-07,0.000197908783910999,3.05579540251813e-07,0.000835818431055665,0.00132680019329169,0.00128674287845975,2.01533627039698e-08,9.96589728763203e-07,3.6712175663773e-08,6.5853154011507e-07,4.91169664793892e-07,9.11252759565797e-07,0.00207164155771709,0.0022400293283957,5.6833886239836e-06,4.79712929862611e-06,0.00337876502787288,2.08652580170509e-05,5.68438051768759e-07,1.58833381040677e-07,4.39629464353826e-07,3.26116765156864e-08,2.88151457179139e-07,9.36797638463107e-08,8.43067042386753e-08,5.29235988513258e-08,3.67398754049931e-08
3.16759825269141e-05,0.00030202090168999,8.83616221367747e-05,0.00037455918867953,0.000748980765971363,1.53291264648988e-07,4.27650915529786e-07,6.05553637056652e-07,0.000218599125096678,0.000205225846039838,0.000768847098919885,0.00134113210731522,0.00117459816202169,1.78084264464909e-07,0.000621532334099503,2.31716599412404e-07,0.000234014443176924,0.000767448005600494,0.000816552067213621,0.00187719864562947,0.00227362603344188,0.00140907648454775,0.000120134599173025,0.00295203446191635,0.00163090536466091,4.45229240794841e-07,2.65080357417561e-07,4.42129153625318e-07,2.7546217929659e-07,1.84518632686954e-07,1.79970783322184e-07,1.51686277640973e-07,1.79519237798464e-08,5.40295136238148e-08
6.3009381844328e-05,0.000300931220836848,0.00017435227111591,0.000282196829988156,0.000637430485989896,8.33085896279136e-08,3.31433896791695e-07,5.88960464676129e-07,0.000276760079076446,0.000401080953211515,0.000581668526878017,0.0013805392985873,0.000864409063692556,3.34409134319173e-07,0.00113299119978077,3.81240300659519e-07,0.000337848256398228,0.00126851832587075,0.00132703620522985,0.0013453985082602,0.00237493154192857,0.00232755245983033,0.000345342832501032,0.0018507199667738,0.0026460970431744,1.53297410556889e-07,4.64791229459427e-07,4.47458215164732e-07,4.7197329514032e-07,9.00782179248212e-08,3.27537567339407e-07,2.35210706614993e-07,1.36149041144746e-07,6.92659294096654e-08
