f1,f2,f3
0.732566666666667,0.743013333333333,0.733706666666667
0.83626,0.837373333333333,0
0.8929,0.885413333333333,0.745906666666667
0.938446666666667,0.938733333333333,0.948106666666667
0.950726666666667,0.963146666666667,0.960613333333333
0.956126666666667,0.976993333333333,0.972733333333333
0.971186666666666,0.97666,0.97176
0.977773333333333,0.983093333333333,0.9832
0.983733333333333,0.986453333333333,0.98722
0.98196,0.992673333333333,0.990853333333333
0.987873333333333,0.991573333333333,0.994226666666667
0.9912,0.995853333333333,0.996366666666667
0.990206666666667,0.995406666666666,0.99668
0.99138,0.995666666666667,0.9979
0.993506666666667,0.996906666666666,0.997953333333333
0.993166666666667,0.997306666666667,0.998546666666667
0.99386,0.997746666666667,0.998793333333333
0.99448,0.997726666666667,0.99912
0.994206666666667,0.998773333333333,0.99926
0.994933333333333,0.99872,0.999446666666667
0.995113333333333,0.99838,0.99948
0.995926666666667,0.99912,0.999453333333333
0.99626,0.998966666666667,0.999506666666667
0.996486666666667,0.999066666666667,0.999406666666667
0.996073333333333,0.99886,0.999533333333334
0.99666,0.999593333333334,0.999526666666667
0.9965,0.99938,0.999693333333334
0.997486666666667,0.999466666666667,0.9996
0.99712,0.99958,0.99956
0.997373333333333,0.999446666666667,0.99962
0.997913333333333,0.99942,0.999546666666667
0.998166666666667,0.999593333333333,0.999753333333334
0.997766666666667,0.999526666666667,0.99968
0.997713333333333,0.9996,0.999346666666666
0.997966666666667,0.999733333333334,0.999753333333333
0.998126666666667,0.999686666666667,0.999553333333334
0.99846,0.999653333333333,0.999766666666667
0.9977,0.99972,0.999866666666667
0.998233333333333,0.999413333333333,0.999566666666667
0.998226666666667,0.999346666666667,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
