f1,f2,f3
0.198326666666667,0.20484,0.208406666666667
0.364633333333333,0.3762,0.373426666666667
0.44314,0.469346666666667,0.442913333333333
0.503566666666667,0.522313333333333,0.54592
0.705173333333333,0.72656,0.582586666666667
0.748373333333333,0.76894,0.784826666666667
0.779913333333333,0.809426666666667,0.827133333333333
0.811386666666667,0.84708,0.84978
0.829606666666667,0.848373333333333,0.86542
0.842646666666667,0.883573333333333,0.890286666666667
0.84906,0.880166666666667,0.912593333333333
0.855633333333333,0.895406666666667,0.917613333333333
0.874406666666667,0.9214,0.932093333333333
0.8733,0.928953333333333,0.928366666666667
0.878546666666667,0.92966,0.93078
0.879066666666667,0.924473333333333,0.9519
0.898226666666666,0.925933333333333,0.96416
0.911273333333333,0.950606666666667,0.95626
0.897426666666667,0.94532,0.952186666666667
0.91798,0.943066666666667,0.96412
0.909673333333333,0.939826666666667,0.9649
0.901006666666667,0.95228,0.97894
0.909813333333333,0.961606666666667,0.979646666666667
0.930426666666667,0.958033333333333,0.954406666666667
0.92996,0.964546666666667,0.980333333333334
0.92888,0.961073333333333,0.972153333333333
0.91868,0.97638,0.951686666666667
0.922373333333333,0.968393333333333,0.977966666666667
0.930186666666667,0.962746666666667,0.96302
0.937393333333333,0.96066,0.96678
0.933233333333334,0.95378,0.97492
0.94112,0.951193333333334,0.977726666666667
0.932873333333333,0.97244,0.976773333333333
0.940973333333333,0.969686666666667,0.972433333333333
0.93894,0.970286666666667,0.97614
0.93762,0.970226666666667,0.978226666666666
0.944853333333333,0.972986666666667,0.976133333333333
0.94992,0.9497,0.95886
0.948153333333334,0.980333333333333,0.98578
0.945626666666667,0.959666666666667,0.979426666666667
0.94404,0.96234,0.9747
0.937286666666667,0.955333333333333,0.96276
0.947273333333333,0.96216,0.973733333333333
0.936466666666667,0.9789,0.955886666666667
0.94152,0.966093333333333,0.97314
0.945913333333333,0.84508,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
