f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
3.23775588646894e-06-9.05004279765471e-07i,-1.39628996331347e-05-5.79446565388023e-07i,-8.214548298878e-06+9.78518698076139e-07i,-1.8780980270363e-06+2.49979684679717e-06i,1.63066007168188e-05+6.42912370499786e-07i,-9.87533362500481e-07-3.29336997265159e-06i,-6.90640420323651e-06-5.20912513674116e-07i,3.94139127698811e-07+3.65279516838797e-07i,-3.8498801324217e-06+8.9922387895967e-07i,6.10869353358213e-06+5.51803825782404e-07i,1.20264217943966e-06-7.08124333610038e-07i,-3.00176904484292e-06-2.59234050044742e-07i,-1.49204646646758e-07+4.70226872107932e-07i,-5.84414835188145e-08+2.62017918457534e-07i,6.20418766770123e-07+2.78636286120959e-08i
3.23155854935978e-06-9.02649961165717e-07i,-1.39012001096787e-05-5.67659358659412e-07i,-8.22573429185705e-06+9.35205432613295e-07i,-1.90407772699752e-06+2.51972648762933e-06i,1.62371110980139e-05+6.35144324408622e-07i,-6.23800754583043e-07-3.05795502536729e-06i,-6.92122774024518e-06-4.87616355236885e-07i,3.87025359479599e-07+3.95971847422735e-07i,-3.78805794900694e-06+9.06919057482695e-07i,6.03230996488587e-06+5.61298008639841e-07i,1.20909959929467e-06-7.15204563653201e-07i,-2.96602378942467e-06-2.5511984318339e-07i,-1.71669643837705e-07+5.09924768957082e-07i,-6.42046169845044e-08+2.67983163436949e-07i,6.3759658691016e-07+4.153068216e-08i
3.22558901204658e-06-9.00479635926453e-07i,-1.38454111636707e-05-5.57169642351251e-07i,-8.23374403487796e-06+8.91240628127568e-07i,-1.93570137352192e-06+2.56332844564969e-06i,1.61684434858101e-05+6.27828079025956e-07i,-3.54049896731372e-07-2.83744069910141e-06i,-6.92444304243216e-06-4.56710153234283e-07i,3.79355687661934e-07+4.22323023042712e-07i,-3.7278067287341e-06+9.1455308483483e-07i,5.9576032316864e-06+5.71607190392088e-07i,1.21640825324829e-06-7.27473506044114e-07i,-2.9305691588683e-06-2.51846762414234e-07i,-2.00352288032189e-07+5.56118460723282e-07i,-7.05803601424978e-08+2.74487508981667e-07i,6.45339721815194e-07+5.2734213212736e-08i
3.21983562906764e-06-8.98461420424229e-07i,-1.37946991135491e-05-5.47563857672875e-07i,-8.23999355096038e-06+8.45565734218756e-07i,-1.97651228252944e-06+2.63502586032199e-06i,1.61006172607623e-05+6.2163697571312e-07i,-1.51009643691611e-07-2.6378993607206e-06i,-6.91955241473523e-06-4.28624047488667e-07i,3.71425680080451e-07+4.45628461478762e-07i,-3.66909525324512e-06+9.22309235233737e-07i,5.88471556367329e-06+5.82889248737885e-07i,1.22504520092481e-06-7.45270976116887e-07i,-2.89540740940625e-06-2.49337951461579e-07i,-2.37616276237276e-07+6.10126697333041e-07i,-7.76484061553158e-08+2.81593780244959e-07i,6.47826552252976e-07+6.14506037513544e-08i
3.21428738707543e-06-8.965875258032e-07i,-1.37483792867991e-05-5.39149312620381e-07i,-8.2462485030492e-06+7.95463895592241e-07i,-2.03213471626503e-06+2.74176933522544e-06i,1.60336440074154e-05+6.15908328576848e-07i,4.07178212271055e-09-2.46012529015642e-06i,-6.90895199132236e-06-4.03815165380978e-07i,3.63395654722962e-07+4.66779251392289e-07i,-3.61187492236267e-06+9.30226937536232e-07i,5.81379455122573e-06+5.95469985120005e-07i,1.23559305067888e-06-7.69190203076854e-07i,-2.86054294531154e-06-2.4754107201444e-07i,-2.87004180185296e-07+6.73471409320106e-07i,-8.55065971030636e-08+2.89361518259533e-07i,6.472612365041e-07+6.83055980850434e-08i
3.20893386804027e-06-8.9485491275974e-07i,-1.37058847947031e-05-5.3138608204005e-07i,-8.25506593300842e-06+7.37931205277018e-07i,-2.11215765945599e-06+2.89453236653701e-06i,1.59675291790026e-05+6.10780494427722e-07i,1.24178698629061e-07-2.30260153275591e-06i,-6.89429601149275e-06-3.81679868235399e-07i,3.55348842897965e-07+4.86412355055398e-07i,-3.55608634639788e-06+9.38402646680154e-07i,5.74501298288175e-06+6.09484934291189e-07i,1.24880165088752e-06-8.00044834464751e-07i,-2.82599341910142e-06-2.46552762476411e-07i,-3.53940518329966e-07+7.47715059043159e-07i,-9.42727981000384e-08+2.97850083292003e-07i,6.44850303337891e-07+7.37397023665307e-08i
3.20376529196033e-06-8.93223778890794e-07i,-1.36667420606609e-05-5.24480087729447e-07i,-8.27072121896657e-06+6.69141453145109e-07i,-2.23425308416231e-06+3.11005319493344e-06i,1.59022739242455e-05+6.06432733641692e-07i,2.18297900868319e-07-2.16326611273651e-06i,-6.8767254385545e-06-3.6219012601259e-07i,3.47322946261935e-07+5.05007045728011e-07i,-3.50166473521683e-06+9.46853159107021e-07i,5.67859129300112e-06+6.25199818656771e-07i,1.26567617163251e-06-8.38929210296991e-07i,-2.79180872506176e-06-2.46294729505009e-07i,-4.46934369361391e-07+8.33958394626147e-07i,-1.04088229149687e-07+3.07119592997403e-07i,6.41287957529173e-07+7.81137412305568e-08i
3.19877244007419e-06-8.91699160268902e-07i,-1.36305527384179e-05-5.17818548604452e-07i,-8.30136835221256e-06+5.8281734498079e-07i,-2.43377227164316e-06+3.41483458631715e-06i,1.58378764624059e-05+6.02368794802546e-07i,2.92818592708484e-07-2.03982212207363e-06i,-6.85704577733879e-06-3.44715616853312e-07i,3.39328358210662e-07+5.22926041127378e-07i,-3.44854043745929e-06+9.55683252897799e-07i,5.61483068578411e-06+6.43003018536122e-07i,1.2876140612606e-06-8.8726868263185e-07i,-2.75809990195795e-06-2.46780042204678e-07i,-5.79520700221833e-07+9.31358266414214e-07i,-1.15122410666238e-07+3.17229960647999e-07i,6.36990250904888e-07+8.1704527402025e-08i
3.19394661122175e-06-8.90288917741382e-07i,-1.35969790204985e-05-5.1232708406085e-07i,-8.36464786816537e-06+4.69492490627465e-07i,-2.78876542353372e-06+3.84795438220945e-06i,1.5774332547207e-05+5.98809636373026e-07i,3.52306473669922e-07-1.93021073887008e-06i,-6.83582761773492e-06-3.292812117663e-07i,3.31359356050406e-07+5.40426976853399e-07i,-3.39664188837498e-06+9.64872087264846e-07i,5.55416279831135e-06+6.63510592863993e-07i,1.3166141002027e-06-9.47050875070005e-07i,-2.72508358809478e-06-2.47963405855512e-07i,-7.73094822409489e-07+1.03314954849044e-06i,-1.27578179061559e-07+3.28241843892426e-07i,6.32215961002948e-07+8.47105413127922e-08i
3.1892797166813e-06-8.88944692946595e-07i,-1.35657331955037e-05-5.06566236629644e-07i,-8.50369252117806e-06+3.20394740837311e-07i,-3.49117994709575e-06+4.44666418514634e-06i,1.57116365070347e-05+5.9528723716635e-07i,4.00105980460841e-07-1.83253576822327e-06i,-6.81348614463238e-06-3.15347041685763e-07i,3.2339893223183e-07+5.57734425215486e-07i,-3.34589235697308e-06+9.74570580424557e-07i,5.49723334897917e-06+6.87199226370129e-07i,1.35563961405209e-06-1.02080964543303e-06i,-2.69312271140135e-06-2.49541630456396e-07i,-1.05917493449492e-06+1.11645886407257e-06i,-1.41699775947057e-07+3.40212913711996e-07i,6.27129704788748e-07+8.69642797507627e-08i
3.21184726389132e-06-8.95729526311721e-07i,-1.3727412498168e-05-5.34963891378031e-07i,-8.25089032167093e-06+7.68986972385682e-07i,-2.06750892597485e-06+2.8102667005848e-06i,1.60038252182867e-05+6.13293517489461e-07i,5.97472302669351e-08-2.38935099868842e-06i,-6.90359932913578e-06-3.93850030998251e-07i,3.60068794199532e-07+4.75842967539534e-07i,-3.58847118017445e-06+9.35079186647674e-07i,5.78528270077042e-06+6.02377380871111e-07i,1.24114884375747e-06-7.82532890679603e-07i,-2.84575825329829e-06-2.47134424494028e-07i,-3.12212556566952e-07+7.02690410954537e-07i,-8.91499927536714e-08+2.92838593219585e-07i,6.46374723118794e-07+7.06877703388383e-08i
3.21179325808133e-06-8.95720405073944e-07i,-1.37272617159433e-05-5.34615359004623e-07i,-8.25073037293304e-06+7.68413703247135e-07i,-2.06766186669452e-06+2.8105408811783e-06i,1.60031276089879e-05+6.13265856743739e-07i,6.1459938996247e-08-2.38715056336956e-06i,-6.90327795929116e-06-3.93555051309207e-07i,3.59922902758881e-07+4.76030112395346e-07i,-3.58749598395517e-06+9.3494636935871e-07i,5.78399196597672e-06+6.02292871819568e-07i,1.24128571796842e-06-7.82773968264667e-07i,-2.84522553527478e-06-2.47097852288771e-07i,-3.13375934807378e-07+7.04032058428374e-07i,-8.92779865384711e-08+2.92979113073523e-07i,6.46349303120968e-07+7.07901365851169e-08i
3.21173718397772e-06-8.95710947256857e-07i,-1.37271050392926e-05-5.35065800264438e-07i,-8.25056571306369e-06+7.68247854897765e-07i,-2.06782374348273e-06+2.81078800151638e-06i,1.60024052323451e-05+6.13504660632557e-07i,6.32123431860312e-08-2.38491610391352e-06i,-6.90294418046651e-06-3.93249222425576e-07i,3.59771873414431e-07+4.76236991594858e-07i,-3.58648825878148e-06+9.34749645935314e-07i,5.78265898775374e-06+6.02342379763219e-07i,1.24142812061498e-06-7.83016755625827e-07i,-2.84467658219048e-06-2.47034165308724e-07i,-3.14584567164511e-07+7.05421767793144e-07i,-8.94108992751115e-08+2.93124683810442e-07i,6.4632078658214e-07+7.08933803689223e-08i
3.21167889215461e-06-8.9571976832166e-07i,-1.37269422776649e-05-5.34743142675533e-07i,-8.25039490902767e-06+7.68018461329357e-07i,-2.06798958845261e-06+2.81108584392403e-06i,1.6001656433423e-05+6.13428605685813e-07i,6.50245289016769e-08-2.38259656299293e-06i,-6.90259841633515e-06-3.9279226923838e-07i,3.59615829473903e-07+4.76440689065391e-07i,-3.58544460650696e-06+9.3456747837806e-07i,5.78128146282426e-06+6.02342500820196e-07i,1.24157560606398e-06-7.83287281991694e-07i,-2.8441103748994e-06-2.46996234924861e-07i,-3.15844577800597e-07+7.06865843179724e-07i,-8.95494107757067e-08+2.93274987016471e-07i,6.46289014610137e-07+7.10027408493094e-08i
3.21161821142643e-06-8.95704475490096e-07i,-1.37267727743763e-05-5.35221842552004e-07i,-8.25021799072677e-06+7.68075706075604e-07i,-2.06816567242567e-06+2.81135057691282e-06i,1.60008791743156e-05+6.1317906451038e-07i,6.69012659942931e-08-2.38018495195352e-06i,-6.90223545820835e-06-3.9267290340287e-07i,3.59454316989699e-07+4.76643162425738e-07i,-3.58436213781282e-06+9.34393728073589e-07i,5.77985628918152e-06+6.02228669842545e-07i,1.2417295487561e-06-7.83557799332067e-07i,-2.84352601198209e-06-2.46967629830606e-07i,-3.17158230249882e-07+7.08366672157077e-07i,-8.9693593688566e-08+2.93431361178522e-07i,6.4625429356902e-07+7.11513413047676e-08i
3.21155493450582e-06-8.95703502732972e-07i,-1.37265962606354e-05-5.34930732566136e-07i,-8.25003260398752e-06+7.67522834163378e-07i,-2.06834715843105e-06+2.81165929353534e-06i,1.6000071038576e-05+6.13620725160932e-07i,6.88477640397292e-08-2.3776736117534e-06i,-6.90185911267365e-06-3.92349832878058e-07i,3.5928656752373e-07+4.7685888614252e-07i,-3.58323844155388e-06+9.34136871878589e-07i,5.77837858065848e-06+6.02267882092147e-07i,1.24189023368732e-06-7.83834801898087e-07i,-2.84292249608939e-06-2.46937616272715e-07i,-3.18530402420693e-07+7.09929275341029e-07i,-8.98440909513241e-08+2.93593881330221e-07i,6.46214527441141e-07+7.12390116487626e-08i
3.21148887400822e-06-8.95694189706713e-07i,-1.37264120616197e-05-5.34657976702066e-07i,-8.24984015771427e-06+7.67523437773371e-07i,-2.06853487303222e-06+2.81200808274752e-06i,1.5999229919601e-05+6.13507454644761e-07i,7.08543440444312e-08-2.37509858622855e-06i,-6.90146749845381e-06-3.91912769666791e-07i,3.59112030949413e-07+4.77090231008217e-07i,-3.5820687499972e-06+9.33927968661361e-07i,5.77684534146724e-06+6.02215754127674e-07i,1.24205744765407e-06-7.84141206540879e-07i,-2.84229872168574e-06-2.46901998166568e-07i,-3.19968736184371e-07+7.1156142689243e-07i,-9.00014732448138e-08+2.93762989553622e-07i,6.46171710002946e-07+7.13981253492908e-08i
3.21141975501873e-06-8.95694392493213e-07i,-1.37262196020793e-05-5.34405481173531e-07i,-8.24963807343019e-06+7.6716511383832e-07i,-2.06873536059993e-06+2.81231201758994e-06i,1.59983530508505e-05+6.13031155100928e-07i,7.2942830894574e-08-2.37240596696222e-06i,-6.90105673085483e-06-3.91668728313474e-07i,3.58930369230023e-07+4.77327499700516e-07i,-3.58084939907004e-06+9.33732855798356e-07i,5.77525167244807e-06+6.02164166545274e-07i,1.2422322526652e-06-7.8446332748759e-07i,-2.84165345996909e-06-2.46864109179693e-07i,-3.21474944912973e-07+7.13264939110809e-07i,-9.01662468137553e-08+2.9393950201603e-07i,6.46142127411613e-07+7.27127008408476e-08i
3.21134734797207e-06-8.95680888475045e-07i,-1.37260180766412e-05-5.34962018800191e-07i,-8.24942596497439e-06+7.66765994183192e-07i,-2.06893842755801e-06+2.81272733538151e-06i,1.59974371778714e-05+6.13114220517175e-07i,7.51202143028639e-08-2.36958536147326e-06i,-6.90062995261973e-06-3.91106608546506e-07i,3.58740907252742e-07+4.77573638203922e-07i,-3.57957707914163e-06+9.33428126680944e-07i,5.77359255597329e-06+6.02121714444992e-07i,1.24241583388513e-06-7.84785907617672e-07i,-2.84098534202071e-06-2.46835975763754e-07i,-3.23058077129143e-07+7.15048955459933e-07i,-9.03391261857218e-08+2.94123965961125e-07i,6.46069537587997e-07+7.16026775376296e-08i
3.21127133463098e-06-8.95690870872816e-07i,-1.3725806942658e-05-5.34757300090551e-07i,-8.24920331616819e-06+7.66633259387651e-07i,-2.06915647556526e-06+2.81308746184035e-06i,1.59964790303391e-05+6.13287264263261e-07i,7.73942726603507e-08-2.36662515226662e-06i,-6.90018099049799e-06-3.90765567927094e-07i,3.585428895976e-07+4.77831954079026e-07i,-3.57824528395048e-06+9.33184913285907e-07i,5.7718622979442e-06+6.02122867994322e-07i,1.24260774681998e-06-7.85144619633109e-07i,-2.84029294006593e-06-2.46802721096259e-07i,-3.24725896752507e-07+7.16921293026237e-07i,-9.05207849718136e-08+2.94317320179921e-07i,6.46011468152414e-07+7.17762410119204e-08i
3.21128745789171e-06-8.82187108697627e-07i,-1.37146379058592e-05-5.19573000930708e-07i,-8.34242870001467e-06+6.71391196780278e-07i,-2.4708193917329e-06+3.57655949640179e-06i,1.61930427012024e-05+6.47934013698928e-07i,-5.86645502356956e-06-1.87806689146757e-06i,-6.37520392043507e-06-3.36312455137151e-07i,3.73867498938709e-07+4.15540692800567e-07i,-3.56487527440662e-06+1.00075916060573e-06i,5.84464478707309e-06+6.62872427404724e-07i,1.30373202807049e-06-9.1156366717746e-07i,-2.91010552737799e-06-2.49543107824967e-07i,-1.75359613956312e-07+5.07326606325496e-07i,-7.72508851037249e-08+2.76963386137442e-07i,6.60830201189555e-07+8.37927400819878e-08i
3.21137713324834e-06-8.84666529145717e-07i,-1.37174921246013e-05-5.22723293969197e-07i,-8.31026289883092e-06+7.04973815568332e-07i,-2.32857868750518e-06+3.34637665011352e-06i,1.61494970000453e-05+6.39824098524692e-07i,-3.33451421964137e-06-3.65238352184542e-06i,-6.63519050808597e-06-5.49662717253069e-07i,3.71106610785512e-07+4.28430028938547e-07i,-3.56955968813841e-06+9.84286063190179e-07i,5.82941057893975e-06+6.47460991547746e-07i,1.28695695681892e-06-8.7706148011623e-07i,-2.8949061854626e-06-2.48629452448036e-07i,-1.96816720317815e-07+5.43348377366327e-07i,-7.98604068895662e-08+2.80182005537796e-07i,6.58470214268184e-07+8.1623777308609e-08i
3.21145508514946e-06-8.87459062140243e-07i,-1.3720241210099e-05-5.26574893437185e-07i,-8.28694183980417e-06+7.30124410259392e-07i,-2.22637357423636e-06+3.15774043400222e-06i,1.61063887417239e-05+6.31574715654435e-07i,-1.52159632966861e-06-3.49685124971844e-06i,-6.81150725813811e-06-5.30464374280829e-07i,3.68095612450907e-07+4.41703287227003e-07i,-3.57394651613538e-06+9.68820299158943e-07i,5.81461893290712e-06+6.33252027458261e-07i,1.27220778109768e-06-8.46508176384598e-07i,-2.87988328052494e-06-2.47927030965746e-07i,-2.22848653748187e-07+5.83857494347837e-07i,-8.25586080735652e-08+2.83664439164313e-07i,6.5569233326043e-07+7.9150889524622e-08i
3.21151949043188e-06-8.90528383405515e-07i,-1.37228902109533e-05-5.29559838613584e-07i,-8.26941191409852e-06+7.48527761133259e-07i,-2.15041472176922e-06+3.00120769649303e-06i,1.60637097934465e-05+6.23827246141408e-07i,-5.87077270841253e-07-3.00160408817161e-06i,-6.88322551379432e-06-4.69739388236655e-07i,3.64819669828713e-07+4.55378177792556e-07i,-3.57806682944457e-06+9.54295603214701e-07i,5.80019439363497e-06+6.20142204967486e-07i,1.2590879627872e-06-8.19272020415064e-07i,-2.86505397477367e-06-2.47399212052537e-07i,-2.54777314343354e-07+6.29502802586568e-07i,-8.53570297701316e-08+2.87408149720361e-07i,6.52403456151612e-07+7.62265002191669e-08i
3.21156859036077e-06-8.9391502444785e-07i,-1.37254434128351e-05-5.3325432032861e-07i,-8.25582542807149e-06+7.62554432451405e-07i,-2.09233306607362e-06+2.86963310686332e-06i,1.60214523198516e-05+6.16473265314613e-07i,-9.21485707451042e-08-2.56188959123898e-06i,-6.90265875120346e-06-4.1534647672265e-07i,3.6126162432063e-07+4.69510149726004e-07i,-3.5819473785624e-06+9.40730619581413e-07i,5.78607987362066e-06+6.0794365993793e-07i,1.24728926617053e-06-7.94921569149195e-07i,-2.85044172236864e-06-2.4704528323595e-07i,-2.94398426315119e-07+6.8098500688734e-07i,-8.82671941037693e-08+2.91412368779831e-07i,6.48481476938476e-07+7.29256425964012e-08i
3.2116008054796e-06-8.9757145021135e-07i,-1.37279050957637e-05-5.36876415150949e-07i,-8.24501058814218e-06+7.72511902810669e-07i,-2.04681681278633e-06+2.75777310668437e-06i,1.59796084073185e-05+6.10090853244183e-07i,1.91562828711182e-07-2.21845525609128e-06i,-6.89719630936324e-06-3.72273224956736e-07i,3.57403128058906e-07+4.84119552697224e-07i,-3.58561338405785e-06+9.27995726565392e-07i,5.77223034322685e-06+5.96697962368808e-07i,1.23657419436967e-06-7.73043040386111e-07i,-2.83607912287853e-06-2.46934730986243e-07i,-3.44199856239454e-07+7.39016137949649e-07i,-9.13012527790941e-08+2.95676617273073e-07i,6.437623512296e-07+6.9243391920116e-08i
