15.731,57.782,12.792,51.521,2.815,5.8794,48.632,38.959
15.967,57.825,12.768,51.166,0.94408,4.1701,47.636,37.884
16.207,57.872,12.749,50.824,0.95489,2.4354,46.622,36.801
16.452,57.923,12.734,50.493,2.8788,0.67772,45.591,35.711
16.702,57.979,12.721,50.176,4.8244,1.1002,44.544,34.615
16.955,58.041,12.71,49.871,6.789,2.896,43.483,33.515
17.211,58.109,12.699,49.579,8.7696,4.7071,42.409,32.409
17.471,58.183,12.688,49.299,10.763,6.5312,41.323,31.3
17.733,58.265,12.676,49.033,12.768,8.366,40.225,30.187
17.998,58.355,12.661,48.779,14.78,10.209,39.117,29.072
17.736,58.266,12.676,49.03,12.788,8.3845,40.214,30.176
18.001,58.356,12.661,48.776,14.8,10.228,39.106,29.061
17.739,58.267,12.676,49.027,12.808,8.4029,40.203,30.165
18.003,58.357,12.661,48.773,14.82,10.246,39.095,29.05
17.741,58.268,12.675,49.025,12.828,8.4214,40.192,30.154
18.006,58.357,12.661,48.771,14.84,10.265,39.083,29.038
17.744,58.269,12.675,49.022,12.848,8.4399,40.181,30.143
18.009,58.358,12.66,48.768,14.861,10.283,39.072,29.027
17.746,58.269,12.675,49.019,12.868,8.4584,40.17,30.132
18.011,58.359,12.66,48.766,14.881,10.302,39.061,29.016
17.749,58.27,12.675,49.016,12.889,8.4768,40.158,30.12
18.014,58.36,12.66,48.763,14.901,10.321,39.05,29.005
17.752,58.271,12.675,49.014,12.909,8.4953,40.147,30.109
18.017,58.361,12.66,48.761,14.921,10.339,39.039,28.994
17.754,58.272,12.675,49.011,12.929,8.5138,40.136,30.098
18.019,58.362,12.66,48.758,14.942,10.358,39.028,28.983
17.757,58.273,12.674,49.008,12.949,8.5323,40.125,30.087
18.022,58.363,12.66,48.755,14.962,10.376,39.016,28.971
17.76,58.273,12.674,49.006,12.969,8.5508,40.114,30.076
18.025,58.364,12.659,48.753,14.982,10.395,39.005,28.96
17.762,58.274,12.674,49.003,12.989,8.5692,40.103,30.065
18.027,58.365,12.659,48.75,15.002,10.413,38.994,28.949
17.765,58.275,12.674,49,13.01,8.5877,40.092,30.054
18.03,58.366,12.659,48.748,15.023,10.432,38.983,28.938
17.767,58.276,12.674,48.998,13.03,8.6062,40.081,30.042
18.033,58.366,12.659,48.745,15.043,10.45,38.972,28.927
17.77,58.277,12.674,48.995,13.05,8.6247,40.07,30.031
18.035,58.367,12.659,48.743,15.063,10.469,38.961,28.915
17.773,58.278,12.674,48.992,13.07,8.6432,40.059,30.02
18.038,58.368,12.658,48.74,15.083,10.488,38.949,28.904
17.775,58.278,12.673,48.99,13.09,8.6617,40.048,30.009
18.04,58.369,12.658,48.737,15.104,10.506,38.938,28.893
17.778,58.279,12.673,48.987,13.111,8.6802,40.037,29.998
18.043,58.37,12.658,48.735,15.124,10.525,38.927,28.882
17.781,58.28,12.673,48.984,13.131,8.6987,40.026,29.987
18.046,58.371,12.658,48.732,15.144,10.543,38.916,28.871
17.783,58.281,12.673,48.981,13.151,8.7172,40.014,29.975
18.048,58.372,12.658,48.73,15.165,10.562,38.905,28.86
17.786,58.282,12.673,48.979,13.171,8.7357,40.003,29.964
18.051,58.373,12.658,48.727,15.185,10.58,38.894,28.848
17.788,58.283,12.673,48.976,13.191,8.7542,39.992,29.953
18.054,58.374,12.657,48.725,15.205,10.599,38.882,28.837
17.791,58.283,12.673,48.973,13.212,8.7727,39.981,29.942
18.056,58.375,12.657,48.722,15.225,10.618,38.871,28.826
17.794,58.284,12.672,48.971,13.232,8.7912,39.97,29.931
18.059,58.376,12.657,48.72,15.246,10.636,38.86,28.815
17.796,58.285,12.672,48.968,13.252,8.8097,39.959,29.92
18.062,58.376,12.657,48.717,15.266,10.655,38.849,28.804
17.799,58.286,12.672,48.965,13.272,8.8282,39.948,29.908
18.064,58.377,12.657,48.714,15.286,10.673,38.838,28.792
17.802,58.287,12.672,48.963,13.293,8.8468,39.937,29.897
18.067,58.378,12.657,48.712,15.307,10.692,38.826,28.781
17.804,58.288,12.672,48.96,13.313,8.8653,39.926,29.886
18.07,58.379,12.656,48.709,15.327,10.711,38.815,28.77
17.807,58.288,12.672,48.957,13.333,8.8838,39.915,29.875
18.072,58.38,12.656,48.707,15.347,10.729,38.804,28.759
17.809,58.289,12.672,48.955,13.353,8.9024,39.904,29.864
18.075,58.381,12.656,48.704,15.367,10.748,38.793,28.748
17.812,58.29,12.671,48.952,13.374,8.9209,39.892,29.853
18.078,58.382,12.656,48.702,15.388,10.766,38.782,28.736
17.815,58.291,12.671,48.949,13.394,8.9395,39.881,29.841
18.08,58.383,12.656,48.699,15.408,10.785,38.77,28.725
17.817,58.292,12.671,48.946,13.414,8.958,39.87,29.83
18.083,58.384,12.655,48.696,15.428,10.804,38.759,28.714
17.82,58.293,12.671,48.944,13.434,8.9766,39.859,29.819
18.086,58.385,12.655,48.694,15.449,10.822,38.748,28.703
17.823,58.293,12.671,48.941,13.455,8.9952,39.848,29.808
18.088,58.386,12.655,48.691,15.469,10.841,38.737,28.692
17.825,58.294,12.671,48.938,13.475,9.0138,39.837,29.797
18.091,58.386,12.655,48.689,15.49,10.86,38.725,28.68
17.828,58.295,12.67,48.936,13.495,9.0324,39.826,29.785
18.093,58.387,12.655,48.686,15.51,10.878,38.714,28.669
17.83,58.296,12.67,48.933,13.516,9.051,39.814,29.774
18.096,58.388,12.655,48.683,15.53,10.897,38.703,28.658
17.833,58.297,12.67,48.93,13.536,9.0696,39.803,29.763
18.099,58.389,12.654,48.681,15.551,10.916,38.692,28.647
