f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
62.8199058339239,105.049293959147,164.353749067682,168.760329658229,207.988359860297,284.018564399059,319.350987208249,336.575378585655,465.11989750568,493.810467362903,499.473453930642,533.507488641129,576.874919661975,605.64763622125,730.153787659443
67.2568236103099,115.892042816901,133.578961858981,177.982419892793,185.027485418797,310.463461435634,315.697695423505,361.229439008644,364.210049404625,412.165932406402,505.325848542773,536.434737970785,566.664999108393,614.42655685529,718.151878882908
56.9668668504204,120.618996769141,165.675407886937,183.868358320383,214.504737590838,314.936616601402,318.834687335796,356.502530052603,491.558613736416,506.120171511813,532.074364144731,584.824105866836,607.067723521868,626.585794146364,736.296965128729
58.8318342399522,124.016125802152,170.784675550333,207.341953340329,237.124910725794,331.110985539848,335.68991023455,371.337352481961,517.647457315003,569.997748731653,594.221013999012,618.81595174397,651.882872064358,676.248695431923,781.018702481666
86.6482267458974,129.402115465828,206.289422763576,217.922369262341,264.791656476716,355.846473477552,423.434429110576,434.429183542828,566.868469616941,621.026115300391,656.193702504309,672.564512557574,738.117755970545,782.101069886848,963.968971312292
71.1325222768057,80.1124375740766,137.577078608506,163.609022589861,193.927413596857,216.475784483967,299.808849384507,318.013978379807,380.748118844052,408.639938428144,429.126324246712,479.389666721954,486.634758520567,554.696035664613,645.460985775108
72.1020261323304,114.936207986643,168.397649325071,183.463260170088,217.41169604302,301.049391283417,343.329524070177,361.843979811034,464.26542518113,505.091036293071,525.623440455867,545.705924308485,596.597844449741,622.414576654241,754.901016705137
68.7470686700371,107.735404372209,176.329367558481,211.232683294021,246.348297317031,298.840010824503,356.953444168734,365.417767183953,550.540050947493,562.109799195113,576.272204870174,614.433742929567,620.56336883912,723.171525463817,804.199064503487
40.5903343213926,88.8150378862307,111.374896603168,120.413776146221,137.163192158782,216.452522727981,247.783876864652,274.701090851958,296.206039745962,318.541019629376,363.866598790212,389.042563272818,491.333175796162,517.084100394858,524.201837801994
62.3503410205075,83.898795462562,142.951143054246,150.224773179757,186.877657224909,225.160645805131,288.445004152939,293.237774128909,395.232544685883,423.929352234718,431.568397005265,443.778930038419,480.991996990753,532.703793331814,636.558063845271
76.5454386570379,114.150975107684,127.526172226637,192.23385597478,194.788157073383,313.937599009232,345.894952822691,346.663539107275,381.101806682027,412.274692642952,554.633616098952,569.094550694915,590.260824806476,654.561933608688,686.372524570096
81.536184431594,101.315430591447,192.835713615738,193.580803224971,244.268964818377,277.162362127624,360.277997570211,384.45942733373,508.559718992921,532.290934357165,571.987129594123,579.553682320486,589.307875080942,709.144083690197,788.146291941105
52.9720292455618,94.577566710976,143.418580242697,238.954899468493,249.672880433569,269.840074577597,302.94028309556,336.889243431852,480.816945801584,497.524884464832,535.577957358976,660.19306123705,676.565191437065,698.088183562087,742.045852590659
59.3369185902903,67.7115050182228,133.339325257612,137.462591760403,173.572189739218,186.233210425309,253.45470013947,276.231142454542,348.870045743463,369.097480317961,405.698331022334,411.75493329209,414.297899922288,504.437569016689,553.148093651607
74.6598974630328,114.929266868198,188.766482906471,207.829776098019,248.730012689252,309.459680282333,371.355591824247,376.048216919792,561.463888498188,562.677921919116,567.527230013865,607.195057452317,620.467433237054,720.803076563358,800.97611021208
67.316345934322,103.395168907412,170.788461672811,214.675579985243,250.554431740442,281.863265654549,343.354017446679,359.317551803935,532.817411030968,534.375426274294,584.912009497896,598.788254378229,623.883268697739,719.779417152852,772.574807220182
54.4200745898399,65.1296082316774,127.848417659463,148.917910069887,174.115448081708,185.840430746624,239.480038896258,269.500626504816,338.424204561349,394.509904105983,394.679184558959,413.276170579149,439.749553041777,521.179591683792,540.251353589599
46.3538147080606,116.51617881651,147.341038467256,150.172003208786,172.559173288199,267.623057622607,318.060504076031,343.480941490897,403.879727833644,428.725269995774,449.217074847979,507.600258051685,600.522246178986,626.286468721134,667.384263464166
70.9037700406072,83.169433669606,159.443630247192,166.474217440764,205.313539218634,237.686969121662,312.675230898451,336.628297914355,437.426490993535,447.603346571947,485.081410815,510.223641597392,523.356229330749,615.905498571723,720.744984970849
69.7033801922927,128.535900787494,166.635259165441,189.331631139848,214.860455402723,343.602006601192,345.7356502781,396.411816511081,458.736920962559,500.073494500367,552.13331120063,619.809233689629,640.354194799149,688.161366000533,817.784473737281
