f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
2.72336675103504e-06,1,1.07094237597014e-05,2,2.51490457106673e-06,4,4.8803198937472e-06,3,1.28792688535925e-05,5,9.79437672237523e-07,6,7.56374029764568e-06,7,1.06837197302803e-06,8,6.83607825819378e-06,9,2.37675986397713e-06,11,1.11616549616875e-05,10,9.56596821492121e-07,12,1.7494265562007e-06,14,5.18454515265969e-06,13,7.37477355354351e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.26993202619057e-06,1,2.66673458584775e-05,2,4.72833000865343e-06,3,1.78698997270583e-05,4,3.63378235885727e-05,5,3.58078915410517e-06,7,2.16928892013092e-05,6,1.30349500141646e-06,8,1.75953084231208e-05,10,5.64431858650397e-06,9,3.03674038291061e-05,11,1.53297285612576e-06,12,2.50352146354905e-06,13,1.63818717241239e-05,14,3.65844147350699e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.42967226057607e-06,1,2.61402914573531e-05,2,4.69023605315573e-06,3,1.8217640758991e-05,4,3.56210619584203e-05,5,3.3589771550565e-06,7,2.05210101526562e-05,6,9.73389886307657e-07,8,1.429381878702e-05,10,4.26777753658818e-06,9,2.49339687065719e-05,11,3.37047818808162e-06,12,8.26318208446975e-06,13,7.04392901093738e-06,14,4.264779249982e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.84138670892431e-06,1,2.83260129086572e-05,2,7.96651089916125e-06,4,1.81209342461496e-05,3,3.70592097713961e-05,5,2.79127569010345e-06,6,1.97162090192173e-05,7,1.89583323079907e-05,8,1.75409799445476e-05,9,1.44180135447822e-05,12,3.00913892816312e-05,11,1.30406485945679e-05,10,1.47445727757176e-06,13,1.72189211074108e-05,14,7.26412133212463e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.08374366454973e-06,1,2.41691003874644e-05,2,4.78685291870874e-06,4,1.06953649000094e-05,3,2.7133912246939e-05,5,8.79013157019517e-07,6,1.27614280171054e-05,7,5.88878381400442e-06,8,1.04309183459769e-05,9,3.38374766426251e-06,12,1.60168733092091e-05,10,2.21429073712307e-06,11,1.01566274825357e-06,13,7.84415408231667e-06,14,4.21860218603066e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.39104439025012e-06,1,2.76966576326111e-05,2,5.18634527460294e-06,4,1.01794182166252e-05,3,3.16070415892083e-05,5,2.97086230184112e-06,7,1.93869807369272e-05,6,2.95809068971034e-06,8,1.82357067359419e-05,9,5.65349954757095e-06,11,3.00458766290323e-05,10,3.99635491394567e-07,13,5.3883266355619e-07,14,1.89262517338592e-05,12,NaN,NaN,6.19504014083707e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.04305329830511e-06,1,1.9949465795597e-05,2,4.95904273271369e-06,4,8.79039821642931e-06,3,2.26724925141456e-05,5,2.27127094221163e-06,6,1.3393387023076e-05,7,1.66239936646776e-06,8,1.20633254161953e-05,9,4.05109935906196e-06,11,1.95707357381083e-05,10,6.23891124802698e-06,12,5.50797408613469e-07,14,1.15980009171342e-05,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16257393700909e-06,15,NaN,NaN,NaN,NaN,NaN,NaN
3.98737753986325e-06,1,1.81901300214255e-05,2,3.58074202075104e-06,4,4.59567486822108e-06,3,1.81090825144665e-05,5,1.48983637429957e-06,6,9.9130502238285e-06,7,1.83802443526806e-06,8,8.75952145922336e-06,9,2.71995107484384e-06,11,1.32851777440798e-05,10,3.07632111123387e-06,13,5.54239125901079e-07,14,7.36848641005329e-06,12,NaN,NaN,1.85626569636878e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.38748162105005e-06,1,1.18105653985402e-05,2,2.16273358060099e-06,3,8.01767744357232e-06,4,1.59397318610468e-05,5,1.29755434121664e-06,6,8.88045476362942e-06,8,1.86550281910133e-06,7,5.86415093237559e-06,12,2.46809488825375e-06,9,1.02371317731604e-05,13,2.69614976148182e-07,10,1.88584195224332e-07,11,6.22315933922219e-06,14,1.3723020556449e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.93595458423361e-06,1,2.19536793450808e-05,2,3.71666976065615e-06,3,8.40094002736048e-06,4,2.53816245090971e-05,5,1.79062670984227e-06,7,1.4800704513255e-05,6,1.67593612286549e-06,8,1.54253159909017e-05,10,3.75198055463932e-06,9,2.36448614444168e-05,11,2.08932985356315e-07,13,7.42185896692922e-07,14,1.17015718830683e-05,12,NaN,NaN,3.27002429343466e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.66026656530024e-06,1,3.43904175834065e-05,2,5.59547223976587e-06,3,1.62635361457128e-05,4,3.99968977889338e-05,5,1.68114813130313e-06,6,2.02228203015254e-05,7,2.30874580751921e-06,8,1.1516936452073e-05,11,5.23656958529763e-06,9,2.14672171999562e-05,13,1.08356105465339e-06,10,8.22373340874183e-06,12,1.15547929907029e-05,14,7.57023129744604e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.30343948757051e-06,1,1.41988627640902e-05,2,3.63769888216511e-06,4,9.41795082033058e-06,3,1.92616243003227e-05,5,1.61893655703503e-06,6,1.13768084800221e-05,8,2.89832126378505e-06,7,1.00243396807835e-05,9,3.81573141826467e-06,12,1.6805059177993e-05,10,4.46194425607845e-06,11,1.18630615318674e-06,13,1.01098995303291e-05,14,7.14937751219984e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.31888828421421e-05,1,4.79750279767095e-05,2,8.26575239415642e-06,3,2.75266548453382e-05,4,5.59902086329073e-05,5,3.9622346901176e-06,6,2.86588672290726e-05,7,2.3905987640505e-06,8,1.8562457938353e-05,10,7.03104973587895e-06,9,3.03653403746761e-05,12,5.11685395518826e-06,11,1.14436771562348e-06,13,1.67347936657035e-05,14,4.4631211074832e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.13142112926306e-06,1,1.63411409448206e-05,2,3.71602519086306e-06,4,9.82079050861516e-06,3,2.14435456265566e-05,5,1.46768219890474e-06,6,1.19187842033277e-05,8,1.99758925101357e-06,7,1.06106597391651e-05,9,3.99951016780698e-06,12,1.71316526082513e-05,11,8.32080307040935e-06,10,2.09269211209296e-06,13,9.90308783561144e-06,14,NaN,NaN,NaN,NaN,1.81302276587032e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.20692104924273e-06,2,1.23118327219063e-05,1,1.37964212633456e-06,5,6.85589596010652e-06,3,1.19653611955725e-05,6,3.81598249722676e-06,4,9.47899329461782e-06,9,1.38446016718795e-06,7,8.95773568339178e-06,10,2.26802272811831e-06,13,1.46496725608062e-05,12,1.45358243823418e-06,8,7.98177893409733e-06,11,9.2014026760743e-06,15,NaN,NaN,NaN,NaN,4.57551344050862e-06,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.82104528947579e-06,1,7.05283994200475e-06,4,2.06657807973266e-06,5,8.10399184987557e-06,2,1.18924836336086e-05,3,1.78519619211083e-06,9,8.38938026317281e-06,6,1.01512474164652e-06,10,8.17630516865056e-06,7,2.61870058030023e-06,12,1.48111830394599e-05,8,NaN,NaN,NaN,NaN,9.10628969632259e-06,11,NaN,NaN,3.19098549730861e-06,14,NaN,NaN,NaN,NaN,1.23364039754167e-06,13,1.40622278186784e-06,15,NaN,NaN,NaN,NaN
3.93730909702326e-06,1,1.43334567848317e-05,2,3.58693050276897e-06,4,9.22691646830278e-06,3,1.93592106833696e-05,5,2.93158753007286e-06,6,1.20935861303728e-05,7,1.02892874695634e-06,8,1.12334173846032e-05,9,3.89126490519616e-06,11,1.94785472705927e-05,10,5.63892489405613e-06,13,4.9834791081998e-07,14,1.21419053977605e-05,12,NaN,NaN,4.21802070710836e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.69872479388455e-06,1,1.12457075718084e-05,2,2.56355035551934e-06,4,4.05485595727857e-06,3,1.23543349668614e-05,5,1.42236517961073e-06,6,6.88050478100296e-06,7,1.04795280464847e-06,8,6.03948063320399e-06,9,1.9731027134833e-06,11,9.48608718581914e-06,10,4.9160773762186e-06,13,6.47240088867038e-07,14,5.0427049075194e-06,12,NaN,NaN,1.53305867271585e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.10717146680354e-06,1,3.20272709471735e-05,2,6.53353922803793e-06,4,1.9461645398895e-05,3,3.64127144432284e-05,5,2.99853469747196e-06,6,1.78699386934715e-05,7,3.286452038308e-06,8,1.22088400309543e-05,9,1.8373837211414e-05,12,2.22882897632376e-05,10,1.98428820874156e-05,11,1.02384608721005e-06,13,1.05059900393112e-05,14,4.83299268046208e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.23298078254281e-05,1,4.70436682229274e-05,2,8.25035617149446e-06,3,2.64987193419191e-05,4,2.71010781124249e-05,6,3.14257895935786e-05,5,2.85498731986558e-05,8,2.79337327487048e-06,7,1.8724828439773e-05,12,7.76786262355411e-06,11,3.14140893665919e-05,13,1.11449768825832e-06,9,4.00585747295054e-06,10,1.73241841652224e-05,15,NaN,NaN,NaN,NaN,6.12248904572209e-06,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.02480549654202e-05,2,1.26946111094515e-05,1,3.95969005662622e-06,4,7.52926597111764e-06,3,2.05133688126852e-05,5,1.48273891708305e-06,6,1.2502471280277e-05,9,3.36651205465116e-06,7,1.14926129275242e-05,8,4.57568701034782e-06,13,1.88185381549389e-05,10,2.14040863638867e-06,11,4.59970783033803e-07,12,1.22400381245749e-05,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.23474630907792e-06,15,NaN,NaN,NaN,NaN,NaN,NaN
3.31017720641966e-06,1,1.15629414441327e-05,2,2.10996860399426e-06,3,6.48556407480893e-06,4,5.76256102654291e-06,6,9.81061336467793e-06,5,8.38655814876844e-06,8,1.14984277850601e-06,7,7.38062717467154e-06,12,2.91416898352137e-06,11,1.27793269035086e-05,13,6.38672667207769e-07,9,1.0220254592575e-06,10,7.69585921692312e-06,15,NaN,NaN,NaN,NaN,2.50450236713348e-06,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.80358818376248e-06,1,9.69814349605846e-06,2,1.80318972496914e-06,3,6.68568216350114e-06,4,1.33161036434721e-05,5,1.45430973626017e-06,6,7.74955397436013e-06,7,1.03050543995087e-06,8,5.66880322901873e-06,11,2.00212273701056e-06,9,1.00921546831652e-05,13,4.95830954905646e-07,10,7.0361696475884e-06,12,6.20138966502697e-06,14,4.20996883244197e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.37713504542272e-05,1,5.40489909162574e-05,2,8.2449606853056e-06,4,1.91366765162916e-05,3,4.7801773781119e-05,5,2.87617961047266e-06,6,1.90024232958613e-05,7,3.27193643372346e-06,8,1.62649560623755e-05,9,3.87850261617015e-06,11,2.29979755193223e-05,10,1.70653858263008e-06,12,6.22109032682499e-07,14,1.04688490741366e-05,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.88796857000484e-07,15,NaN,NaN,NaN,NaN,NaN,NaN
2.37344708487432e-06,1,8.20457527693937e-06,2,1.55065594217485e-06,3,5.46412346067611e-06,4,1.11688589936098e-05,5,1.33094004931741e-06,6,6.62944563470102e-06,7,9.5777401040397e-07,8,5.42817539404819e-06,10,1.90563072647697e-06,9,9.28600786468054e-06,12,4.71303361585681e-06,11,2.2033915578088e-06,13,5.71395449837753e-06,14,4.00844057033933e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.48790855780946e-05,1,5.52492824739339e-05,2,1.01492041367188e-05,3,3.38540223338451e-05,4,7.08345837876698e-05,5,5.07525363907652e-06,6,4.00653499241577e-05,7,3.49074179757409e-06,8,3.07815694905039e-05,9,1.21681705042748e-05,10,5.14819970794155e-05,12,2.8849099643688e-05,11,1.06778928835482e-06,13,2.98102563075417e-05,14,5.65265663569055e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.70792459616017e-06,1,1.79432290434586e-05,2,4.18137732078542e-06,4,9.60305552681619e-06,3,2.32878431497022e-05,5,1.61537378113813e-06,6,1.44520324115253e-05,7,2.47720022688783e-06,8,1.35387346927863e-05,9,5.21773947128353e-06,11,2.29643967897182e-05,10,2.18803408542908e-06,12,2.48654295964846e-06,13,1.2996275306922e-05,14,6.61420833519126e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.04758911746654e-06,1,3.36735486201246e-05,2,6.01015724404456e-06,3,2.16811751111842e-05,4,4.74411341446912e-05,5,1.59511675000224e-06,6,2.47571859637344e-05,8,2.13545915672776e-05,7,1.4598886948823e-05,12,6.90856820206675e-06,9,3.65959104427567e-05,13,5.0464931369362e-07,10,7.48673982883368e-06,11,2.15083907782593e-05,14,8.33371941736502e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.01674072609283e-05,1,3.87268079037046e-05,2,6.72032333644475e-06,3,2.23522534850897e-05,4,5.05758504079477e-05,5,8.58200383135353e-07,6,2.58085242903109e-05,8,3.09949405420408e-06,7,1.28896062782208e-05,12,6.53325820373497e-06,9,3.04172897122716e-05,13,5.05089864285767e-07,10,5.95989975307443e-06,11,1.68981720641596e-05,14,6.10995457555202e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.70054031524976e-06,1,1.79470370477976e-05,2,3.07301784183091e-06,3,9.42618933500318e-06,4,2.18210658606816e-05,5,1.55109418458134e-06,7,1.16808524703076e-05,6,1.01912823111739e-06,8,8.72339027354999e-06,10,2.41078706446886e-06,9,1.43189797618737e-05,11,1.88091289952543e-06,13,1.15717524610704e-06,14,6.68259711582855e-06,12,1.00829958254828e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.30060255001813e-06,1,2.5964382852453e-05,2,4.66952013165071e-06,3,1.65536443055881e-05,5,2.76124806192291e-05,6,6.77087193242683e-06,4,1.79696792878034e-05,8,1.82348250502399e-06,7,1.05776703915669e-05,12,5.02599910113145e-06,10,1.78524143272144e-05,13,4.63488367593173e-07,9,6.00914571328287e-07,11,NaN,NaN,1.65701407840056e-06,14,NaN,NaN,3.32690276861752e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.44367398210728e-06,1,1.29607281904276e-05,2,5.37044116493487e-06,4,6.62222513988192e-06,3,1.63839959485206e-05,5,7.4268353667456e-07,6,8.96804319111299e-06,8,2.53151877526729e-06,7,8.31743362096765e-06,9,3.56730083110436e-06,12,1.3254946259164e-05,11,9.23842680766982e-06,10,9.34753102545355e-07,13,7.76839208379725e-06,14,4.94100942120959e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.34673946335788e-06,1,8.19283405896477e-06,2,1.52354863134071e-06,3,5.53187521553891e-06,4,1.1316884435413e-05,5,1.08665460110676e-06,6,6.62782399993581e-06,8,3.14608156771412e-06,7,5.01870607797448e-06,12,2.22473309178222e-06,9,8.80967679004407e-06,13,5.27313564628696e-07,10,1.92319489922246e-07,11,5.6106918285887e-06,15,3.41697481994937e-06,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.47264785429391e-06,1,1.39011938310064e-05,2,5.18805576143784e-06,4,6.40326816081642e-06,3,1.52214508143851e-05,5,3.54010965232857e-06,6,8.80843353263036e-06,7,2.38104392775393e-06,9,8.28275736108101e-06,8,2.55663760484647e-06,11,1.32597601710551e-05,10,3.5160734568403e-07,13,2.11196618139269e-07,14,7.89551683358219e-06,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.90755396127809e-07,15,NaN,NaN,NaN,NaN,NaN,NaN
7.59459207934125e-06,1,2.71057105859609e-05,2,4.62116434731703e-06,3,1.64619502154717e-05,4,3.39607109717645e-05,5,1.55231293821952e-06,6,1.70489658087712e-05,7,5.23757927007079e-06,8,9.229551141379e-06,12,3.60220520278349e-06,9,1.56967218020563e-05,13,1.35776846805593e-07,10,2.79826118868453e-07,11,8.75505013112897e-06,15,1.98379491069277e-06,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.54826534401567e-06,1,8.40465924801986e-06,2,1.55119003938804e-06,3,4.87089257983979e-06,4,7.53037218256151e-06,6,4.06181919286343e-06,5,6.22391031920137e-06,8,9.21954323481535e-07,7,4.58618803949551e-06,12,1.87753133815466e-06,10,7.64053097389416e-06,13,3.23577495194822e-07,9,1.23344253125254e-06,11,NaN,NaN,7.48386394173693e-07,14,NaN,NaN,1.73828607721931e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.51841652316007e-06,1,1.6071158246149e-05,2,2.99767405583615e-06,3,1.13535625008377e-05,4,2.25961232247458e-05,5,2.15456795955796e-06,6,1.37123899308269e-05,7,1.32062330341217e-06,8,1.17022067884366e-05,10,3.89214148127447e-06,9,2.03175974710392e-05,12,6.56110335393042e-06,11,2.25824781012087e-06,13,1.26413090253339e-05,14,4.15203657059984e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.17288767378148e-06,1,2.47410864431588e-05,2,4.28006817446423e-06,3,1.28584277785562e-05,4,3.19283234233383e-05,5,1.17389745451203e-06,6,1.76081763828912e-05,7,1.94549987259649e-06,8,1.59829696624357e-05,10,4.79638553913182e-06,9,2.50467114624454e-05,11,2.41534036004404e-05,12,9.73513245721755e-07,13,1.39023075993116e-05,14,3.00664299214533e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
