f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
62.8199058339239,1,105.049293959147,2,164.353749067682,3,168.760329658229,4,207.988359860297,5,284.018564399059,6,319.350987208249,7,336.575378585655,8,465.11989750568,9,493.810467362903,10,499.473453930642,11,533.507488641129,12,576.874919661975,13,605.64763622125,14,730.153787659443,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.2568236103099,1,115.892042816901,2,177.982419892793,4,133.578961858981,3,185.027485418797,5,310.463461435634,6,315.697695423505,7,361.229439008644,8,364.210049404625,9,505.325848542773,11,412.165932406402,10,566.664999108393,13,614.42655685529,14,536.434737970785,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,718.151878882908,15,NaN,NaN,NaN,NaN,NaN,NaN
56.9668668504204,1,120.618996769141,2,165.675407886937,3,183.868358320383,4,214.504737590838,5,318.834687335796,7,314.936616601402,6,356.502530052603,8,506.120171511813,10,491.558613736416,9,532.074364144731,11,584.824105866836,12,607.067723521868,13,626.585794146364,14,736.296965128729,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.8318342399522,1,124.016125802152,2,170.784675550333,3,207.341953340329,4,237.124910725794,5,331.110985539848,6,335.68991023455,7,371.337352481961,8,569.997748731653,10,517.647457315003,9,594.221013999012,11,618.81595174397,12,651.882872064358,13,676.248695431923,14,781.018702481666,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86.6482267458974,1,129.402115465828,2,217.922369262341,4,206.289422763576,3,264.791656476716,5,355.846473477552,6,423.434429110576,7,434.429183542828,8,566.868469616941,9,656.193702504309,11,621.026115300391,10,672.564512557574,12,738.117755970545,13,782.101069886848,14,963.968971312292,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.1325222768057,1,80.1124375740766,2,163.609022589861,4,137.577078608506,3,193.927413596857,5,216.475784483967,6,318.013978379807,8,299.808849384507,7,380.748118844052,9,479.389666721954,12,429.126324246712,11,408.639938428144,10,486.634758520567,13,554.696035664613,14,NaN,NaN,NaN,NaN,645.460985775108,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.1020261323304,1,114.936207986643,2,183.463260170088,4,168.397649325071,3,217.41169604302,5,301.049391283417,6,343.329524070177,7,361.843979811034,8,464.26542518113,9,525.623440455867,11,505.091036293071,10,545.705924308485,12,596.597844449741,13,622.414576654241,14,754.901016705137,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.7470686700371,1,107.735404372209,2,176.329367558481,3,211.232683294021,4,246.348297317031,5,298.840010824503,6,365.417767183953,8,356.953444168734,7,576.272204870174,11,550.540050947493,9,614.433742929567,12,562.109799195113,10,620.56336883912,13,723.171525463817,14,804.199064503487,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.5903343213926,1,111.374896603168,3,137.163192158782,5,88.8150378862307,2,120.413776146221,4,296.206039745962,9,216.452522727981,6,318.541019629376,10,247.783876864652,7,389.042563272818,12,274.701090851958,8,NaN,NaN,NaN,NaN,363.866598790212,11,NaN,NaN,524.201837801994,15,NaN,NaN,NaN,NaN,491.333175796162,13,517.084100394858,14,NaN,NaN,NaN,NaN
62.3503410205075,1,83.898795462562,2,150.224773179757,4,142.951143054246,3,186.877657224909,5,225.160645805131,6,293.237774128909,8,288.445004152939,7,395.232544685883,9,443.778930038419,12,431.568397005265,11,423.929352234718,10,480.991996990753,13,532.703793331814,14,636.558063845271,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
