rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz
378.342989665743,13079149586.1652,576549231.59692,458958916.052986,796980060.160483,1005078182.5968,43035543.6992673,0.410832894948789,0.37174305446101,0.357422053053561
403.486067995775,13964727486.4487,648451157.66099,458958916.052986,849996646.265733,1005078182.5968,43035543.6992673,0.412961890190643,0.372680570013603,0.358037749180133
415.876294559109,14401136876.5068,683883213.75461,458958916.052986,876123165.432787,1005078182.5968,43035543.6992675,0.414012009080682,0.373142734069444,0.358341434190789
453.26972627247,15718196962.5289,790817189.903432,458958916.052986,954971050.497533,1005078182.5968,43035543.6992671,0.417179575314358,0.374537069614103,0.359256339981072
387.997457114058,13419195904.6005,604158022.622601,458958916.052986,817337623.756429,1005078182.5968,43035543.6992673,0.41165057269478,0.372102933821482,0.35765873136915
