f1,f2,f3
0.74098,0.00823333333333333,0.751106666666667
0.814373333333333,0.82118,0.777426666666667
0.840066666666667,0.85548,0.866253333333333
0.887673333333333,0.91028,0.877006666666667
0.912713333333333,0.9357,0.949566666666667
0.925526666666667,0.950813333333333,0.946966666666667
0.94552,0.961326666666667,0.963426666666666
0.94994,0.965846666666667,0.97416
0.963273333333333,0.976266666666667,0.979746666666667
0.963913333333333,0.979766666666667,0.982046666666667
0.970453333333333,0.981333333333333,0.985473333333333
0.976653333333333,0.985073333333333,0.987806666666667
0.979113333333333,0.98614,0.98932
0.980413333333333,0.984313333333333,0.991113333333333
0.981226666666667,0.988353333333334,0.991373333333333
0.9789,0.989833333333333,0.994926666666667
0.980893333333333,0.990846666666667,0.994806666666667
0.98464,0.988873333333333,0.99404
0.98548,0.992653333333333,0.994386666666667
0.97472,0.985593333333333,0.995353333333333
0.981606666666667,0.986833333333333,0.99124
0.98818,0.991133333333333,0.994146666666667
0.986413333333333,0.98954,0.992686666666667
0.983013333333333,0.99378,0.997306666666667
0.989066666666667,0.995306666666667,0.99586
0.98722,0.99332,0.9964
0.989073333333333,0.995486666666667,0.995466666666667
0.990386666666667,0.991306666666667,0.996773333333333
0.989073333333333,0.97534,0.99378
0.99064,0.995766666666667,0.996106666666667
0.987953333333333,0.9973,0.991893333333334
0.99306,0.996846666666667,0.997853333333333
0.99004,0.99686,0.99432
0.988086666666666,0.995966666666667,0.993346666666667
0.98718,0.994,0.994053333333333
0.9901,0.997013333333333,0.9953
0.98888,0.997246666666667,0.998413333333333
0.992646666666667,0.991633333333333,0.99736
0.99322,0.995926666666667,0.998313333333333
0.993746666666667,0.996053333333333,0.997746666666667
0.99098,0.9903,0.998206666666667
0.9907,0.997533333333333,0.99836
0.991006666666667,0.998006666666667,0.99332
0.992006666666667,0.994973333333333,0.99688
0.9942,0.998253333333333,0.997146666666667
0.993686666666667,0.997473333333333,0.9969
0.991013333333333,0.997946666666667,0.997873333333333
0.981773333333333,0.99708,0.998053333333333
0.990466666666667,0.9963,0.994173333333333
0.99258,0.993706666666667,0.996966666666667
