f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3,used f4,used f5
62,105.5,147.5,155.5,184.5,288,393.5,420.5,468.5,521,606.5,692,,,,,
60.6177186683904,104.042474021009,146.263710993924,160.270400875378,186.814448874085,299.246745176347,468.527593608838,435.847029430743,485.308476026337,545.977762980838,710.327668244156,705.247415774243,f11,f02,f20,f12,f21
60.0073142505061,103.798860643421,146.070648963393,159.186615170797,186.113651368756,297.387660547184,465.674694081337,435.104390129016,484.139174531041,543.59510681643,706.670166133482,701.488510048142,f11,f02,f20,f12,f22
57.4252162169636,101.225800334736,143.301991261221,153.524768348699,181.707418748154,287.516142273281,449.299907274233,426.461602581296,472.995357409444,527.204560234043,684.373520568652,678.665793089103,f11,f02,f20,f12,f23
60.828184196678,103.239962759567,144.84807789205,160.065967127009,185.788944040013,298.616165406594,467.569068754716,432.235836067764,481.814438349873,543.160755185301,708.407643941948,702.882682295496,f11,f02,f20,f12,f30
60.8223900982008,103.00209954277,145.3507316123,159.88802292817,186.248014771355,298.689503319204,467.274395773622,433.066552965648,482.053678742676,543.822447979458,707.540261025936,703.294263344417,f11,f02,f20,f12,f31
60.3071930318575,103.973093789599,144.167172115087,159.705112646224,184.952569915712,297.091348407943,465.532202993006,432.050980792221,481.464918076907,539.797849785825,707.158565565799,698.788387680547,f11,f02,f20,f12,f32
58.7985407335614,99.0365579771634,145.660047934013,154.230997180267,184.646901164447,291.411231617137,453.583000095038,428.451677691148,473.831242788663,535.829592796428,685.660526667696,688.893309750225,f11,f02,f20,f12,f24
60.4719233062517,103.959902613768,146.396912129996,159.97809637689,186.858026618644,298.843384432731,467.610352435712,436.02977006661,485.170115492796,545.459976737188,709.080090621501,704.26352028654,f11,f02,f20,f12,f33
60.5612509172339,104.756222010693,145.140421668026,160.625220508514,185.930545720802,298.772803970209,468.468610823933,434.761668140315,484.713886224012,543.495879851917,711.529407697039,703.23016507596,f11,f02,f20,f21,f22
57.245871349356,100.758136034098,144.41942771511,152.959549802577,182.437181931732,287.441174973855,448.578382320465,427.889185843922,473.798758950583,528.894248140935,682.589600740626,679.467887951924,f11,f02,f20,f21,f23
61.7419404780509,104.519489076166,144.005506871903,162.250815936686,186.034868892821,301.146348538846,472.155779704691,432.553300758865,483.319590599434,544.370480470236,715.804575510992,706.811769593192,f11,f02,f20,f21,f30
61.6626089637543,104.164484118361,144.313816309542,161.886532213834,186.25771539232,300.860241992238,471.341300647884,432.865391338337,482.999173316898,544.360571845745,714.205760998958,706.399275498147,f11,f02,f20,f21,f31
61.1644849243379,105.167451313744,143.524201352904,161.747058405913,185.321020307696,299.530903015532,469.832801807801,432.637069295403,483.07284504773,541.169176236953,714.044211219363,702.654342318707,f11,f02,f20,f21,f32
58.5729340544445,98.8020100305705,145.713378724551,153.745917556838,184.453635528307,290.74845699467,452.518915799091,428.176230560034,473.376645208626,535.281916627122,684.072302731213,687.7602317097,f11,f02,f20,f21,f24
