f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1
62,105.5,147.5,155.5,184.5,288,393.5,420.5,468.5,521,606.5,692,
61.9999991600895,119.05458628797,176.674115093736,172.12382341791,214.061783313274,327.528173413596,508.04061306746,510.253444479919,560.534978356816,621.985352956746,771.004574547667,782.270556556822,f11
62.9054111877628,105.499996964943,184.451405818199,164.876659555673,220.272537417219,327.648127956839,499.108129413274,507.845389171275,549.504252702283,636.294865323877,739.221388755595,790.89377799224,f02
64.5711485172383,126.260018935547,147.499999398908,180.355606396564,193.269992298861,321.010918722147,510.454954955545,467.108068669288,528.613534948407,567.402457432927,790.94096344113,743.825370405389,f20
53.1536830082538,113.573766080446,186.69615586148,155.500009478486,213.331039614771,307.820402391242,474.583091501064,518.556339935069,561.615266425311,618.789361663583,721.86365258383,755.398148448016,f12
63.632758165557,129.103792385485,137.595044479349,180.702325303537,184.499999616664,314.336496452617,505.161342858473,452.321205453552,517.428470365367,544.287585621295,791.175135027569,722.507303881542,f21
42.7339897283756,154.925262416991,163.376224056004,166.190175796312,187.357860679511,288.000017741125,474.173994953716,523.966541818824,591.48585469241,556.015311234813,786.565794238913,693.60960721663,f22
7.17028441257174,162.356766039717,237.499016110575,118.401426867601,214.193973837019,242.549263082999,393.500003794487,655.448998156906,701.082952975351,628.557585879827,686.460552572751,674.061324087548,f23
77.6603205881754,111.561506656487,129.388873321879,190.371834507203,189.98716840607,337.107100262725,530.5917837593,420.500000587567,481.720257414188,556.304129597344,797.259088326047,759.294905193205,f30
63.6827276083935,117.119473560185,119.942097513795,173.00505070171,169.263486106002,298.503560613146,481.358528160861,405.365851466132,468.499988665692,501.145167424738,750.215158433108,679.244590996538,f31
62.830146932937,131.701368706665,127.492123693943,181.093054628392,175.680789286389,307.777303770348,499.957764824544,436.91598621154,505.57619933008,521.000002758737,791.203369452416,701.256444111819,f32
60.947102329106,64.0556663429178,168.883313928366,135.394604507818,202.628029025993,293.390371913661,433.457720488623,427.345444171909,450.899583449935,581.340880527545,606.500008976453,718.947842950017,f24
61.3810822831029,144.312495087077,121.105945916624,186.93677118667,170.012535607715,306.591342838969,506.516186906437,440.488371834147,516.830849262931,507.966007320488,818.541144227946,692.00000238699,f33
