err [%],used f1,used f2,used f3,Mech params
11.2544909869282,f02,f32,f24,positive MP
11.2953971939329,f20,f23,f32,negative MP
11.6353771961097,f11,f20,f21,negative MP
12.2358973965571,f02,f21,f24,positive MP
12.3245637288726,f11,f31,f24,positive MP
12.3936379437595,f11,f20,f23,negative MP
12.4101149528947,f11,f21,f23,negative MP
12.4961211715298,f32,f24,f33,negative MP
12.5917692949849,f11,f23,f32,negative MP
12.5934717402131,f20,f21,f23,negative MP
12.7860100468589,f30,f31,f24,positive MP
13.4179469553694,f23,f30,f33,negative MP
13.7436816920505,f23,f31,f33,positive MP
14.6261564027532,f11,f23,f33,negative MP
16.4870883628296,f11,f20,f32,negative MP
16.6037694438167,f02,f20,f31,negative MP
18.4326341587458,f23,f24,f33,negative MP
18.7415078780649,f02,f23,f33,negative MP
19.2155376638853,f11,f22,f23,negative MP
19.255916999969,f22,f23,f30,negative MP
19.2593597693158,f02,f24,f33,negative MP
19.6647097934225,f11,f23,f30,negative MP
19.6860566302598,f12,f32,f24,negative MP
19.7032317821306,f12,f21,f24,negative MP
20.0908344194648,f20,f23,f33,negative MP
20.5297547944275,f12,f24,f33,negative MP
21.2829880836216,f02,f23,f24,negative MP
21.4689177488867,f20,f21,f32,negative MP
21.6851311817193,f21,f23,f32,negative MP
21.8397225814862,f11,f21,f32,negative MP
22.0022688309386,f20,f22,f23,negative MP
22.0199036479286,f11,f22,f30,negative MP
22.0769760054624,f21,f22,f32,negative MP
22.2060785929589,f22,f23,f31,negative MP
22.5999512761364,f20,f12,f24,negative MP
23.039540579215,f21,f32,f33,negative MP
23.0625422338319,f11,f22,f31,negative MP
23.4333987683394,f22,f23,f33,negative MP
23.9735227178328,f12,f22,f24,negative MP
24.246009384631,f11,f23,f24,negative MP
25.4210360634383,f22,f23,f32,negative MP
25.8824370692802,f21,f22,f23,negative MP
27.2383692357649,f02,f20,f30,negative MP
28.4499366698893,f02,f12,f23,negative MP
29.2093417533864,f12,f23,f31,negative MP
29.3308486140914,f12,f21,f32,negative MP
29.9683378764265,f23,f32,f33,negative MP
30.0300507764424,f11,f12,f23,negative MP
30.474206662579,f21,f22,f33,negative MP
31.3237832413836,f12,f23,f30,negative MP
32.2502537900939,f20,f22,f32,negative MP
33.4506322424209,f21,f23,f33,negative MP
33.9121889613283,f12,f30,f24,negative MP
34.5087478439372,f11,f02,f23,negative MP
35.125577695377,f21,f32,f24,negative MP
35.7325636306053,f11,f23,f31,negative MP
36.6393702214637,f12,f23,f24,negative MP
38.5835339320549,f02,f22,f24,negative MP
42.3941935801858,f21,f30,f32,negative MP
44.058535460478,f20,f30,f31,positive MP
48.4019309478642,f12,f31,f24,negative MP
49.6441368806779,f20,f12,f23,negative MP
51.1991316670717,f11,f12,f24,negative MP
51.9981761776568,f02,f22,f23,negative MP
57.7476601847019,f02,f12,f24,negative MP
63.4470893818061,f22,f32,f33,negative MP
65.2194558412576,f21,f31,f32,negative MP
66.8716970573925,f11,f02,f24,negative MP
69.3138707435732,f22,f23,f24,negative MP
79.3426992824352,f20,f32,f33,negative MP
93.5342474144732,f12,f23,f32,negative MP
108.664092926839,f12,f22,f23,negative MP
134.157449342599,f12,f21,f23,negative MP
273.411110606246,f11,f02,f12,negative MP
361.119237239589,f02,f21,f32,negative MP
2030.30505125361,f12,f23,f33,negative MP
