err [%],used f1,Mech params
9.23752220866153,f31,negative MP
9.26007035013581,f24,negative MP
11.5423482238428,f32,negative MP
11.8990925794962,f21,negative MP
13.03897257859,f20,negative MP
14.2789883377669,f30,negative MP
14.2882746210028,f33,negative MP
15.1462986625959,f12,negative MP
15.7417957725461,f02,negative MP
16.8928298426923,f11,negative MP
17.0925824678921,f22,negative MP
33.4179961272598,f23,positive MP
