rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1,used f2,used f3,used f4
401.381330344067,13792527266.6766,777569723.003026,577140126.983969,803683721.23041,714818468.325125,47528212.4951123,0.448715850271805,0.423725553473921,0.395903180668779,f11,f02,f20,f12
401.381330344067,14182329106.0683,754005691.922548,577140126.98397,826399245.714326,714818468.325125,47528212.4951123,0.4579560529752,0.424624666866013,0.396855063031467,f11,f02,f20,f21
401.381330344067,13993842379.9822,754053044.208773,577140126.983969,799169572.603852,714818468.325125,47528212.4951123,0.445106832015443,0.420098243755165,0.39723528817984,f11,f02,f20,f22
401.381330344067,12863428525.0552,726381755.243464,577140126.983969,704888692.717961,714818468.325125,47528212.4951124,0.360147413438872,0.437116640605909,0.380673898197963,f11,f02,f20,f23
401.381330344067,13926565926.9787,734994878.9488,577140126.983969,833619528.356764,714818468.325125,47528212.4951124,0.458405204407,0.433538047314495,0.396945234134127,f11,f02,f20,f30
401.381330344067,13821233133.6435,742948376.794452,577140126.983969,832063168.768424,714818468.325125,47528212.4951123,0.446408861045892,0.422342640990731,0.3924828621238,f11,f02,f20,f31
401.381330344067,14101567713.3543,726448149.38278,577140126.983969,814609014.288739,714818468.325125,47528212.4951127,0.429816518675791,0.423866883458318,0.390872126015938,f11,f02,f20,f32
401.381330344067,12341672182.3589,757531263.5287,577140126.983969,745953781.692959,714818468.325125,47528212.4951123,0.383069033591049,0.42620580415243,0.380626727180925,f11,f02,f20,f24
401.381330344067,14107017785.8983,757280332.849076,577140126.983969,818083331.836413,714818468.325125,47528212.4951125,0.440036370505367,0.426110991213876,0.393425141490344,f11,f02,f20,f33
401.381330344067,13804812006.9616,714969102.09474,577140126.983969,804705058.669664,714818468.325126,47528212.4951123,0.448614364634678,0.423715285814318,0.39590278620525,f11,f02,f12,f21
401.381330344067,13857332639.2282,459547218.702504,577140126.983969,808676177.503585,714818468.325125,47528212.4951122,0.448896377064238,0.423802199885909,0.395905419382484,f11,f02,f12,f22
401.381330344067,14209101050.8823,-1284263756.05763,577140126.983969,833570956.015941,714818468.325125,47528212.4951125,0.449765845392457,0.423676369717443,0.396110592919198,f11,f02,f12,f23
401.381330344067,13822933858.8102,637699778.88399,577140126.983969,805657685.116432,714818468.325124,47528212.4951126,0.448677163623877,0.423626715937447,0.395907285236788,f11,f02,f12,f30
401.381330344067,13830898676.7533,605674991.652903,577140126.983969,806110747.162152,714818468.325126,47528212.4951124,0.448821546088328,0.423750129708707,0.395964542136607,f11,f02,f12,f31
401.381330344067,13829411579.5219,593910843.457991,577140126.983969,806422807.277476,714818468.325125,47528212.4951125,0.448941324335505,0.423730562687841,0.395961046435216,f11,f02,f12,f32
401.381330344067,14594447473.1915,-3152085410.69232,577140126.983969,860186027.879316,714818468.325125,47528212.4951124,0.450458955236557,0.423772108196816,0.396306899614428,f11,f02,f12,f24
401.381330344067,13817950521.6715,653484692.515316,577140126.983969,805713140.705385,714818468.325125,47528212.4951124,0.448993064564703,0.423683353491757,0.395977162134793,f11,f02,f12,f33
401.381330344067,14064728509.5077,661964104.628371,577140126.983969,814920377.857694,714818468.325125,47528212.4951123,0.441654646619759,0.420376453546964,0.3970260017848,f11,f02,f21,f22
401.381330344067,12938390329.2883,627885928.822341,577140126.983969,729922679.464486,714818468.325125,47528212.4951122,0.346801244835989,0.435549062872761,0.380509234306183,f11,f02,f21,f23
401.381330344067,14134308494.1881,658223700.452839,577140126.983969,841339592.025267,714818468.325125,47528212.4951123,0.450865656817685,0.426895233285546,0.396719677429459,f11,f02,f21,f30
401.381330344067,14052035694.4417,653216891.830767,577140126.983969,841347971.427787,714818468.325125,47528212.4951119,0.44549755843699,0.422848437874931,0.3946489312011,f11,f02,f21,f31
401.381330344067,14191577171.5496,636908138.575788,577140126.983969,836500739.183665,714818468.325125,47528212.4951123,0.436085811777093,0.423372016910638,0.393915055613921,f11,f02,f21,f32
401.381330344067,12376620350.9314,691175371.012727,577140126.983969,756988156.035844,714818468.325125,47528212.4951123,0.376831468015563,0.425560531437406,0.38051244945232,f11,f02,f21,f24
401.381330344067,14177742650.5345,672899762.922627,577140126.983969,832028313.906272,714818468.325125,47528212.4951123,0.443985811158669,0.42478512447499,0.395097570149898,f11,f02,f21,f33
401.381330344067,13676496957.6518,-41504240.3373009,577140126.983969,810799731.410625,714818468.325125,47528212.4951123,0.393663405665488,0.441721146227962,0.383202077141463,f11,f02,f22,f23
401.381330344067,14202287968.1892,588780799.385394,577140126.983969,816955634.373761,714818468.325125,47528212.4951121,0.44602564121307,0.418538856844188,0.396948226307825,f11,f02,f22,f30
401.381330344067,14264400123.3978,534749559.71963,577140126.983969,822829880.560843,714818468.325125,47528212.4951124,0.450887198918309,0.422809241367156,0.398280555857991,f11,f02,f22,f31
401.381330344067,14157377496.7071,547807873.920029,577140126.983968,824777001.155872,714818468.325125,47528212.4951123,0.453869513225276,0.422136848996006,0.398318461989775,f11,f02,f22,f32
401.381330344067,12711532938.1778,286127047.605497,577140126.983969,792360894.83394,714818468.325125,47528212.4951126,0.393272324652689,0.43015088142994,0.380778092676499,f11,f02,f22,f24
401.381330344067,14185621333.3679,541542007.018136,577140126.983969,829550288.263783,714818468.325125,47528212.4951123,0.455909856309704,0.420770583194379,0.398969636472664,f11,f02,f22,f33
401.381330344067,13348854920.4963,530415471.430883,577140126.983969,718729676.324788,714818468.325125,47528212.4951123,0.358429681853471,0.423882641516135,0.381477809535517,f11,f02,f23,f30
401.381330344067,13615553336.9033,430792052.106211,577140126.983969,725704234.455433,714818468.325125,47528212.4951123,0.377507468244942,0.438513860297316,0.388583579814989,f11,f02,f23,f31
401.381330344067,13069757296.2482,519432959.979118,577140126.983969,735718020.458558,714818468.325125,47528212.4951123,0.388156254356269,0.436722707027744,0.387611870573357,f11,f02,f23,f32
401.381330344067,13971872472.2712,-1589637200.81162,577140126.983969,848213699.018525,714818468.325125,47528212.4951123,0.437968669111618,0.422225177528335,0.392197548608617,f11,f02,f23,f24
401.381330344067,13218582979.0458,420299027.253842,577140126.983969,760030601.400197,714818468.325125,47528212.4951125,0.396633978195132,0.431084663164825,0.390148893329733,f11,f02,f23,f33
401.381330344067,14197922191.7335,605738816.705047,577140126.983968,836833915.320734,714818468.325125,47528212.4951123,0.450229070628169,0.422256502112469,0.395899958551888,f11,f02,f30,f31
401.381330344067,14269952775.8691,596847894.136989,577140126.983969,834029274.193517,714818468.325125,47528212.4951121,0.447018393769561,0.42194249009492,0.395656071643138,f11,f02,f30,f32
401.381330344067,12560689758.0779,626881492.01993,577140126.983969,750083240.23148,714818468.325125,47528212.4951124,0.380369761443487,0.42039630764937,0.38073277652867,f11,f02,f30,f24
401.381330344067,14227565103.3772,616724464.290806,577140126.983969,835730712.516194,714818468.325125,47528212.4951125,0.45105298217783,0.423838263193704,0.396451844010531,f11,f02,f30,f33
401.381330344067,14240309213.1688,572848111.169769,577140126.983969,837269167.479007,714818468.325125,47528212.4951123,0.452021931084887,0.42409856760343,0.396735006568561,f11,f02,f31,f32
401.381330344067,12666276366.7271,591103900.239544,577140126.983969,751298320.67303,714818468.325125,47528212.4951123,0.387989372185045,0.427440910613674,0.383880019457352,f11,f02,f31,f24
401.381330344067,14212738285.4683,587873568.008533,577140126.983969,839186367.280936,714818468.325125,47528212.4951129,0.453315638198228,0.423687749156466,0.396813815837655,f11,f02,f31,f33
401.381330344067,12458028758.2916,587682931.039583,577140126.983969,759979707.771941,714818468.325125,47528212.4951123,0.395280604736058,0.426253356448265,0.383770341849976,f11,f02,f32,f24
401.381330344067,14240010979.7126,579019238.924147,577140126.983969,839145521.853338,714818468.325125,47528212.495112,0.452893274344143,0.42365368936507,0.396905909465322,f11,f02,f32,f33
401.381330344067,12472404788.3735,601332728.693755,577140126.983969,768707831.646255,714818468.325125,47528212.4951122,0.397845007951411,0.423666297909349,0.384625183752057,f11,f02,f24,f33
401.381330344067,10970329340.1882,759651636.209494,577140126.983969,837458578.900952,714818468.325125,47528212.4951124,0.457111872348656,0.424538051575748,0.396866631198862,f11,f20,f12,f21
401.381330344067,10514946875.0183,763529503.886895,577140126.983969,831080523.679888,714818468.325125,47528212.4951124,0.448695234245368,0.421526113133322,0.397342124701157,f11,f20,f12,f22
401.381330344067,6317497554.52773,742085718.366003,577140126.983969,832213880.049502,714818468.325125,47528212.4951124,0.39118578689436,0.434723285572202,0.386566663448083,f11,f20,f12,f23
401.381330344067,10573729781.415,771678250.050237,577140126.983969,847852493.967436,714818468.325125,47528212.4951119,0.453781438049719,0.425752374188985,0.396863414012133,f11,f20,f12,f30
401.381330344067,10858504586.209,778286797.311229,577140126.983969,844099705.39787,714818468.325125,47528212.4951123,0.45222853012348,0.424025972434228,0.396656472314624,f11,f20,f12,f31
401.381330344067,10803321120.2303,734460331.398682,577140126.983969,831829517.660284,714818468.325125,47528212.4951123,0.433325235964391,0.423953026991459,0.391765889688672,f11,f20,f12,f32
401.381330344067,6268624301.02479,772308807.340461,577140126.983969,877836028.568644,714818468.325125,47528212.4951124,0.429608182505256,0.425606905995229,0.391439318016094,f11,f20,f12,f24
401.381330344067,10794897696.3403,766675138.466336,577140126.983969,837301413.971821,714818468.325125,47528212.4951123,0.445227471837432,0.425356279401633,0.394806833268022,f11,f20,f12,f33
401.381330344067,5324050199.46287,770768637.842469,577140126.983969,855056871.670439,714818468.325125,47528212.4951126,0.455596279670284,0.424555163918195,0.396766039107198,f11,f20,f21,f22
401.381330344067,-4206439567.84577,787664437.87837,577140126.983969,882375514.601344,714818468.325125,47528212.4951123,0.451850734690381,0.424031997225879,0.396702164483718,f11,f20,f21,f23
401.381330344067,10183781214.606,763082455.073068,577140126.983969,838450772.742179,714818468.325125,47528212.4951127,0.456467762362865,0.423957366066575,0.396816633218877,f11,f20,f21,f30
401.381330344067,11016317506.9919,760890446.011263,577140126.983969,836060791.88603,714818468.325125,47528212.4951125,0.457297678799453,0.424608573516141,0.397024086875391,f11,f20,f21,f31
401.381330344067,-7827013563.0979,791831982.75922,577140126.983969,892482333.910188,714818468.325125,47528212.4951119,0.448772730122516,0.423855469053966,0.396247317818169,f11,f20,f21,f32
401.381330344067,3417549086.22898,773715827.476741,577140126.983969,859602641.548753,714818468.325125,47528212.4951122,0.454756819128055,0.424263795365776,0.396843910755419,f11,f20,f21,f24
401.381330344067,5987969211.96943,770652299.327595,577140126.983969,853378218.145867,714818468.325125,47528212.4951123,0.457299823466938,0.424094144066806,0.397266842829154,f11,f20,f21,f33
401.381330344067,-2720409558.00592,802042856.79906,577140126.983969,894673944.142705,714818468.325125,47528212.4951125,0.444237887801649,0.430572300264121,0.393421294905323,f11,f20,f22,f23
401.381330344067,8879095072.05576,783368515.814456,577140126.983969,832841794.933768,714818468.325125,47528212.4951123,0.447010100564711,0.419133121897382,0.396883590216621,f11,f20,f22,f30
401.381330344067,10157482409.9277,776414368.84731,577140126.983969,824880414.912745,714818468.325125,47528212.4951123,0.449874244252796,0.422239057100194,0.398388100404181,f11,f20,f22,f31
401.381330344067,4338601131.79198,756310793.398683,577140126.983969,857093291.668489,714818468.325125,47528212.4951123,0.440021880643385,0.425022305963453,0.392877498878206,f11,f20,f22,f32
401.381330344067,3468663989.89763,787270988.564928,577140126.983969,868193449.195354,714818468.325125,47528212.4951122,0.452155412582651,0.424988523871861,0.396211549375869,f11,f20,f22,f24
401.381330344067,5508254747.45404,782708880.721768,577140126.983969,857458307.271854,714818468.325125,47528212.4951124,0.45327677849042,0.423658680426191,0.397101934144378,f11,f20,f22,f33
401.381330344067,2474961436.73945,846275029.922163,577140126.983969,810524639.79733,714818468.325125,47528212.4951123,0.399376431791608,0.410616813016719,0.389222269622861,f11,f20,f23,f30
401.381330344067,5401108175.75281,822072855.19441,577140126.983969,783075557.96628,714818468.325125,47528212.4951123,0.407527938843655,0.435722810383958,0.395669137591609,f11,f20,f23,f31
401.381330344067,-4190952578.8917,776709906.73684,577140126.983969,879610685.094635,714818468.325125,47528212.4951126,0.449012823435347,0.423834087264526,0.395763453963626,f11,f20,f23,f32
401.381330344067,1777418815.25419,768329583.25092,577140126.983969,839249528.91576,714818468.325125,47528212.495112,0.434611977429191,0.428753084469164,0.394804697159547,f11,f20,f23,f24
401.381330344067,-3716072658.94798,809377571.274017,577140126.983969,892589816.408426,714818468.325125,47528212.495112,0.460976201749961,0.422374009263652,0.399864084257526,f11,f20,f23,f33
401.381330344067,10513648221.9929,775888469.10993,577140126.983969,844600855.996053,714818468.325125,47528212.4951124,0.454269575826667,0.426101680954854,0.397361302290352,f11,f20,f30,f31
401.381330344067,10034917958.2993,746469534.892597,577140126.983969,828107183.69501,714818468.325125,47528212.4951123,0.430871588478722,0.421257324748275,0.391528934543332,f11,f20,f30,f32
401.381330344067,4936368378.03469,831321019.698671,577140126.983969,843282962.952134,714818468.325125,47528212.4951122,0.4312409577777,0.412534416922497,0.393348011473381,f11,f20,f30,f24
401.381330344067,9594790846.47116,776143138.634429,577140126.983969,839091034.709734,714818468.325125,47528212.4951123,0.445735294591986,0.42369198008434,0.39516020075493,f11,f20,f30,f33
