f1,f2,f3
0.497425,0.4751,0.584613333333333
0.518468421052632,0.525847368421053,0.527984210526316
0.521978947368421,0.579547368421053,0.57301052631579
0.579745,0.55419,0.571861904761905
0.657563157894737,0.601052631578947,0.601505263157895
0.633215,0.612905,0.553595
0.689468421052632,0.615035,0.62648947368421
0.596505,0.67445,0.64446
0.674784210526316,0.681515,0.686655
0.696525,0.727605555555556,0.72393
0.682125,0.72091,0.670555
0.729421052631579,0.72204,0.723631578947369
0.662985,0.68627,0.773631578947368
0.713868421052631,0.69608,0.740565
0.687663157894737,0.756005263157895,0.795021052631579
0.661384210526316,0.73243,0.726635
0.657589473684211,0.73152,0.801857894736842
0.72456,0.710935,0.717589473684211
0.658025,0.666695,0.756455
0.74846,0.792441176470588,0.712357894736842
0.708615,0.798994444444445,0.680675
0.73585,0.698247058823529,0.686273684210526
0.752505555555556,0.687690476190476,0.698095
0.723484210526316,0.762942105263158,0.703322222222222
0.6376,0.746157894736842,0.675455555555556
0.766163157894737,0.738894444444444,0.657578947368421
0.715257894736842,0.706555,0.594684210526316
0.718247368421053,0.712657894736842,0.663917647058824
0.722910526315789,0.633935,0.587494736842105
0.709163157894737,0.706766666666667,0.671977777777778
0.740363157894737,0.6951,0.635847058823529
0.707152631578947,0.655542105263158,0.55785
0.738668421052632,0.664052631578948,0.622117647058824
0.68413,0.658485,0.615266666666667
0.67178,0.622145,0.613270588235294
0.70381,0.640311111111111,0.574164705882353
0.708621052631579,0.643905555555556,0.563076470588235
0.728273684210527,0.6593,0.547584210526316
0.734576470588235,0.617536842105263,0.674935714285714
0.732185,0.671106666666667,0.56765625
0.769022222222222,0.608983333333333,0.566675
0.739563157894737,0.632911111111111,0.599325
0.705872222222222,0.6291,0.674907692307692
0.684110526315789,0.5974,0.575364705882353
0.741594444444444,0.631446666666667,0.489153333333333
0.68391052631579,0.66555625,0.512911764705883
0.704784210526316,0.672229411764706,0.647315384615385
0.65675,0.614294444444444,0.599678571428571
0.720894736842105,0.658466666666667,0.56616
0.70973,0.676414285714286,0.615425
