f1,f2,f3,f4
0.0657357142857143,0.473842857142857,0.473435714285714,0.473364285714286
0.570271428571429,0.569885714285714,0.526178571428571,0.258014285714286
0.642842857142857,0.642535714285714,0.63785,0.6411
0.679207142857143,0.684542857142857,0.693407142857143,0.690821428571429
0.687557142857143,0.691785714285714,0.725528571428572,0.7419
0.715257142857143,0.739828571428571,0.769228571428571,0.748135714285714
0.735514285714286,0.743385714285714,0.774871428571429,0.758992857142857
0.754964285714286,0.78665,0.77465,0.806885714285714
0.754807142857143,0.807078571428572,0.849464285714286,0.823064285714286
0.825457142857143,0.8462,0.821,0.880957142857143
0.815978571428571,0.825264285714286,0.869035714285714,0.844828571428571
0.804307142857143,0.824835714285714,0.883978571428571,0.864064285714286
0.84975,0.865657142857143,0.897085714285714,0.912807142857143
0.833521428571428,0.888035714285714,0.887721428571428,0.815557142857143
0.863707142857143,0.894464285714286,0.915942857142857,0.884671428571429
0.875157142857143,0.890392857142857,0.906678571428571,0.917735714285714
0.878535714285714,0.903157142857143,0.918621428571429,0.92095
0.891178571428571,0.916071428571429,0.921392857142857,0.935657142857143
0.832278571428572,0.891471428571428,0.943542857142857,0.91295
0.904321428571428,0.934757142857143,0.897,0.917635714285714
0.895907142857143,0.911092857142857,0.91705,0.922842857142857
0.89855,0.907835714285714,0.930792857142857,0.8823
0.890964285714286,0.910871428571428,0.867371428571429,0.860314285714286
0.899485714285714,0.8995,0.825407142857143,0.829071428571429
0.903778571428571,0.915335714285714,0.89635,0.865528571428571
0.894192857142857,0.929392857142857,0.917564285714286,0.827014285714286
0.902992857142857,0.927535714285714,0.884528571428571,0.740471428571428
0.902371428571428,0.899157142857143,0.913828571428571,0.771542857142857
0.891992857142857,0.9308,0.886014285714286,0.733264285714286
0.903364285714286,0.888378571428571,0.87455,0.678464285714286
0.903228571428571,0.905878571428572,0.794957142857143,0.665157142857143
0.913321428571429,0.86785,0.887057142857143,0.691671428571428
0.909357142857143,0.88415,0.781714285714286,0.790057142857143
0.900571428571428,0.883135714285714,0.748835714285714,0.63925
0.909892857142857,0.888085714285714,0.743185714285714,0.639721428571429
0.896685714285714,0.884278571428572,0.721521428571429,0.562307142857143
0.913928571428571,0.886071428571429,0.583035714285714,0.526235714285714
0.893014285714286,0.837921428571429,0.710328571428571,0.517042857142857
0.89635,0.878014285714286,0.642692857142857,0.443792857142857
0.915471428571429,0.868528571428571,0.679935714285714,0.424971428571429
0.905935714285714,0.8641,0.553035714285714,0.476528571428571
0.842578571428571,0.86425,0.647735714285714,0.551321428571429
0.907578571428571,0.845928571428572,0.6156,0.538557142857143
0.921585714285714,0.820521428571429,0.559085714285714,0.419614285714286
0.892892857142857,0.819592857142857,0.5786,0.517007142857143
0.8978,0.820307142857143,0.6076,0.570164285714286
0.895721428571428,0.736442857142857,0.572164285714286,0.509335714285714
0.911307142857143,0.722778571428571,0.583607142857143,0.331935714285714
0.907807142857143,0.734457142857143,0.554242857142857,0.2617
0.908985714285714,0.838164285714286,0.595071428571429,0.45115
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.888278571428572,0.634828571428571,0.495021428571429,0.383721428571429
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
