f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f13,f13 peak N,f22,f22 peak N,f04,f04 peak N,f23,f23 peak N,f14,f14 peak N,f30,f30 peak N,f31,f31 peak N,f32,f32 peak N,f24,f24 peak N,f05,f05 peak N,f33,f33 peak N,f15,f15 peak N
52.3245783095096,1,76.5845387879732,2,130.269406040155,3,175.274695746436,4,199.988438599613,5,215.111219712698,6,262.044563768581,7,284.495507971455,8,414.171418110209,9,417.532204183138,10,456.238555016373,11,472.700185516136,12,492.973749265236,13,566.839943978523,14,609.362305275784,15,681.762460531985,16,688.813235193907,17,727.352742922478,18
42.2013657251955,1,44.6546805984721,2,96.0638413568104,3,127.958548462133,5,153.530964062347,6,122.993753163358,4,176.154876564602,7,217.076010651943,8,242.303321333338,9,309.897083649053,11,291.989904698429,10,347.985519850043,12,369.005589189233,13,430.842088107954,15,431.780372703963,16,399.857741734949,14,526.608795908007,18,447.691167907438,17
47.9937740824095,1,89.7606325287806,2,131.865708398331,3,146.173794716788,4,174.219707523423,5,248.313481185056,6,285.27814097757,8,259.77214500512,7,484.779476745423,12,409.191355258493,10,522.091023412121,14,395.818417812651,9,420.836528126215,11,494.90921857081,13,633.381555902511,15,NaN,NaN,636.739776930121,16,NaN,NaN
50.2444658608711,1,85.2056363274686,2,132.088897058535,3,207.156658314888,4,229.124862141221,5,233.792107997055,6,276.44810393484,7,299.789880101425,8,454.4733595792,10,430.269524065581,9,492.576007345283,11,554.794463544082,12,572.184059487278,13,629.54729440554,14,630.449506070792,15,743.285380843219,17,737.987710649517,16,778.44725128063,18
52.3354496604909,1,81.5058996614403,2,133.789084333512,3,161.291083514193,4,188.72417409905,5,230.257803188415,6,274.735484503069,7,280.333698428946,8,445.561096512839,11,425.725083044162,9,488.192154461558,13,433.903824498397,10,462.625974916427,12,549.64097881179,14,634.842137815651,15,732.571275711671,17,685.431029221858,16,776.953302904075,18
52.7506242412072,1,89.0701605146741,2,136.995151323863,3,174.623302213519,4,201.771799056703,5,245.116992547767,6,287.341273067143,8,281.60864696307,7,479.155376349578,12,421.527183333462,9,515.166932599696,13,441.758138282172,10,463.205315865853,11,530.996200209118,14,634.606536975658,15,788.961086547757,18,652.707072174688,16,NaN,NaN
55.2803966130197,1,74.8216247054874,2,135.044871528743,3,215.972210829754,5,247.77362142004,6,203.054367760538,4,266.150254273605,7,320.622201423334,8,413.229724134559,9,455.481086355907,10,459.543518490529,11,575.10708355949,12,590.274513216747,13,667.281153557677,15,647.534210020556,14,678.033937469996,16,795.452382382655,18,724.879059943461,17
47.8873729818324,1,93.0009886153594,2,134.022496596017,3,198.791954921754,4,219.436692521716,5,256.780725139134,6,292.720584168242,8,292.416605482371,7,500.38745467987,10,434.178213969727,9,525.022767951606,11,535.687314208053,12,545.641577215646,13,605.772997698579,14,657.962531350937,15,822.635092263099,17,722.276704662536,16,853.841671465356,18
50.7448507747065,1,71.0009154660425,2,124.701943166618,3,183.681569530938,4,210.992583649308,6,194.396183432264,5,247.496497378349,7,284.266711467383,8,383.685994164577,9,407.980351480371,10,430.582353738798,11,496.744685499053,12,517.766737979395,13,584.888834310373,14,586.356690879962,15,632.471593799626,16,701.96069163819,18,675.122395945053,17
59.9621131398764,1,88.455470457494,2,150.613246557841,3,205.371292145508,4,225.801685042221,5,258.154269070298,6,304.167958941438,7,332.194547449462,8,484.817962688981,9,490.799760604183,10,524.305299651013,11,562.29281705786,12,578.390187656893,13,670.628389911022,14,717.365144786297,15,794.712240175244,16,809.557330723492,17,854.818750595486,18
64.7167048810086,1,68.8811727908513,2,146.779503251761,3,216.605022998876,5,251.173525971092,6,189.613242068974,4,268.591449676737,7,340.7431402015,8,372.261659537595,9,474.523775457673,11,445.011674179136,10,567.544448151835,12,594.945927338722,13,676.438359256778,16,652.786025798516,15,613.082385608549,14,805.553439936523,18,681.320758566875,17
58.4639118855779,1,58.641836361828,2,131.322470417819,3,172.36681093584,5,208.059125427704,6,161.478132076651,4,237.087736656966,7,295.565941765785,8,317.401539085225,9,420.387441295215,11,388.542347128188,10,465.701631681379,12,495.124821522351,13,579.93928101711,15,581.270946082248,16,522.921408888714,14,709.137138010567,18,591.028750147826,17
65.7728947568496,1,96.6971792051679,2,163.425750008899,3,226.098644939175,4,257.46103392783,5,269.192762340532,6,328.718616734493,7,358.441034517805,8,520.647311286914,9,521.314542179713,10,575.360200733705,11,597.849604150242,12,624.472801137315,13,710.918620156988,14,758.465227012451,15,856.500508702148,16,858.042539530009,17,909.787275061036,18
57.696248422986,1,68.408825281397,2,135.867546511589,3,209.360527201902,5,242.554944041016,6,186.927994477459,4,257.532388513125,7,320.527215778404,8,378.591218241897,9,454.809956446501,11,434.02504811178,10,565.134275869173,12,581.738362745981,13,665.466588784864,16,636.073794735249,15,617.687942715641,14,795.819680703649,18,677.516930523258,17
45.4234425112838,1,76.1846803763739,2,119.53357182651,3,173.646975690833,4,192.295126144,5,214.226916878531,6,250.569016961009,7,265.604504047905,8,412.968446801916,10,391.103698296558,9,445.077138933411,11,471.531307547649,12,486.963252482226,13,549.7970126116,14,580.069153988128,15,679.569317403094,17,658.882974023565,16,716.36570302953,18
47.2239426653685,1,76.5080333982922,2,122.505771979537,3,160.075716068831,4,182.840392193657,5,215.137206583188,6,254.452219565798,7,262.390209041807,8,416.605645983359,10,393.93757380444,9,456.392736350526,13,428.183028297677,11,453.334716989173,12,525.67277906212,14,587.475832479194,15,685.972404667284,17,645.141308014732,16,724.681570513233,18
63.0375845711621,1,92.9615531517698,2,157.401666720206,3,194.930339463061,4,227.282139372451,5,261.363077189656,6,317.058015637634,7,333.400442055001,8,502.813867141443,10,497.949725866124,9,558.133946008495,13,518.444464622039,11,552.111735466145,12,649.098797482954,14,731.27438891587,15,823.107744829855,17,802.467435538764,16,876.854516097096,18
45.2606445170225,1,75.413067021397,2,118.018086805833,3,145.031669701289,4,170.017451111194,5,208.113814328663,6,246.541809514529,8,244.313811391113,7,405.703001493054,11,370.090491191986,9,439.967237891104,13,389.232124138715,10,410.726118586805,12,477.62773104467,14,555.987713261439,15,666.644017703343,17,592.418383361675,16,699.520462499244,18
49.0948913465301,1,55.039311151229,2,113.232699492168,3,146.931688409768,4,177.321573488689,6,151.290831253554,5,210.930272794651,7,252.163603954719,8,298.567303878826,9,363.226788168055,11,353.168072594313,10,399.146776179671,12,423.443133830872,13,496.474624327962,15,510.926188896331,16,492.453320103045,14,610.534651367709,18,544.833223051547,17
52.495855869002,1,67.3160772046219,2,125.528229107968,3,171.785760685867,4,205.044939857869,6,182.65938406021,5,243.162048900627,7,280.804518693268,8,367.314602757693,9,406.292238056945,10,416.103971647141,11,460.594643777575,12,482.404837560231,13,558.292643212107,14,580.476369295216,15,605.088521119702,16,683.940478405865,18,650.466754203391,17
63.1399008374484,1,83.1412416633197,2,151.868011037759,3,190.097837992124,4,220.578908004038,5,236.967896119729,6,296.06840188875,7,327.813705014147,8,450.408794011179,9,482.109940952398,10,502.39774052414,11,519.247807058532,12,542.638320440283,13,638.130319948833,14,695.645704862355,15,740.889177732256,16,782.626825568117,17,805.630853397459,18
51.2970601362021,1,82.3649615212665,2,130.986361952738,4,126.938541560673,3,162.50767722101,5,226.723700289174,6,270.970885201054,8,253.856938314779,7,443.303583599737,12,397.245058655451,11,483.325096858398,14,344.296854551224,9,374.986387922631,10,462.308312646836,13,603.545068481397,15,NaN,NaN,605.433359239034,16,NaN,NaN
NaN,NaN,67.4911669707634,1,72.7712272877216,2,149.728880537799,3,152.180278376913,4,185.826152721941,6,190.292562658006,7,174.009132531556,5,363.36193017264,9,254.495390122773,8,367.484327559379,10,406.244327036838,11,408.648403008333,12,421.642240431679,14,411.129328047012,13,598.70355603747,17,467.681270165464,15,602.935466741154,18
44.6427481361024,1,65.6412314377676,2,111.893940258037,3,178.648486313152,5,204.54482394435,6,177.070604971913,4,225.723312875133,7,263.051016989564,8,359.074338883595,9,375.110431955115,10,394.612524781467,11,474.452539336476,12,487.795555878387,13,547.281902381314,15,539.282693505643,14,589.666541076909,16,654.023946807504,18,621.020050637153,17
54.6432329529317,1,75.2111178130255,2,132.623733219233,3,148.53718631499,4,183.310653178997,5,206.67515198195,6,261.128507051492,7,273.462624811875,8,402.276738621193,9,409.920175826669,11,451.891002645714,13,403.418859717943,10,432.6668269215,12,517.723587830007,14,598.584501189676,15,659.083976960803,17,653.382785087375,16,705.191216579541,18
60.9184004495565,1,80.5761095439345,2,145.75522343712,3,165.855932353323,4,204.460417041398,5,221.702210060063,6,283.789257165926,7,303.275179062857,8,432.359429462618,9,450.86741355957,11,488.967683459641,13,446.749402384732,10,479.192119779897,12,572.312798671411,14,654.030683067889,15,710.264997995668,16,719.486510815867,17,762.682268925989,18
49.6326884928773,1,84.2731839308069,2,130.044747659669,3,139.49434434359,4,170.53501038311,5,232.020440774177,6,273.378234315158,8,256.630379177154,7,453.312096053608,12,399.075988730057,10,492.341416610382,14,377.086470539055,9,403.301685547094,11,480.703545794615,13,608.331347974939,15,NaN,NaN,618.3896397828,16,NaN,NaN
