alpha,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
13.3,2.45907634667346,1.71270158797543,0.0249501093113547,-3.26953711828695,-0.665934688158808,-3.49386781663427,-2.28023849046647,-3.47423155647,-3.07189403003346,-3.19898862700063,-3.6368620029099,-3.45321529788561,-3.6171019393906,-3.93289882634267,-3.67796642897518
14.5666666666667,2.05000220099708,1.52235773164368,0.0231737721826871,-3.1966230153135,-0.563261833229972,-3.43751148046718,-2.10333091506772,-3.40944379195452,-2.92321656773099,-3.05897315961395,-3.56209518120956,-3.33813662633153,-3.52080323087694,-3.89922085514607,-3.58823368542246
15.8333333333333,1.72118892292667,1.36623495935046,0.0199384436268222,-3.11968435817931,-0.476214721812692,-3.3856241667973,-1.94352026982726,-3.35072160803059,-2.78442495964621,-2.92735349463829,-3.49159915693085,-3.22852213607545,-3.42806432007302,-3.8669114915588,-3.50917499356985
17.1,1.45221400709313,1.23669456046139,0.0161213443150317,-3.03940227794691,-0.401613023903978,-3.33721390919381,-1.79843288752345,-3.29703947123599,-2.65439397870397,-2.80318971080615,-3.42475291318853,-3.12373581564125,-3.3384166258567,-3.83560318951874,-3.42861492594827
18.3666666666667,1.22881911168961,1.12810805082387,0.0122604905673287,-2.95643253271731,-0.337064086535734,-3.29152118841689,-1.6661401160562,-3.24758330515445,-2.53220906094087,-2.68572541803404,-3.36107286503046,-3.02328457488117,-3.25151412240334,-3.80503138675756,-3.35986152588754
19.6333333333333,1.04079617036073,1.03624864062772,0.00867555991759559,-2.87139281859242,-0.280743292196628,-3.2479626142687,-1.5450578183675,-3.20170254837422,-2.41711680486843,-2.5743434931511,-3.30017920281331,-2.92678185524561,-3.16710108348948,-3.77500836467911,-3.2792373108701
20.9,0.880671846308754,0.957890958401053,0.00554631112772712,-2.78485516533632,-0.231239735994349,-3.20608909234228,-1.43387003285624,-3.15887215711348,-2.30848711320772,-2.468532015664,-3.24176984177171,-2.83391956626494,-3.08498695503174,-3.74540263248807,-3.21029691333248
22.1666666666667,0.742874849794263,0.890536616290374,0.00296054670656241,-2.69734524914012,-0.187450460022165,-3.16555534250779,-1.3314745167667,-3.11866775699505,-2.20578748625256,-2.36786185101154,-3.18560347571497,-2.7444500464029,-3.0050307395019,-3.71612602550384,-3.13933831664772
23.4333333333333,0.623177012050994,0.832227600178501,0.00094785129000421,-2.60934026172652,-0.14850141434566,-3.12609562647176,-1.23693804224733,-3.08074224189939,-2.10856105140085,-2.27196672930956,-3.13148415178746,-2.65816967520354,-2.92712601532302,-3.68712124549879,-3.07215839745186
24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
