alpha,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
13.3,2.19171318951353,1.54739352660721,0.0249215555813383,-4.45105150594601,-0.68860368149673,-4.96933499720363,-2.69337543103631,-4.91675998731668,-3.98978837681753,-4.22905735750231,-5.22053235634564,-4.75192726400501,-5.11903391398973,-5.98280756907952,-5.27419549967096
14.5666666666667,1.82711564386159,1.37542144858434,0.0231472513516114,-4.35178839434851,-0.582435753694002,-4.88917927056281,-2.4844154827084,-4.82507183036461,-3.79668548811448,-4.04395715504521,-5.11320834692337,-4.5935689139774,-4.98274901989081,-5.93157593819274,-5.14551894936576
15.8333333333333,1.53405260032942,1.23436747345019,0.0199156254127148,-4.24704637328774,-0.492425483240422,-4.81537984331973,-2.29565011131926,-4.74196773105744,-3.61642238680873,-3.86995618865878,-5.0120148522441,-4.44272975688898,-4.85150206099761,-5.88242626169271,-5.03214896493794
17.1,1.29432199111993,1.11733017046503,0.0161028945155807,-4.13775271452476,-0.415284278946231,-4.74652583968877,-2.12427558515269,-4.66599634632523,-3.44753762342908,-3.70581188407494,-4.91606043382576,-4.29853458513964,-4.72462988689415,-5.83479942085825,-4.91662601106985
18.3666666666667,1.09521571311103,1.01922431053609,0.0122464592565572,-4.02480014781844,-0.348538039864787,-4.68153699397653,-1.96801381610384,-4.59600558878261,-3.28884335860501,-3.55052429492916,-4.82465092980916,-4.1603048634182,-4.60164279119087,-5.78829295805912,-4.81803379164917
19.6333333333333,0.927635572299574,0.936231068926796,0.00866563131998756,-3.90902958644333,-0.290300036924955,-4.61958354916893,-1.82499365084846,-4.53107477877234,-3.13936107143949,-3.4032775854713,-4.73724114256767,-4.0275086532405,-4.48217886227107,-5.742621311859,-4.7024188505612
20.9,0.784920770678472,0.865436383449322,0.00553996374589596,-3.79121977486719,-0.239111336810356,-4.5600267574167,-1.69366069994029,-4.47046087018017,-2.99827238904101,-3.26339499770649,-4.653397444625,-3.89972199508591,-4.36596842213521,-5.69758445572269,-4.6035584771837
22.1666666666667,0.662105757169552,0.804583007880172,0.00295715855902744,-3.67208635316913,-0.193831435972196,-4.50237552611897,-1.57271301467101,-4.4135632850298,-2.86488569863987,-3.13030921649707,-4.57277345308972,-3.77660408494859,-4.25281192674473,-5.65304827170264,-4.50180401081627
23.4333333333333,0.555422070795579,0.75190191345729,0.000946766537649302,-3.55227895610147,-0.153556531059555,-4.44625189518366,-1.4610482836037,-4.3598907959945,-2.73860761225466,-3.00353603369816,-4.4950878875002,-3.65787472321382,-4.14255876501082,-5.60892559654217,-4.40546815937952
24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
