beta,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.9e-06,-0.8779677687032,-0.226437751497989,0.565117392664049,-0.684889153139299,1.42389899370348,0.240973006587982,3.32507434463865,0.91267149042773,4.67953147176922,4.96527047019092,2.57911080776199,5.6686056858765,3.222488900374,-0.480680360974115,6.3964019596764
5.36666666666667e-06,-0.871335109917702,-0.220797859917867,0.543579850171759,-0.68188539669727,1.35409868310538,0.143923872849643,3.04780130429357,0.713817054179763,4.16945365387278,4.39600730394866,2.15811062594598,4.95804642661373,3.05532685020322,-0.547418666933898,5.50263122926358
5.83333333333333e-06,-0.864856345871627,-0.215404033647272,0.523114518911497,-0.678536405828856,1.28934792921897,0.0611971375024947,2.80422765568526,0.544452855654249,3.73876930237899,3.91962132760217,1.81507648466114,4.37441067071532,2.88905729771192,-0.594446427658649,4.78109025988386
6.3e-06,-0.858524305109017,-0.21024077172976,0.503654256051448,-0.674872523694413,1.22916988611461,-0.00950332413194194,2.5891004184616,0.399358490509815,3.3718104765926,3.51698863764363,1.53320641792032,3.88912146042374,2.72707851263592,-0.627070587996308,4.19321300789846
6.76666666666667e-06,-0.85233077189465,-0.205294260385383,0.485136685103891,-0.670922490770108,1.17314252942804,-0.0700461156459325,2.39815162429845,0.274390919130878,3.05659290558646,3.17366903205746,1.29991896172618,3.48122677617016,2.5715518457496,-0.648963381202109,3.70638287324293
7.23333333333333e-06,-0.846269146799037,-0.200551629663512,0.467504312539794,-0.666711779787867,1.12089169914893,-0.121962399260592,2.22788505732625,0.166232135788624,2.78382358957557,2.87859387639412,1.10564748662844,3.13508062979022,2.42375134769898,-0.662721606254051,3.3019201194812
7.7e-06,-0.840333212296616,-0.196000935777542,0.450704031200405,-0.662264308204908,1.072084560504,-0.166515188123134,2.07541447238458,0.0722019130175364,2.5462066663592,2.62316317606666,0.943017771793659,2.83880690169916,2.28432668561766,-0.670218073724727,2.9537376507421
8.16666666666667e-06,-0.834516906612438,-0.191631350881135,0.434686418693473,-0.657601811148638,1.02642416233469,-0.204753309157542,1.93834005457368,-0.00988110742800075,2.33794935288785,2.40061278445516,0.806275541583071,2.58325823313936,2.1534974681849,-0.67282790162642,2.65778305141925
8.63333333333333e-06,-0.828814859307852,-0.187432727879443,0.419405714582236,-0.652744390398841,0.983645016393453,-0.237552299176982,1.81465342596539,-0.0818053384320967,2.15440522088485,2.20556329105346,0.690881251962915,2.36129601259351,2.03119472639992,-0.671577124322266,2.40854332726702
9.1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
