alpha,beta
13.3,4.9e-06
14.5666666666667,5.36666666666667e-06
15.8333333333333,5.83333333333333e-06
17.1,6.3e-06
18.3666666666667,6.76666666666667e-06
19.6333333333333,7.23333333333333e-06
20.9,7.7e-06
22.1666666666667,8.16666666666667e-06
23.4333333333333,8.63333333333333e-06
24.7,9.1e-06
