f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.787892879603e-06-1.91104958317478e-06i,-2.13620219604723e-05-7.75946331914278e-07i,-7.01725328822436e-06+7.43784350857708e-07i,-3.81657837263788e-06+2.05048850477267e-06i,2.43960266296168e-05+5.46246576864254e-07i,6.86171835830054e-07-5.48932980136165e-07i,5.21058376080373e-07-5.3540188978159e-06i,-1.40099523226466e-05-1.33249762806065e-06i,-1.31753358200685e-05+9.62941024376566e-07i,2.1153012330905e-05+4.34341207961175e-07i,-3.30776393309755e-07-3.67194918582274e-07i,4.86288344097049e-06-5.75496881078236e-07i,-2.52733130894213e-06-9.94942918352346e-07i,-1.12097051913754e-05-2.29367257126264e-08i,-1.36163126520577e-06+7.25973085782125e-07i
2.30291898145403e-06-5.87043676757841e-07i,-9.42751886032694e-06-3.04502999451269e-07i,-1.63512188806288e-06+2.80865606150334e-07i,-4.67447382105399e-06+1.03068034714171e-06i,1.21263932133878e-05+4.33881739485558e-07i,2.5822511407082e-07-1.01642079354436e-06i,-6.89937413853042e-06-9.82097991561516e-08i,6.42404053154984e-07+5.73494345068582e-07i,1.97398905032012e-06-1.59598709578298e-07i,-6.64212912231929e-06+6.93903899786286e-07i,1.05778671171587e-05+3.88687675956247e-07i,4.76169033562782e-07-2.22538275597089e-06i,-1.12285777672779e-07-7.12259974030553e-07i,-5.84925227997405e-06-1.24051865296291e-07i,-3.0487144297093e-08+2.35881972208459e-07i
3.16054405296595e-06-7.54048733192754e-07i,-1.27257552918234e-05-3.89287522574664e-07i,-2.20538733143085e-06+4.82078807311659e-07i,-6.57980092334878e-06+1.56312790470388e-06i,1.638681808729e-05+6.79284880449164e-07i,-9.60263905114221e-06+1.58355015870539e-08i,7.68028578698742e-07+1.29014819910419e-06i,8.69741155572047e-07+3.30510988621614e-07i,2.62077297265444e-06-1.54843314900457e-07i,-9.14154808748904e-06+1.21806198397005e-06i,1.49537370690858e-05+6.66471736032077e-07i,-2.84185639220123e-07-1.61448039944705e-06i,-4.44281479486823e-06-6.87628732750438e-07i,-4.21661859287408e-06+2.68664697660889e-07i,-4.00182101546975e-09+4.00789472981439e-07i
2.39885736689776e-06-1.18682847674573e-06i,-9.59293890196014e-06-6.43131575322988e-07i,-4.81056823421101e-06+6.62257719752401e-07i,-1.76749945887017e-06+1.78583628254605e-06i,1.21248702283886e-05+5.13201579480234e-07i,8.40385522039061e-07-5.16484399026171e-07i,-7.61983887223478e-06+2.9455233828312e-08i,1.19279893988955e-07+2.08579232072318e-06i,-7.20755197745051e-06+8.43714863284001e-07i,1.22412191137425e-05+4.66199830076961e-07i,8.25875994988278e-08+6.3302634893477e-08i,2.71591785088916e-06-6.00599508052742e-07i,-4.31822053200165e-06-9.76048351872491e-07i,-4.16927303208508e-06+5.97841969419956e-07i,-5.58987437115429e-07+7.1751021847257e-07i
4.33753050965176e-06-1.09722351363945e-06i,-1.7405292064315e-05-5.54083376567976e-07i,-4.20486852310921e-06-2.06499311836343e-06i,-9.15887768486372e-06+1.88831358111019e-06i,2.22435066628919e-05+4.62108971675373e-07i,4.0383122599648e-07-6.39531332076514e-07i,-6.81461829190081e-06-5.95749365797616e-06i,-1.13919924573977e-05-7.84679865434594e-07i,-1.08474575468729e-05+1.01049258808837e-06i,1.96456022497253e-05+2.2091616085013e-06i,1.42769136721982e-05-8.18369021014225e-06i,4.9835722892275e-06-8.54795831660931e-06i,-2.04601015294008e-07-8.38832969997941e-07i,-1.00652759314889e-05-1.41328179405539e-07i,-8.08762992106053e-08+3.73960081434013e-07i
2.50350117730309e-06-6.91374144380157e-07i,-1.39563252807437e-05+6.09861139877122e-08i,-1.34466311357623e-06+4.01362534981075e-06i,1.06389097076052e-05-1.74730209667315e-07i,6.36343095601892e-06-4.90987534135494e-06i,-6.88885387913034e-06-4.33468495734875e-08i,-6.69538345214955e-07-1.55566544514967e-06i,-5.92159071768046e-06+1.03536591581665e-06i,5.76428247186121e-06+1.87397429223752e-06i,5.71603195195523e-06-5.08517027031777e-07i,-6.08722212735643e-08-2.85824081031281e-06i,-5.66288527764223e-06-8.35334271525654e-07i,-1.32858137426246e-08+3.55089832426011e-07i,1.54893102392741e-06+3.24575334363024e-09i,1.28963535769895e-06-5.69673031160833e-07i
2.42218441035623e-06-7.81986895675449e-07i,-9.2915725315093e-06-4.09853277233761e-07i,-1.61285130097311e-06+5.91948072978315e-07i,-5.12853921598514e-06+1.94757886802805e-06i,1.2267229207406e-05+8.66716406243537e-07i,-6.50830884828138e-06+1.56028797983844e-08i,-1.69787456624793e-06+2.94616299277435e-06i,4.68910617583572e-07+5.04015068781974e-07i,1.58904819859261e-06+4.28977628760815e-08i,-5.4999192606612e-06+1.34447392596473e-06i,2.65031916551949e-07+4.4758925812421e-06i,9.21619796034373e-06+6.9548132874946e-07i,4.10271541205201e-07-2.1576008726943e-06i,-4.90710621524386e-06-2.3658696849085e-07i,-1.52907252800886e-08+3.21296008994576e-07i
4.7090493592372e-06-7.97663010774056e-07i,-1.65506494295999e-05-4.72431976130009e-07i,-3.1038511258745e-06+2.26455681463447e-07i,-1.20799205815879e-05+1.2013508675928e-06i,2.26296014841453e-05+6.57485065534419e-07i,2.39974802471526e-06-1.00424256711866e-06i,-1.37059898564175e-05-2.13075022349133e-07i,6.51991461078439e-07+1.18036289301333e-06i,3.84175237495458e-06+5.23846983896285e-08i,-2.10658221369159e-06-3.10074998117069e-06i,-1.02624464702301e-05+1.39852416985905e-06i,1.80462325881676e-05+6.28512455409857e-07i,9.50574233769092e-07-3.84513229556688e-06i,-1.11517646748401e-05-2.55928713616607e-07i,-8.37577390640654e-08+4.41951526787205e-07i
2.41350437286492e-06-1.91685679732401e-06i,-1.02895206385069e-05-7.84383876554751e-07i,-2.07830995106256e-06-3.95773289206296e-07i,-5.50990893695346e-06+1.16579622780436e-06i,1.20329802110626e-05+5.71227849121142e-07i,1.33049315240955e-06-1.00198645569701e-06i,7.27406875908542e-07-7.85788592927596e-07i,-6.88131912857331e-06-2.01324682304611e-07i,-2.95106234712958e-07+5.91717097658733e-08i,-5.42163889567477e-06+9.97074619589819e-07i,2.30435598602819e-06+2.42908096409489e-06i,2.19339171122364e-06+3.92756097605575e-06i,9.27207334260234e-06+1.08366610664358e-07i,-5.29991760339539e-06-7.51108525440913e-08i,1.32424301505301e-06+2.90377314215324e-07i
6.41481580095154e-06-8.26813582991195e-07i,-2.15983314144725e-05-5.25398367204643e-07i,-1.63537177390641e-05+2.27491088390671e-07i,-4.46871962548084e-06+2.55444054917169e-06i,2.86645627831131e-05+5.00623269963797e-07i,3.35849463159435e-06-5.6800319245224e-07i,-1.66505719465593e-05-7.20757960880092e-08i,9.37326161403696e-07+1.45010795064045e-06i,-1.30052853125862e-05+1.014648464748e-06i,2.19859911186549e-05+1.06781332660945e-06i,5.16829337810073e-06-2.65957646753737e-06i,7.4985389837834e-08-1.61645511831257e-06i,-1.73961761302717e-07-1.22733377967204e-06i,-1.26062515213353e-05-1.82058924424733e-07i,-1.74462899510298e-07+4.30047535336882e-07i
4.24035200699058e-06-1.7305989941967e-06i,-1.96564259871282e-05-7.34190922248422e-07i,-5.41629575275411e-06+1.02166554877954e-06i,-2.97284635311735e-06+3.38880353378025e-06i,2.07107430789679e-05+7.9021335923182e-07i,1.06074488460286e-06-5.44706180723777e-07i,-1.19779710748182e-05-6.81670305547672e-07i,-3.99125236238819e-07+1.96249529802704e-06i,-1.14345571019992e-05+1.76007295734326e-06i,1.74648713775437e-05+4.88984047973756e-07i,-1.12495589309269e-07-3.2313181182635e-07i,4.10601030592641e-06-8.6509555206847e-07i,-5.37113017959319e-06-1.13494836274983e-06i,-5.86154809274846e-06+4.05848763902542e-07i,-8.97430163528456e-07+4.59455729207086e-07i
