f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f31,f31 peak N,f23,f23 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f40,f40 peak N,f15,f15 peak N,f41,f41 peak N
62.8199058342572,1,105.049293961018,2,164.353749074552,3,168.760329650942,4,207.988359865515,5,284.018564404531,6,319.350987207473,7,336.575378566802,8,465.119897509655,9,499.473453934792,11,493.810467378531,10,533.50748863279,12,576.874919688418,13,605.647636744799,14,730.15386577837,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.6519135254036,1,109.87575951577,2,156.102114173742,3,171.772195549931,4,201.71279294172,5,300.21587037017,6,302.214862231766,7,338.572151914582,8,472.910868953346,9,500.861174591066,11,477.995709188425,10,568.37137598458,12,612.862596859993,14,580.733081662099,13,730.451656959183,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.7843395813635,1,135.349562829851,2,176.796376767735,4,174.156847265218,3,207.465871909259,5,351.49086655118,7,314.99700371833,6,385.807287209938,8,481.332556969061,9,508.524484666088,11,506.24633592715,10,635.096745693104,13,664.328852704187,14,596.490388597093,12,NaN,NaN,758.068109962816,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.7027079880837,1,116.892580092881,2,187.98787250473,4,143.779730916245,3,202.929437664433,5,314.403233088075,6,343.138621468146,7,378.571642756231,8,396.778845701747,9,448.820387928114,10,545.276111330421,11,590.013082210667,13,648.633454825649,14,587.710466617819,12,NaN,NaN,NaN,NaN,NaN,NaN,781.828347794789,15,NaN,NaN,NaN,NaN
65.4186174291241,1,82.7116680451855,2,157.152920021711,3,238.226403963308,5,280.037886849446,6,218.290508146044,4,363.242884449615,8,298.845759973897,7,662.620663061407,12,667.503972329716,13,518.312257101028,11,442.56553886705,9,493.589844750471,10,NaN,NaN,718.031509289169,15,NaN,NaN,690.487527243554,14,NaN,NaN,NaN,NaN,NaN,NaN
56.2630684086573,1,103.540817656654,2,152.9605722602,3,160.657795115022,4,194.730717158314,5,278.195677076552,6,293.650511610228,7,322.035263535702,8,443.777876760892,9,472.152210242905,11,458.149597436493,10,524.132568077727,12,567.075935387075,14,555.224589322899,13,688.028214022419,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.1828666534661,1,100.407218111399,2,158.416413345132,4,152.199882828798,3,191.201580506695,5,279.073248208651,6,305.275682491912,7,328.225927352279,8,417.318369330945,9,454.997810417127,10,482.952570809974,11,533.074802681969,12,589.90297373318,14,554.187098575006,13,728.059061322507,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.983263172165,1,106.48395987575,2,166.417607366958,3,187.520805312062,4,221.58590935006,5,293.149145189328,6,333.955747774067,7,342.989890051463,8,514.379685801044,10,548.437052065119,11,512.421593173884,9,549.755817286492,12,594.033184481604,13,654.342707926066,14,756.918202067988,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.8101018817148,1,124.826738072877,2,204.518352395241,4,198.568906149774,3,247.809711781351,5,345.500883067915,6,396.076117752289,7,410.525993091544,8,542.568345611575,9,591.22348308452,10,614.493159034829,11,642.507693904124,12,693.227790361237,13,742.47519354444,14,900.178270365119,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.5594245954486,1,78.4444795081805,2,124.971495858401,3,203.472884382054,5,239.557352547451,6,199.238855857589,4,294.065655144961,8,255.99885258778,7,566.097805722969,12,569.64334649134,13,422.028076836009,10,412.188848774129,9,438.652958780661,11,643.945486746125,15,600.591623529729,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.885336945892,1,99.9794181747597,2,149.79729703058,3,192.854003625398,4,220.442698424091,5,264.238242416826,6,308.494260781281,8,307.468446000339,7,535.153285497349,12,555.306071487955,13,455.577884006511,9,483.376950227079,10,518.638664367452,11,628.231915269013,14,655.405541550399,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.8356976893512,1,125.829287288488,2,162.49205064569,3,198.271474547352,4,222.718531693481,5,328.7851857292,7,311.654511263182,6,359.088779405638,8,547.441313120597,10,567.768906709735,11,483.54950134027,9,597.437455518587,12,620.564210043097,13,639.838066921932,14,727.406513868552,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76.4695723662108,1,90.5159151934133,2,179.871685927472,3,183.802177234861,4,258.470888630249,6,228.470387466551,5,367.855178793919,8,337.503962955034,7,504.300934358214,10,552.989869492254,12,552.009062409882,11,480.940067466504,9,563.747734072336,13,685.683955689174,14,NaN,NaN,NaN,NaN,769.550876919824,15,NaN,NaN,NaN,NaN,NaN,NaN
70.3818501831469,1,79.3012287343599,2,164.171575333004,4,157.619162230499,3,233.394847553008,6,199.535339111108,5,334.378074613422,8,306.054544996642,7,431.757339066037,9,480.67359817333,11,507.303820122644,12,434.7406739053,10,512.604069254089,13,614.294567386802,14,NaN,NaN,NaN,NaN,701.697145466242,15,NaN,NaN,NaN,NaN,NaN,NaN
71.1123007666958,1,117.188753240972,2,184.28910505394,4,147.439813731136,3,200.339294738307,5,312.976872416305,6,334.409708360066,7,369.866304312212,8,403.736171693335,9,451.2554762709,10,527.541320042463,11,572.726270856269,12,627.07786867364,14,576.415445964179,13,NaN,NaN,770.841525675155,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.1647855730689,1,109.455825166354,2,151.574410190467,4,134.963563035196,3,168.58130904276,5,292.549607373431,7,270.754273570054,6,326.565123930117,8,371.502127917699,9,402.143075821946,10,440.571414101514,11,539.326073235941,13,571.359796391802,14,492.160667688185,12,NaN,NaN,649.632200516327,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.9695584371135,1,132.455316745978,2,185.513934844212,4,165.033653493539,3,203.58783271564,5,367.640325440965,7,333.018374690485,6,405.517936842606,8,447.631292763081,9,488.913397417205,10,552.268118070792,11,691.921963561315,13,733.18022000814,14,602.816763718902,12,NaN,NaN,812.402830359364,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.8720066519569,1,76.0766834858612,2,136.781616942804,3,155.321167277746,4,186.139963059262,5,213.832887022739,6,284.589055596794,8,267.426083531262,7,425.718240142929,10,459.043571243334,12,427.325344706209,11,404.266592978035,9,459.385156554277,13,551.350813163951,14,618.218922728858,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.9331891365595,1,92.0475714231661,2,150.000795609371,3,165.368395417735,4,201.282384598237,5,248.536791942845,6,300.530313490783,7,302.036283362074,8,458.511442240284,10,488.75994811832,12,455.610088213522,9,470.412885034326,11,518.3156839546,13,578.943242296574,14,666.225153840179,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87.5666333104487,1,138.18202712188,2,222.792081083353,4,183.780290389393,3,251.03084509929,5,373.07104318742,6,414.070071535991,7,450.757446779457,8,507.813110157075,9,565.570440322676,10,654.475407013271,11,707.895343051778,12,778.155947228304,14,725.230624402449,13,NaN,NaN,971.456564758598,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.6641224153658,1,127.643874915671,2,189.878520658001,4,168.433730583382,3,215.768342175242,5,346.653057123564,6,349.585674974797,7,398.937532867316,8,462.347557697157,9,505.770705971659,10,561.054741405831,11,650.388366871274,13,701.380636716024,14,627.907681817684,12,NaN,NaN,835.002072560462,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75.8274849379275,1,123.778431207791,2,196.065016173995,3,217.268886376923,4,262.83909124513,5,334.074284285554,6,390.310126492052,7,400.200420154713,8,599.732758471744,10,637.370196320845,12,594.532219583148,9,633.5976212772,11,692.001760313323,13,751.702879887626,14,876.431164386738,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.2335399106844,1,101.817735740572,2,170.470957503174,3,190.230513967666,4,231.815096483386,5,274.274633884108,6,343.738218792954,8,338.454363653865,7,527.581678481703,11,561.574895762232,12,516.370396228571,9,519.58296653148,10,576.946625599243,13,661.977037249432,14,748.918995391009,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.2163204183001,2,77.3629669336597,1,184.820487321894,3,213.733199802567,5,268.294722051836,6,211.085336774393,4,397.205500806061,8,325.75724544501,7,590.689499470194,12,635.645764362324,13,570.791543888413,11,407.654411950682,9,518.832199235177,10,759.502388068335,15,NaN,NaN,NaN,NaN,660.007710395563,14,NaN,NaN,NaN,NaN,NaN,NaN
47.3145625180381,1,81.5091026971897,2,126.299306410121,3,172.678716662014,4,193.191921316075,5,227.563616752176,6,272.905169478944,8,264.821691948349,7,483.893302480831,12,496.335679634579,13,407.78943099865,9,433.546466950781,10,461.042549710988,11,566.621657187242,14,604.3860549924,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.3081909417069,1,79.1203771811089,2,151.072978121388,3,206.226537501686,4,243.983635593387,6,214.296450188021,5,337.289547433902,8,288.444156904208,7,570.475139394101,12,597.614734209237,13,486.083762656053,11,420.497731835833,9,485.154035430173,10,NaN,NaN,686.012011649991,15,NaN,NaN,680.258627216742,14,NaN,NaN,NaN,NaN,NaN,NaN
79.0697713561607,1,81.1034281677241,2,180.167062930766,4,175.315767901391,3,244.123609850774,6,215.393247652429,5,369.322872701764,8,326.647343470907,7,481.975633588963,10,535.878353362573,12,552.302965302115,13,437.502099626905,9,535.455514084065,11,677.807235995821,14,NaN,NaN,NaN,NaN,703.244347542504,15,NaN,NaN,NaN,NaN,NaN,NaN
66.8694018435851,1,96.5965619714455,2,164.817073304154,4,154.071547318523,3,201.27404483965,5,259.083436277889,6,317.504677685665,7,323.059508774841,8,426.342033401237,9,465.597174526123,10,486.002174239267,11,487.681756411701,12,544.633589302888,13,576.139379166044,14,705.411335981289,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.0580189080919,1,107.929803343197,2,176.745910001312,3,224.627065022074,4,252.351131756689,5,301.207867523202,6,372.455444357119,8,353.228816333771,7,630.517757179873,12,647.332979032878,13,551.225129300539,10,547.204885049347,9,586.209671103044,11,751.478017865079,14,788.234176445606,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74.7137943926959,1,86.8355526238334,2,172.965668154299,4,128.453003405015,3,194.277485031823,5,235.689391134623,6,330.864736112637,8,322.022091194092,7,360.670485205127,9,418.855327213918,10,508.82295445318,12,451.264751113835,11,531.948657480294,13,564.605004005212,14,NaN,NaN,NaN,NaN,723.496424533503,15,NaN,NaN,NaN,NaN,NaN,NaN
86.4562681582608,1,96.4503193601953,2,198.301582821248,4,141.20667123685,3,216.926495577708,5,261.59534428889,6,373.986567895355,8,361.352271994034,7,388.990366013206,9,456.317178378683,10,570.448147190285,12,489.478311010601,11,582.030132444901,13,622.729285639819,14,NaN,NaN,NaN,NaN,765.361898467736,15,NaN,NaN,NaN,NaN,NaN,NaN
69.8212096257268,1,94.110419210059,2,168.093811528271,4,144.773742144296,3,197.855998971298,5,252.429997301816,6,320.855110841975,7,322.963476460932,8,400.978227043183,9,445.492481147443,10,491.462700089921,12,475.249038369687,11,538.629815722894,13,566.191425764329,14,708.514991689462,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.5863236001755,1,129.298357731692,2,207.411586266307,3,244.861752176359,4,284.016666849093,5,362.131851937079,6,426.575679705661,8,424.818249961748,7,666.581089254954,10,711.162961763879,12,649.640893484783,9,680.542257437122,11,742.332018816013,13,844.634148833823,14,956.873866909467,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.0169922964748,1,120.372784934203,2,190.163330206423,4,137.807389645278,3,197.166776247145,5,328.231891970289,6,341.330871124777,7,387.602754421549,9,376.192663877041,8,432.447936888539,10,551.017609685323,11,616.029599584352,13,672.199699363479,14,576.022011929388,12,NaN,NaN,NaN,NaN,NaN,NaN,742.134285526812,15,NaN,NaN,NaN,NaN
71.5103483870287,1,74.3063069278241,2,161.743451887339,4,155.55827607495,3,209.165938571663,6,202.987199549719,5,329.50383763337,8,293.391684127719,7,430.201320019383,10,475.986556778487,11,489.608010172708,13,392.597319750004,9,478.774792606393,12,597.83735683997,14,NaN,NaN,NaN,NaN,637.36234166426,15,NaN,NaN,NaN,NaN,NaN,NaN
72.2324770405288,1,140.398928268957,2,202.377606894817,4,173.787162584538,3,220.884466950342,5,375.500293051256,7,361.515249476378,6,422.902019983545,8,473.347360493221,9,518.374362930528,10,580.623846962734,11,680.391126378637,13,727.735907758922,14,641.991357999829,12,NaN,NaN,850.55835435311,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.4416266855111,1,83.2649967130231,2,155.819211718151,4,119.725935483992,3,174.150748709113,5,227.187395337514,6,295.467689243651,7,296.267222310735,8,330.333115234854,9,379.786477097239,10,457.358210595306,12,429.921355202492,11,490.739902156104,13,509.548869644229,14,NaN,NaN,NaN,NaN,NaN,NaN,651.050126555995,15,NaN,NaN,NaN,NaN
54.4006685787716,1,133.921661533179,2,173.819250003421,4,147.056555137596,3,179.810284831013,5,356.955472075139,7,293.734836283498,6,385.458837983492,8,399.875155298917,9,432.044787218625,10,494.196552144247,11,648.128807965508,13,675.250419618481,14,528.346238115288,12,NaN,NaN,706.395953091856,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.1196106708012,1,122.018988263941,2,158.999816553914,3,221.650753895678,4,237.815132576648,5,331.330629066347,7,328.340042445948,6,355.870860529064,8,595.815365494675,10,624.173271375525,12,503.247619618909,9,606.45142526095,11,637.590409136421,13,702.71942936156,14,756.952875915364,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
