rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz
419.48225294828,14478549743.5795,946456208.819494,659388602.168,769678853.89069,97427888.210631,741134790.082852,0.451982069380482,0.30708530616158,0.503589095573071
364.541775498634,12279108264.1838,864793925.202539,783792333.550615,638491734.338312,97427888.2091832,1597890367.01478,0.219759258805657,0.247181065294198,0.452246851362227
402.721079240176,14245277768.1786,921153669.371418,659332532.207351,738479169.283376,86996731.7160124,689961026.740278,0.447725869192991,0.21697963864095,0.869677247844565
402.093370505337,14371010421.9419,917029228.450214,659390308.950201,731062440.386678,97419382.2107124,510660598.373388,0.646439608039896,0.685913616479941,0.837303914733721
446.07851464981,15302590245.0852,991497708.476368,1073045721.94767,830588447.470028,97421670.121136,549123132.469364,0.219759258736724,0.442712394837469,0.340496676931906
399.99226487616,13495686352.1873,913952144.043139,709740314.76699,712914173.8806,97427888.2106303,1435735730.59282,0.291067486120072,0.83480959601779,0.454452362420362
391.199830014607,12931229645.456,907047825.527974,859183748.922558,692940353.136832,74735256.2590471,2042579387.51406,0.219759258736707,0.253299851509184,0.316368420215565
406.1138103484,13482511767.01,930472191.350999,683984456.585407,732867076.938112,88102045.3297731,1289029926.44617,0.219851180033082,0.588910305180128,0.226758421984054
406.314404266976,13423468018.0817,931895119.137216,659332532.206878,723792683.637727,83883607.9817454,1754907181.5167,0.266066118416908,0.220433886289692,0.233629794988044
402.787072311064,14092141684.7705,916856846.171806,976187530.711429,733783076.169904,97427888.2106317,778446766.162294,0.452147611073535,0.393715463870016,0.648360002025249
389.167687606199,13470456242.5602,899993911.270834,1314006065.69255,703036336.368938,97427784.0094904,904254187.058849,0.290381732021375,0.216979638640963,0.505539225728826
376.845022473609,12730147242.0112,886400213.056518,961217906.154486,677849813.80104,97427888.2106282,840164646.67067,0.221372919707744,0.725325306195389,0.227123758600548
407.733197137635,14091953740.4444,930940277.269735,659332532.207443,742208718.694288,97427888.2106315,823116520.359384,0.338066145267031,0.309442159055886,0.556042309751577
374.431198310395,12612196425.001,872413468.328636,659415886.885122,648902660.884736,97427888.2106287,2030847659.6178,0.366476942671263,0.266025640216029,0.571789363019216
380.666354084867,13298988524.1006,886133765.641425,663726541.625406,685446121.204782,97427888.2106307,726973718.505607,0.43576357052712,0.428927420938616,0.633822317164263
428.097590490194,14672549730.608,959793981.568285,1163956493.09701,795149804.730592,97427888.2106311,553257610.673976,0.390444390196587,0.424882078401364,0.271791824561153
392.974334258744,12969300993.4085,903332992.471661,999241545.4952,700473487.407467,94468387.9006631,1603184315.08495,0.219759258736697,0.867918541463122,0.230208707176754
398.565204370309,13183677531.8924,921210389.475245,855158516.124092,707283216.218896,94283267.9455776,1673133659.35505,0.219759258736796,0.216979638641,0.226758421984069
419.43992451637,14394259311.6349,935979141.483717,859963214.302756,748511572.857154,97427888.2106315,1588914871.41833,0.326551870562586,0.867901755940484,0.721648643724047
395.358382609821,13328287034.9585,916128969.462607,660259262.908382,706933763.020548,56323926.2063395,1719831429.57712,0.219759258736715,0.361214542954566,0.502121670225524
422.039739290792,14440614955.7111,956961844.174704,659332532.206878,777880427.374392,97043493.2371032,510760361.826195,0.311669512939418,0.506794392330909,0.333912274156059
394.456178407859,13471981314.4001,913426841.867742,745902735.510975,716507064.571589,86405140.2990049,692591324.200853,0.219759259407111,0.867918554563712,0.402906207515756
421.707318326708,14315337916.6282,950536449.927685,659332533.155214,769376986.70523,97427888.2106312,1010269326.84821,0.387229832577243,0.494391965753178,0.361871513993348
414.011487990632,14028413616.161,943322217.462183,659332532.206885,763469831.214052,91072542.7002482,776743920.074078,0.424895269055326,0.21697963864093,0.30329452735346
397.106316481376,13701838753.936,923860869.239215,659332532.206986,728708737.816992,50055554.3137893,866602518.211821,0.219759258743928,0.386274620474448,0.569589893584935
384.007593478816,13075779176.0368,899722011.260711,660549738.752269,700995284.014543,97427888.2106315,535885266.876819,0.288927835137587,0.517137069434493,0.266383541709926
380.447120459875,13174170182.772,890593050.686426,659451026.556871,690710822.720487,97427888.2106294,525427479.471581,0.436340676690169,0.315132644509078,0.445530522479823
395.96130137881,13681506273.3538,913609567.857391,675544416.0425,706140190.851317,48259731.448178,1733730607.26085,0.270568062633671,0.21697963864096,0.83383894665806
392.58824233455,13363007803.1078,917136805.325032,973497615.199626,721692824.450781,85696320.3313554,510645373.772182,0.247990302152095,0.217061297062498,0.226758421988471
393.179618336547,13696547685.8323,906381432.312517,659332532.206989,711668626.146385,97427888.2106316,760261281.786196,0.379939686373287,0.310769388125741,0.630906068890714
421.120165092086,14233646622.6516,955714933.490449,659332532.206898,768737526.371273,97425590.5597512,1018695712.65368,0.219759258736718,0.335755501378332,0.327682320246183
395.406826558961,13102508679.9282,916477123.329953,667511712.899412,709688003.040161,78041482.1840118,1388454709.71223,0.21975925983962,0.562928044203068,0.226758421984337
424.333898478652,14366897240.7282,961736396.576924,659335176.012812,781228777.43229,97427888.210631,770570286.7351,0.274982331402164,0.309625232374271,0.25978009705064
390.712210843934,13547212740.9464,905974201.297277,1441009342.74634,711135984.52587,97398205.281985,510645373.772197,0.219759975864694,0.528835670312431,0.401379721890279
420.899816631825,14432521487.106,955168981.912096,659415982.632785,776089017.538717,97427888.2106305,593845827.293189,0.309301803851904,0.303496110134428,0.383524230925169
390.90025062209,13208748079.428,910534207.791664,1077613073.20063,706791035.617046,74482946.7704114,1136841083.80514,0.219759258736694,0.369316381554348,0.226758429782209
404.925081850205,13721822616.1731,924300016.657177,659336463.95387,725501583.610015,97427705.3040236,1459156910.01259,0.311222032545051,0.216979638640938,0.478920597687197
420.863132295751,14481495596.708,950446886.347343,1175342858.4038,776053614.063135,97427888.2106316,657427803.177624,0.34277090113789,0.24277871754881,0.348353575629715
393.073293221331,13661992464.9183,913971708.654237,1151739712.32217,719802773.092668,73257960.7568145,510645373.772215,0.219759554294265,0.516616930598179,0.472817173421718
392.585650161684,13082445713.5958,902361408.334104,1538234383.37171,694215789.456259,86284185.2809114,2042581495.08849,0.219759258736699,0.218494434839114,0.341114042532618
441.587509773402,15105661482.2022,986745930.888775,719296841.151408,828362164.940394,66713560.0535982,510645373.7722,0.527432365130812,0.243573831425478,0.249602673560256
420.466882143945,14703181934.503,945723825.680269,659332532.206923,771490774.91901,97377469.5089177,724147997.978014,0.456205379300095,0.230615401141376,0.668324855088941
392.711416468607,13148379941.0554,902912136.843812,659332532.206901,688699371.457504,91331248.7632218,2028408067.85631,0.219759258736695,0.517924821974175,0.536464544186596
414.40496516794,14075725319.4617,945012799.666759,659332532.207014,758146368.196431,95507607.5075814,762815518.904257,0.229906041763773,0.658360052997122,0.33351524072169
394.154935104939,13365298510.2202,907064057.537246,706459426.150819,700697670.533063,97427888.2106317,1344767266.34218,0.225735557717135,0.784011423470418,0.509002355042504
415.547783750888,14081852954.6573,948199236.685123,659332532.385146,759823817.660787,97427888.2106303,870347937.237297,0.287585121384041,0.377479647933656,0.31032855634736
429.796099476841,14570465938.6722,971934029.425463,659332532.206879,790451461.950252,80664462.2319324,873938041.202719,0.219759258767319,0.426465762059453,0.347625740880496
369.180198663098,12367897030.4306,868532120.425388,921956499.377334,639981823.849156,97427888.2106295,1932536988.58187,0.219759266114354,0.295510382096148,0.473910123325737
