f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
3.73510530455803e-06-8.91403568624542e-07i,-1.63716653662095e-05-4.77383484037998e-07i,-7.86775677874508e-06+7.7012609761458e-07i,-2.04080975998848e-06+2.5551342458889e-06i,1.59398666196507e-05+5.74044255981082e-07i,5.09942470297174e-07-1.17810107515882e-06i,-6.12236456532311e-06-1.95121277746748e-07i,3.19793286477351e-07+6.85899256164147e-07i,-2.84082625280597e-06+9.26614087117565e-07i,4.48486806281622e-06+6.95303030520844e-07i,1.30014664030857e-06-9.24950295124828e-07i,-2.9393439388993e-07-1.07808126600442e-06i,-1.84601626343585e-06-3.22891116436727e-07i,-5.47072809714074e-07+4.54951323845214e-07i,3.46112003968043e-07+3.59364483450286e-07i,5.26688250271613e-07+1.1908505163798e-07i,1.57863154957342e-07+2.28385398688732e-07i,3.99419330757353e-07+1.58489057755372e-07i,4.03091954038597e-07-1.88497587736644e-07i,2.13111471287404e-07-3.24404689983583e-07i
2.38093260383123e-06-9.16164352781965e-07i,-1.06210221222768e-05-4.85895444878698e-07i,-6.7247646118195e-06+3.03967134731101e-07i,-4.54451346445407e-06+4.04262167431256e-06i,1.20256168690585e-05+5.55780716012828e-07i,5.12338920089298e-07-9.02384723988661e-07i,-5.29532539879931e-06-1.49215433338899e-07i,7.00186760654466e-08+1.01592321328413e-06i,-2.42276665279674e-06+1.02471882355501e-06i,4.52445800012668e-06+9.78631563177265e-07i,3.04427297290958e-06-1.72736525385616e-06i,4.25203270808033e-08-9.46672830854308e-07i,-9.12022163197615e-07-8.74796684435291e-07i,-1.61400317546407e-06+8.26367887872378e-08i,1.11554424919728e-07+3.67393954176396e-07i,5.52605414691162e-07+1.39868279784835e-07i,3.48914068705499e-07-9.26876882067159e-08i,-2.76781011672846e-08-1.10977509686554e-07i,-2.84581719774748e-08-5.55697227336383e-08i,3.03361842493986e-07-8.77617757540703e-08i
4.21220776348791e-06-9.2412724194848e-07i,-1.81352098797692e-05-4.75279220326118e-07i,-9.43827509200889e-06+8.39239712138076e-08i,-3.72559660368516e-06+4.45064627090317e-06i,1.7140083522943e-05+5.0102803923382e-07i,6.38458435353771e-07-7.36308015632953e-07i,-6.46322528775977e-06-8.17818319833587e-08i,7.66188829943544e-09+1.45328884457171e-06i,-2.8407327015807e-06+9.22592182402028e-07i,4.76566537749821e-06+9.25650363205343e-07i,2.28566506390341e-06-1.71561614325115e-06i,1.35918782992686e-07-1.04908948934123e-06i,-4.86477943531402e-07-8.66823840097786e-07i,-1.93448115572043e-06-6.2696008199476e-08i,6.82019247798056e-08+3.43309364602791e-07i,5.71494832889206e-07+1.55182454519581e-07i,3.94804224073239e-07-1.07649783290362e-07i,-4.0578112928418e-08-1.54624751842538e-07i,-6.55621146141277e-08-6.34278227070262e-08i,3.17715487476559e-07-8.0012788306879e-08i
3.50119045396057e-06-9.38328534221177e-07i,-1.60716645398705e-05-4.56444698802802e-07i,-2.1730576833621e-06-5.10801533007988e-07i,-7.85015637474166e-06+1.36012631429196e-06i,1.6527117270147e-05+5.21232081738824e-07i,3.70558918381301e-07-7.88360575990886e-07i,-6.64779270596562e-06-3.29310618591292e-08i,-3.34086672555015e-07+2.02887671268507e-06i,-2.75909185594876e-06+1.25926732039676e-06i,1.5223774820672e-06+2.50227040747478e-06i,4.71779561141615e-06+3.71282650990712e-09i,1.23992598783138e-06-2.08421138002092e-06i,-8.68711246800924e-08-7.7803702362525e-07i,-2.20807971497841e-06-1.37680659099614e-07i,9.40049529016877e-09+3.08638866957328e-07i,5.85958382479498e-07+1.98773025194973e-07i,4.80993169206147e-07-8.90470111577994e-08i,1.95270538722503e-07-2.2177093562175e-07i,-1.91790430630281e-07+7.73564045186933e-09i,2.01106614387019e-07+4.93591503314936e-08i
3.52107487261392e-06-8.39639431357319e-07i,-1.49612033388453e-05-4.39433704448215e-07i,-2.20851189520375e-06-8.62507186545342e-07i,-8.07161586107563e-06+1.41166349125976e-06i,1.53468806741591e-05+5.52478076363738e-07i,5.75263782327944e-07-1.00846051883594e-06i,-6.25251134882736e-06-1.71714132395503e-07i,1.89726899374752e-07+8.9366803404537e-07i,-2.37287117014715e-06+1.25618408921743e-06i,1.6776118511381e-06+2.57285311551016e-06i,4.35953186668939e-06-9.2248831496706e-09i,6.18830926208602e-08-9.49414604489459e-07i,-6.4177323546035e-07-8.85924239350636e-07i,-1.78070788525848e-06-1.79626734357626e-08i,7.0738416689719e-08+3.30969329020063e-07i,5.40234193508582e-07+1.2672745434581e-07i,3.48066887888894e-07-5.45575281776364e-08i,1.05070015539171e-07-2.15447014017295e-07i,-9.16769335437878e-08-2.36546476148192e-08i,2.37007429390087e-07-3.11837407144774e-08i
3.9281937346032e-06-9.48788912309131e-07i,-1.67471572172033e-05-4.85115212633357e-07i,-2.2414244266465e-06-6.48144848656041e-07i,-8.72410874054501e-06+1.33834116058596e-06i,1.63303930165741e-05+5.48180236624703e-07i,5.91101237319259e-07-8.18693582805696e-07i,-6.4045989788072e-06-7.81151684363804e-08i,-3.89849111566364e-07+1.93626538206792e-06i,-2.28967100216904e-06+1.36675570872206e-06i,1.17486098234698e-06+2.48541381869067e-06i,4.26974236817989e-06+4.61227975093149e-08i,1.44132676117391e-06-2.01448847275835e-06i,-9.04655610006833e-08-8.49913236653868e-07i,-2.05445296536841e-06-1.56119947974601e-07i,2.37131449551713e-08+3.2281359066927e-07i,5.67305156921291e-07+1.80443375663897e-07i,4.07293455860018e-07-9.8752363406579e-08i,1.55166265292729e-07-2.16235590347773e-07i,-1.19308972943748e-07+3.82050808924674e-09i,2.10802386625556e-07+8.28004416367765e-09i
4.47184081072722e-06-9.03989044193853e-07i,-2.05317590586787e-05-4.5385344179179e-07i,-2.85002230545899e-06-7.42802025638588e-07i,-1.10042162365396e-05+1.43923358583733e-06i,2.3031285827315e-05+5.47834481364988e-07i,7.75145422380759e-07-8.83520791085859e-07i,-1.00936960404289e-05-1.09793702168727e-07i,4.35597565249487e-07+1.35212014189951e-06i,-4.57108070812233e-06+1.36094655937563e-06i,2.25470576200325e-06+2.85076315218615e-06i,7.51549464911809e-06-2.73760510487209e-08i,1.66627318712871e-07-1.40260159926973e-06i,-3.14432799731421e-07-8.5714614276214e-07i,-3.51563176399732e-06-1.23681926741438e-07i,-8.30723574169575e-09+3.3445209746254e-07i,9.65448676003309e-07+1.65552051365054e-07i,6.72271781445199e-07-7.10854370434966e-08i,2.30330547678163e-07-2.40287866071994e-07i,-4.15675599406431e-07+5.9371490331501e-08i,4.74832320385238e-07+7.33012956870454e-08i
4.19411872758469e-06-8.23296319785621e-07i,-1.85216230700153e-05-4.18022840810067e-07i,-2.4081478244459e-06-2.95631249323947e-07i,-9.70738008082991e-06+1.27732363886529e-06i,1.95874909498277e-05+5.31886159233779e-07i,6.58323627893347e-07-9.30797278365102e-07i,-8.18232934613923e-06-1.40038345738321e-07i,3.38752549481057e-07+1.01694720979098e-06i,-3.1243763421931e-06+1.51399987441932e-06i,9.90721644671536e-07+2.72661811145854e-06i,5.62097549580702e-06+1.19797979894338e-07i,1.13083551920674e-07-1.09850229586005e-06i,-3.82077598186509e-07-8.27204683143815e-07i,-2.53947917878696e-06-9.28520165570873e-08i,2.12557236683701e-08+3.11821537636665e-07i,7.03674439653407e-07+1.33430514874945e-07i,4.86115708845861e-07-4.43259070841662e-08i,1.6821022811199e-07-2.18927617304237e-07i,-2.38997629967104e-07+3.5108074342428e-08i,3.07627093721738e-07+4.63167829594521e-08i
3.988517756615e-06-8.17619671224943e-07i,-1.81026262094201e-05-4.35302378215569e-07i,-9.51337582986565e-06+5.03567494469356e-07i,-2.77790014958602e-06+3.32716999468237e-06i,1.98668431075071e-05+5.48902751971418e-07i,7.28883812956843e-07-1.37363437655199e-06i,-8.52438216266452e-06-2.18021319574457e-07i,5.18178094124234e-07+6.02428365146109e-07i,-4.1513933267546e-06+9.45301008417946e-07i,6.61267616307763e-06+8.10906202790189e-07i,1.95236684250368e-06-1.32755196871094e-06i,-2.96363011070241e-07-1.17772213573739e-06i,-2.77250580935682e-06-3.02867818053761e-07i,-6.4837479383502e-07+4.52349095957347e-07i,3.44038990998419e-07+5.12650116701582e-07i,8.1162884290442e-07+1.15589755953371e-07i,1.66736921028161e-07+3.80631602298587e-07i,4.8124844279001e-07+2.90440579045186e-07i,4.9482580408831e-07-1.87175086040595e-07i,2.71201276120681e-07-3.78569284767076e-07i
3.32194883272653e-06-1.01452839573561e-06i,-1.53570488557336e-05-5.08387548460326e-07i,-2.50402203706247e-06-1.09784840204646e-06i,-8.90008660349102e-06+1.49498223180231e-06i,1.83672123038531e-05+5.54498529637911e-07i,6.42858998752344e-07-8.26536581464734e-07i,-8.4297816174756e-06-3.21589512906425e-08i,-3.64826307027075e-07+2.46660359948993e-06i,-4.03004623969153e-06+1.29943609114977e-06i,2.47482289354349e-06+3.04028935915079e-06i,6.81066299869264e-06-1.52399514291577e-07i,1.18511471799997e-06-2.64561451710212e-06i,-1.15883100788878e-07-8.77555522041343e-07i,-3.35025586346538e-06-1.5656044716345e-07i,-9.97228001922191e-09+3.50459018337526e-07i,9.28736716865202e-07+2.21090549642417e-07i,6.7524038183777e-07-1.30723809713154e-07i,2.3351405423524e-07-2.49520272267029e-07i,-3.7553204593416e-07+5.16015238218512e-08i,4.68810821516544e-07+5.26479694284406e-08i
