f1,f2,f3,f4
0.187728571428571,0.187514285714286,0.186214285714286,0.186592857142857
0.258164285714286,0.247078571428571,0.249714285714286,0.249028571428571
0.444735714285714,0.583714285714286,0.263921428571429,0.371992857142857
0.696557142857143,0.43235,0.421385714285714,0.49
0.839028571428571,0.494357142857143,0.597,0.553664285714286
0.857842857142857,0.88385,0.883242857142857,0.525064285714286
0.886585714285714,0.8772,0.864278571428572,0.914442857142857
0.899642857142857,0.911642857142857,0.912585714285714,0.927128571428571
0.919614285714286,0.916092857142857,0.930378571428571,0.911221428571429
0.923207142857143,0.933214285714286,0.936685714285714,0.937628571428571
0.930257142857143,0.929307142857143,0.877614285714286,0.92975
0.928107142857143,0.930692857142857,0.941207142857143,0.927364285714286
0.8581,0.948942857142857,0.928614285714286,0.922128571428572
0.936664285714286,0.9375,0.94265,0.926221428571428
0.935664285714286,0.95425,0.972635714285714,0.932821428571429
0.944635714285714,0.9484,0.934964285714286,0.950485714285714
0.923321428571429,0.947078571428571,0.94065,0.954142857142857
0.945671428571429,0.939021428571429,0.964578571428572,0.958364285714286
0.949392857142857,0.947335714285714,0.960542857142857,0.928935714285714
0.942092857142857,0.963792857142857,0.946885714285714,0.9492
0.946728571428571,0.952828571428572,0.962021428571428,0.939357142857143
0.9391,0.973157142857143,0.952571428571428,0.946757142857143
0.960371428571429,0.966064285714286,0.957314285714286,0.9318
0.952707142857143,0.937857142857143,0.9855,0.952242857142857
0.940607142857143,0.924607142857143,0.949514285714286,0.979221428571429
0.939535714285714,0.948714285714286,0.948307142857143,0.974171428571428
0.968592857142857,0.939135714285714,0.950992857142857,0.955835714285714
0.938835714285714,0.954021428571428,0.949628571428571,0.958035714285714
0.961192857142857,0.963264285714286,0.956921428571429,0.956321428571428
0.923771428571429,0.9868,0.942328571428571,0.9845
0.95425,0.951242857142857,0.958092857142857,0.954642857142857
0.957985714285714,0.929378571428571,0.946735714285714,0.934457142857143
0.9585,0.973192857142857,0.9566,0.851657142857143
0.941778571428571,0.943664285714286,0.90865,0.960621428571429
0.95615,0.938185714285714,0.959735714285714,0.982971428571428
0.959428571428571,0.945171428571429,0.972335714285714,0.934542857142857
0.94575,0.981928571428571,0.936314285714286,0.98495
0.941871428571429,0.933357142857143,0.969178571428572,0.925442857142857
0.949335714285714,0.972028571428572,0.927364285714286,0.920942857142857
0.960471428571429,0.920907142857143,0.942564285714286,0.926035714285714
0.967607142857143,0.930042857142857,0.974114285714286,0.896642857142857
0.958442857142857,0.934464285714286,0.965057142857143,0.948228571428572
0.934307142857143,0.978378571428571,0.977985714285714,0.0404071428571429
0.956071428571429,0.948478571428572,0.923621428571429,0.960085714285714
0.954778571428571,0.968314285714286,0.941792857142857,0.865614285714286
0.932142857142857,0.944742857142857,0.97185,0.9292
0.959185714285714,0.977335714285714,0.905685714285714,0.937842857142857
0.927378571428571,0.952835714285714,0.916307142857143,0.843514285714286
0.953935714285714,0.953871428571428,0.94965,0.908907142857143
0.9514,0.947135714285714,0.875892857142857,0.892207142857143
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.944757142857143,0.978842857142857,0.917042857142857,0.826635714285714
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
