alpha,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
13.3,12.1988204678947,10.6830007057525,0.114574429045114,-26.5446127972394,-3.29202325619999,-29.6914412371,-15.3390030891789,-29.3390044372277,-23.0060910527851,-24.3569344992293,-30.3354187913568,-27.330215593932,-29.3401450319468,-34.2633240174937,-30.2648824981055
14.5666666666667,9.73974412122123,8.97029911777704,0.089624319733759,-23.2750756789524,-2.62608856804118,-26.1975734204657,-13.0587645987124,-25.8647728807577,-19.9341970227516,-21.1579458722286,-26.6985567884468,-23.8770002960464,-25.7230430925562,-30.330425191151,-26.5869160691303
15.8333333333333,7.68974192022415,7.44794138613336,0.0664505475510718,-20.0784526636389,-2.06282673481121,-22.7600619399985,-10.9554336836447,-22.4553290888032,-17.0109804550206,-18.0989727126147,-23.1364616072373,-20.5388636697148,-22.2022398616792,-26.4312043360049,-22.9986823837078
17.1,5.96855299729748,6.0817064267829,0.0465121039242497,-16.9587683054596,-1.58661201299851,-19.3744377732012,-9.01191341381743,-19.1046074807726,-14.2265554953744,-15.1716192179764,-19.6448624503064,-17.3103415336394,-18.7741755416062,-22.5642928444461,-19.489507390138
18.3666666666667,4.51633899020435,4.84501186632151,0.030390759609218,-13.9193660275127,-1.18499898909454,-16.0372238640074,-7.21348052629398,-15.8075680095366,-11.5721615166704,-12.3684295071702,-16.2201095371179,-14.1866057179982,-15.4357589157495,-18.7286896549274,-16.0608924641897
19.6333333333333,3.28751987851474,3.71690381549765,0.0181302690418893,-10.9629334947954,-0.847934902558802,-12.7457026755905,-5.54734041023777,-12.5599847043821,-9.03995245572957,-9.6827040891362,-12.8590366720874,-11.163321143117,-12.1842447933461,-14.9236582681698,-12.7010309383022
20.9,2.24672370815401,2.68065517486993,0.00945470912429374,-8.09154067620296,-0.567191610362174,-9.49774006132183,-4.00228259187027,-9.35828215600792,-6.62283565086114,-7.1083605959851,-9.55885746927414,-8.23653928787138,-9.01714370985666,-11.1486499034907,-9.42179362743207
22.1666666666667,1.36605186184526,1.72276421646887,0.00390839799656662,-5.30668551086664,-0.335951874367825,-6.29165096897955,-2.56841255901403,-6.19940999889444,-4.31434853765342,-4.6398285803211,-6.31708762750243,-5.40261972160644,-5.93215675482492,-7.40324727100263,-6.21149671409959
23.4333333333333,0.623177012050994,0.832227600178501,0.00094785129000421,-2.60934026172652,-0.14850141434566,-3.12609562647176,-1.23693804224733,-3.08074224189939,-2.10856105140085,-2.27196672930956,-3.13148415178746,-2.65816967520354,-2.92712601532302,-3.68712124549879,-3.07215839745186
24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
