beta,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
4.9e-06,-0.815387220085285,-0.222316468106237,0.591083101004015,-0.645936420686707,1.59402450186668,0.240098475218671,4.27500907943698,0.940815403811337,6.57593540853129,7.10130756061114,2.96215424020827,8.49736647803923,4.20461418758933,-0.45529353868509,9.97905140516223
5.36666666666667e-06,-0.809227329709273,-0.216779225449922,0.568555963156895,-0.64310350140935,1.51588454543488,0.143401549028474,3.91852238407346,0.735828923242488,5.8591459598339,6.28714993300901,2.47862810789103,7.43222228475666,3.98650577837401,-0.518507104191906,8.58467623620863
5.83333333333333e-06,-0.803210364629883,-0.211483569588103,0.547150301923634,-0.639944982743171,1.44339745985809,0.0609750428487584,3.60536260134826,0.561242066418147,5.25392458372514,5.60582484590486,2.08464734790002,6.55733925665811,3.76956187539023,-0.563051124158556,7.45899738272784
6.3e-06,-0.797329664564417,-0.206414281689708,0.526795889429894,-0.636489482096252,1.37602942630591,-0.00946883497822382,3.32877603604388,0.41167344817399,4.73825382683003,5.02998137825952,1.76091460602972,5.82987989606791,3.5582164467869,-0.593952260574159,6.541847811067
6.76666666666667e-06,-0.791577599385955,-0.201557799392677,0.507427483146829,-0.632764105344371,1.31330799751908,-0.0697919065695797,3.08327541135222,0.282852270605381,4.29529273145635,4.53896721790475,1.49297984903008,5.21843665788634,3.35528956314028,-0.614688800070324,5.78234223747491
7.23333333333333e-06,-0.785948040064875,-0.196901486986096,0.488984947863828,-0.628792876470404,1.25481430935996,-0.121519777302473,2.86436568354285,0.171358211140244,3.91198226237669,4.11695205348613,1.26985563428894,4.69955585654929,3.16244357041574,-0.627720393367021,5.15133833298201
7.7e-06,-0.780435212253796,-0.192433618066409,0.471412736283128,-0.624598352637992,1.20017576041087,-0.165910876638033,2.66833604107075,0.0744283925421063,3.57806987211467,3.7516362113105,1.08307253914936,4.25543492365795,2.98052613628001,-0.634820939758067,4.60813751855109
8.16666666666667e-06,-0.775033486254227,-0.188143561859646,0.454659155179128,-0.620201032799906,1.14905992019417,-0.204010225131809,2.49210107007077,-0.0101858096505465,3.28541522281833,3.43334563921464,0.926021676575021,3.87236176421453,2.80982380005002,-0.637292931287559,4.14641760494106
8.63333333333333e-06,-0.769737874426303,-0.184021355953294,0.438676341539264,-0.615619875457127,1.10116958028888,-0.236690182127343,2.33307862260041,-0.0843279573407587,3.02748889751245,3.15438672841564,0.793489300197297,3.53963544018097,2.65024657288549,-0.636108212977535,3.7575777485338
9.1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
