force,acceleration
-0.136018,-0.001184
-0.115075,-0.003058
-0.123064,-0.004636
-0.133211,-0.004636
-0.144222,0.000789
-0.120257,-0.004734
-0.110973,-0.005228
-0.119609,0.001085
-0.124791,-0.002959
-0.127814,-0.000937
-0.127598,0
-0.122848,0.002071
-0.115507,-0.000592
-0.136018,-0.003847
-0.124791,-0.002219
-0.109462,-0.001775
-0.108382,-0.00148
-0.115723,-0.002022
-0.11853,-0.00069
-0.127598,-0.001825
-0.102553,-0.001775
-0.114859,-0.001973
-0.1222,-0.005326
-0.13537,-0.000493
-0.110541,-0.004734
-0.113564,0.001726
-0.113132,0.001085
-0.122848,0.001775
-0.123711,-0.002121
-0.128461,-0.001381
-0.11745,-0.002565
-0.112269,-0.000493
-0.130188,-0.004241
-0.116803,-0.001874
-0.112053,0.000345
-0.120905,-0.001825
-0.141847,0.000641
-0.121984,0.000592
-0.112053,-0.00148
-0.118098,-0.000986
-0.122632,-0.000345
-0.116155,-0.00291
-0.13645,0.003847
-0.135802,-0.002663
-0.113132,-0.000197
-0.127166,-0.003502
-0.121984,-0.00069
-0.089815,-0.002466
-0.059373,-0.002071
0.151347,-0.000444
0.819777,-0.000986
1.64085,-0.004291
2.523238,-0.001381
3.360935,-0.000592
4.094999,-0.002565
4.632594,-0.00291
5.03309,-0.005376
5.286774,-0.001332
5.358238,0.008187
5.252014,-0.004192
4.996171,-0.12354
4.610787,-0.221091
4.119396,-0.254824
3.602313,-0.201561
3.088899,-0.064951
2.576998,0.084185
2.13915,0.268929
1.710802,0.303007
1.345929,0.388178
1.020781,0.372249
0.771415,0.399521
0.553139,0.346406
0.40611,0.452587
0.269013,0.448444
0.182868,0.391335
0.102553,0.282047
0.057214,-0.038566
0.014465,-0.497959
-0.008204,-0.623423
-0.034544,-0.653211
-0.072759,-0.478923
-0.085281,-0.4589
-0.080099,0.066628
-0.096076,-0.547474
-0.119609,-0.205457
-0.120473,-0.025892
-0.145733,0.271
-0.151131,-0.249054
-0.157608,-1.226527
-0.183948,-0.735571
-0.181141,-1.094998
-0.210504,-0.356073
-0.199709,-0.205802
-0.199061,0.388376
-0.179198,0.91997
-0.189993,1.587828
-0.190209,2.060438
-0.18805,1.871749
-0.183732,1.431886
-0.174016,0.578643
-0.16279,-0.263454
-0.153722,-0.841357
-0.158687,-1.037395
-0.140768,-1.009037
-0.122416,-0.825378
-0.135154,-0.291072
-0.111405,0.492337
-0.090894,1.433858
-0.064986,2.109312
-0.067145,2.262985
-0.052896,1.969348
-0.044044,1.265439
-0.044044,0.478775
-0.04318,-0.315632
-0.044907,-0.867052
-0.050953,-1.171982
-0.063043,-1.280875
-0.080531,-1.750724
-0.062611,-2.229745
-0.094565,-2.977843
-0.113348,-4.256252
-0.107303,-4.88081
-0.116587,-6.596715
-0.124143,-7.62469
-0.131916,-8.78893
-0.152858,-10.239457
-0.147676,-10.020882
-0.154154,-9.390998
-0.147245,-7.93327
-0.155233,-5.811235
-0.136881,-3.278927
-0.148756,-0.587421
-0.159335,2.063594
-0.139688,4.612226
-0.111405,6.755173
-0.094133,8.897034
-0.092406,10.661912
-0.057646,12.01992
-0.04318,13.435284
-0.003454,14.969356
-0.025692,16.746612
-0.01792,18.512082
-0.000648,20.156921
-0.02267,21.358395
-0.036487,21.779813
-0.033249,21.015687
-0.053328,19.037905
-0.056782,16.611729
-0.046635,14.898831
-0.076429,14.37503
-0.07427,14.599967
-0.086361,14.699884
-0.091974,13.415409
-0.09219,10.040856
-0.082906,5.446679
-0.072327,0.649315
-0.087224,-3.22882
-0.080315,-5.999135
-0.082474,-7.933517
-0.057862,-9.542157
-0.043828,-10.830627
-0.030658,-11.388803
-0.017704,-11.112575
-0.018999,-10.397224
-0.002375,-9.652085
0.024829,-9.391491
0.026772,-10.096535
0.049657,-11.484331
0.055271,-13.481938
0.065634,-15.722336
0.055487,-17.922392
0.071032,-20.260093
0.072975,-22.387652
0.051816,-24.020507
0.050089,-25.492241
0.042317,-26.490182
0.03109,-26.618358
0.01317,-26.184117
0.002807,-25.150618
-0.024613,-23.836355
-0.042533,-22.445008
-0.06218,-21.097801
-0.081179,-19.754489
-0.102337,-18.694557
-0.121984,-17.820699
-0.115939,-16.973818
-0.137097,-16.098925
-0.119393,-15.050286
-0.133643,-13.637042
-0.116803,-12.056069
-0.112485,-10.398605
-0.132563,-8.995176
-0.131052,-7.760659
-0.121984,-6.56022
-0.119393,-5.327035
-0.119178,-4.17547
-0.13537,-3.275672
-0.119609,-2.683023
-0.126734,-2.670989
-0.112485,-3.126239
-0.108598,-3.972381
-0.115507,-4.909217
-0.107303,-5.821591
-0.08269,-6.222494
-0.096292,-5.767934
-0.093917,-4.51443
-0.109246,-2.645837
-0.111405,-0.898911
-0.102337,0.52464
-0.107087,1.165226
-0.106439,1.151367
-0.107087,0.995475
-0.117018,1.265044
-0.086792,2.612351
-0.106008,5.410283
-0.093917,9.412599
-0.109462,13.814536
-0.107303,17.541118
-0.132779,19.912651
-0.111405,20.374658
-0.11378,19.459965
-0.118098,17.644586
-0.105576,15.835322
-0.101905,13.977974
