force,acceleration
-0.023533,-0.002614
-0.0095,-0.006066
0.002159,0.002811
-0.006045,0.001233
-0.015329,-0.000937
-0.01792,-0.00143
-0.002807,-0.000542
-0.0095,-0.002318
-0.025692,0.000838
-0.010795,-0.003649
-0.008852,-0.004093
-0.009284,-0.002219
-0.017488,-0.001726
-0.024181,-0.002811
-0.009284,-0.003403
-0.006909,0.00286
-0.014897,-0.001529
-0.007772,-0.001973
-0.014249,-0.001973
-0.003454,-0.000937
-0.007557,0.000937
-0.012306,-0.001726
-0.008852,-0.001036
-0.010147,-0.002318
-0.004966,-0.000197
0.003023,-0.000345
0.000432,0.000641
-0.007772,-0.001726
-0.015761,-0.002515
-0.014681,-0.000148
-0.004102,-0.004241
-0.017704,0.000542
0.007341,-0.002663
-0.002159,-0.002762
-0.012306,-0.001825
-0.023101,0.001233
-0.015113,-0.002712
-0.003886,-0.005129
0.000216,-0.002367
-0.035192,-0.001233
-0.016408,-0.003304
-0.007988,-0.003945
-0.00108,-0.002959
-0.013386,-0.00286
-0.001295,-0.002417
0.00367,-0.00434
-0.01684,0.000888
0.000432,-0.004932
0.010579,-0.002663
0.078372,4.9e-05
0.334647,0
0.794733,-0.001726
1.331463,-0.003748
1.810116,-9.9e-05
2.249907,-0.000197
2.614996,-0.000345
2.921576,-0.003797
3.11891,-0.001874
3.254712,0.001578
3.288824,0.016768
3.260757,0.035163
3.123012,0.031317
2.907111,-0.017557
2.662063,-0.055827
2.35829,-0.061548
2.06488,0.015683
1.754198,0.099326
1.448913,0.174436
1.191343,0.168222
0.937875,0.140308
0.710963,0.086256
0.532628,0.087736
0.380634,0.107956
0.259297,0.159887
0.156744,0.121568
0.108382,-0.03038
0.050737,-0.1987
0.044907,-0.36638
0.020942,-0.488145
0.014897,-0.515664
-0.010579,-0.408645
-0.015545,-0.19007
-0.022022,0.009617
-0.039726,0.074667
-0.027851,-0.053756
-0.034544,0.107167
-0.03001,0.320909
-0.036703,0.082952
-0.040805,0.302958
-0.05268,0.396365
-0.040374,0.279039
-0.057862,-0.083051
-0.044476,-0.616617
-0.048146,-1.113738
-0.051385,-1.289506
-0.043396,-0.521878
-0.060668,0.685613
-0.051816,1.749787
-0.04426,1.958005
-0.042533,1.453635
-0.038646,0.51305
-0.034112,-0.317063
-0.031306,-0.714562
-0.021158,-0.734338
-0.011443,-0.513198
-0.003454,-0.361251
-0.007341,-0.509204
0.022238,-0.760773
0.041885,-0.66559
0.036271,-0.029245
0.0516,0.963566
0.054407,1.806896
0.048578,2.118337
0.037351,1.782977
0.030658,1.077145
0.053328,0.335705
0.023965,-0.337233
0.03109,-0.853884
0.024829,-1.312932
0.004102,-1.936256
0.003239,-2.752906
0,-3.376329
-0.006045,-3.531284
0.007125,-3.589726
-0.018352,-3.418594
0.009284,-2.726471
0.023965,-2.197689
0.079668,-2.302439
0.06585,-2.178208
0.109678,-1.395489
0.1317,-0.577656
0.148972,0.008384
0.165812,0.532777
0.201004,1.072213
0.207913,1.467345
0.206186,1.625753
0.224753,1.548226
0.190641,1.463597
0.194095,1.491856
0.191289,1.696869
0.163653,1.954011
0.135154,2.368771
0.121552,3.080275
0.100826,3.984463
0.083338,4.706324
0.066282,4.850282
0.053328,4.524737
0.054839,3.945059
0.048146,3.44419
0.031737,3.758836
0.040374,5.651643
0.037351,8.909117
0.022886,12.355032
0.049225,14.961711
0.039294,16.021398
0.057646,15.017785
0.052464,11.949001
0.049441,7.822503
0.060884,4.101297
0.052896,1.733216
0.073838,0.871293
0.07902,1.066245
0.061964,1.692085
0.063475,2.319947
0.078588,2.851541
0.072327,3.297125
0.0706,3.84815
0.070384,4.419839
0.086576,4.463731
0.05635,3.645948
0.070384,1.940399
0.066066,-0.666428
0.052248,-3.988014
0.048146,-7.557323
0.03843,-11.235524
0.036487,-14.978035
0.036056,-18.571559
0.026988,-21.346164
0.019215,-23.33371
0.033249,-23.942832
0.023101,-23.234336
0.024829,-21.371415
0.028931,-18.822092
0.017488,-16.165997
0.0095,-13.420193
0.010147,-11.049942
0.010363,-8.744889
0.009716,-6.564905
0.001511,-4.879034
-0.005829,-3.961975
0.003239,-3.966019
0.013386,-4.873659
0.000864,-6.286952
0.003023,-7.847951
-0.000432,-9.187268
0.011227,-10.538026
-0.009284,-11.934551
-0.017704,-13.340052
-0.002591,-14.66768
-0.0095,-15.496609
-0.006909,-15.736095
-0.017056,-15.275124
-0.025476,-14.256766
-0.016408,-12.820491
-0.02159,-11.116767
-0.012522,-9.480707
-0.022022,-7.818311
-0.010147,-5.906072
-0.017272,-3.789166
-0.022238,-1.973836
-0.016408,-1.164881
-0.02526,-1.085233
-0.019431,-1.200044
-0.030874,-1.126709
-0.026772,-0.684478
-0.028499,0.26449
-0.024397,1.771881
-0.009068,3.178664
-0.019863,3.939486
-0.016624,3.870589
-0.020942,3.052263
-0.03001,1.847534
-0.022454,0.689509
-0.017056,0.079993
-0.007988,0.133996
-0.012738,0.68867
-0.005613,1.619687
-0.018783,2.803851
0.000648,4.439516
