f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3,used f4
62,105.5,147.5,155.5,184.5,288,393.5,420.5,468.5,521,606.5,692,,,,
60.805614112031,104.020107534001,147.468556060139,160.53701982096,188.004139849201,300.382434808353,469.715628382215,438.116286773778,487.242110433023,548.973812189898,711.388366108872,708.290279397471,f11,f02,f20,f12
61.6649626530238,105.42532404722,145.890287978484,162.72110394995,187.587929366345,302.430357237378,473.941645535014,437.208122272811,487.800978347013,548.563980456479,718.72407910839,710.748257629735,f11,f02,f20,f21
60.6474474365926,104.75268864512,145.7993766352,160.75089473748,186.569614215829,299.351985922158,469.054713618115,436.015324192189,485.772215166027,545.078247005239,712.046185898886,704.804656360182,f11,f02,f20,f22
57.1024555175028,100.785638524478,143.411230249678,152.765430648878,181.445750187084,286.538300609192,447.688780695119,425.995489018064,472.218119682383,526.474589749421,681.839657782088,677.052958042244,f11,f02,f20,f23
61.9005501413782,104.474952750085,144.572411974501,162.458965903333,186.660668613774,301.845193817412,472.920326020428,433.596549306583,484.209889187726,545.944004023691,716.495265035217,708.536849149415,f11,f02,f20,f30
61.8418500973282,104.105880814513,145.052595954645,162.115129600556,187.051391071302,301.693921329109,472.223301839845,434.233447400961,484.133004751219,546.318558859016,714.966436025486,708.498577191958,f11,f02,f20,f31
61.2259652358356,105.175738293591,143.820995893846,161.842037267081,185.637373574357,299.850061764902,470.164683340688,433.229268755809,483.57082580498,541.915086228535,714.367744137071,703.442469780258,f11,f02,f20,f32
58.56883748658,98.8027131074162,145.689697355172,153.740273820295,184.429777921206,290.725312431759,452.494879127283,428.131680492968,473.339030611951,535.222595713144,684.051082797324,687.699351343654,f11,f02,f20,f24
61.3634706186795,105.193592950798,146.032146622437,162.09271256424,187.508532348349,301.534271303599,472.146708588723,437.202623274913,487.27881673805,547.451714546705,716.226259494028,708.743159864006,f11,f02,f20,f33
60.8152045877947,104.025362920217,143.085965580366,160.524100745068,184.439842524457,297.906076065962,467.400735253393,430.164968211785,480.334062153765,539.379712132073,709.71094100817,699.879567636954,f11,f02,f12,f21
60.8469837324837,104.054440017128,125.207914873815,160.466533718499,169.888954222744,287.793066774197,457.957884479677,397.72840811966,452.169087136012,500.246222573017,702.881622581955,665.564350268583,f11,f02,f12,f22
60.9817740380348,104.229210289432,3.14288318911405,159.933888500729,70.4669282811308,218.514373081993,393.133204838694,176.222645451739,259.76998893315,232.803242011761,655.805170482291,430.833222347424,f11,f02,f12,f23
60.8158280496439,104.042372142854,137.677180707746,160.498460399238,180.029831386876,294.826971970357,464.520976413516,420.360411787584,471.82190379938,527.519307477567,707.629593538317,689.4617270346,f11,f02,f12,f30
60.8182394600208,104.050988982073,135.436300705607,160.492300562205,178.20408240353,293.558655325483,463.340392614594,416.298005228452,468.300978937415,522.615627538963,706.785024930891,685.160734352222,f11,f02,f12,f31
