rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1
401.381330344067,17781997705.7729,1192316610.70353,577140126.983969,820634310.59645,714818468.325125,47528212.4951121,0.452278323939081,0.424053656721096,0.396725132742735,f11
401.381330344067,14105230475.7225,1305020159.5607,577140126.983969,853125792.900125,714818468.325125,47528212.4951124,0.452278256739704,0.424053725421294,0.396725297116255,f02
401.381330344067,19803304741.5593,774106332.442632,577140126.983969,890420378.613637,714818468.325125,47528212.4951123,0.452278349977988,0.424053792735536,0.396725123405846,f20
401.381330344067,16264679292.3302,1337951036.55953,577140126.983969,583042531.525247,714818468.325125,47528212.4951121,0.452278229386854,0.424053981945514,0.396724844801264,f12
401.381330344067,20594189356.6657,632424620.118171,577140126.983969,864778636.165302,714818468.325125,47528212.4951123,0.452278303204436,0.424053741573141,0.396725141318864,f21
401.381330344067,27469302099.9415,1001442525.08298,577140126.983969,276437508.541974,714818468.325125,47528212.4951122,0.452278226850415,0.424053697105521,0.396725319679356,f22
401.381330344067,29238690373.0219,2066340610.31507,577140126.983969,-704916670.354792,714818468.325125,47528212.4951124,0.452278368846019,0.424053669409134,0.396725100842396,f23
401.381330344067,15900040089.5033,514735314.208612,577140126.983969,1258235410.80196,714818468.325125,47528212.4951123,0.452278284772727,0.424053748079433,0.396725223540433,f30
401.381330344067,17403314355.967,381817813.825382,577140126.983969,877466918.70292,714818468.325125,47528212.4951122,0.452278506911505,0.424053772394395,0.396725002568922,f31
401.381330344067,21319310522.4356,487920507.171401,577140126.983969,843018646.42356,714818468.325125,47528212.4951122,0.452278328369644,0.424053682695909,0.396725048829448,f32
401.381330344067,2954196835.10403,1088468291.62913,577140126.983969,831326822.906656,714818468.325125,47528212.4951123,0.452278231268918,0.424053686863668,0.396725148212598,f24
401.381330344067,24737153948.5426,395320648.01396,577140126.983969,796207784.180109,714818468.325125,47528212.4951123,0.452278361062634,0.424053754587457,0.396725158546599,f33
