rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1,used f2,used f3
401.381330344067,14195866795.5263,777345432.993185,577140126.983969,835064723.073341,714818468.325125,47528212.4951122,0.452278209010741,0.424053974008236,0.396725203139937,f11,f02,f20
401.381330344067,16983242512.5544,-15222106668.9525,577140126.983969,1030959773.62207,714818468.325125,47528212.4951121,0.452278399836409,0.424053715891209,0.396725135661059,f11,f02,f12
401.381330344067,14210401696.1083,693904082.705611,577140126.983969,836086523.088428,714818468.325125,47528212.4951123,0.452278344800416,0.424054062110312,0.396725107678237,f11,f02,f21
401.381330344067,14266527979.369,371744624.646474,577140126.983969,840030898.619227,714818468.325125,47528212.4951124,0.452278221773447,0.424053600788965,0.39672511071236,f11,f02,f22
401.381330344067,14578047817.4239,-1416367249.56556,577140126.983969,861924358.782961,714818468.325125,47528212.4951123,0.452278311569645,0.424053736760358,0.396725159298615,f11,f02,f23
401.381330344067,14223121463.3133,620899424.904062,577140126.983969,836980361.200641,714818468.325125,47528212.4951123,0.452278311569645,0.424053736760358,0.396725159298614,f11,f02,f30
401.381330344067,14230719553.8424,577287248.480233,577140126.983969,837514282.535076,714818468.325125,47528212.4951123,0.452278237974632,0.424053923270394,0.396725158484217,f11,f02,f31
401.381330344067,14231965291.4554,570136115.446022,577140126.983969,837601899.796574,714818468.325125,47528212.4951123,0.452278311569646,0.424053736760356,0.396725159298617,f11,f02,f32
401.381330344067,14916635276.0891,-3359829056.80896,577140126.983969,885719782.662347,714818468.325125,47528212.495112,0.452278753406207,0.424053861400484,0.396726319933379,f11,f02,f24
401.381330344067,14225917499.593,604831426.025312,577140126.983969,837177170.39927,714818468.325125,47528212.4951124,0.452278550334977,0.424053935577736,0.396725273357233,f11,f02,f33
401.381330344067,10910028416.8389,778947011.684415,577140126.983969,843441952.79337,714818468.325125,47528212.4951122,0.452278199874912,0.424053941890656,0.396725429674109,f11,f20,f12
401.381330344067,-3191432630.99675,785820182.675668,577140126.983969,879393270.490068,714818468.325125,47528212.4951123,0.452278311569643,0.424053736760354,0.396725159298618,f11,f20,f21
401.381330344067,5273331044.75789,781694553.832252,577140126.983969,857812464.607793,714818468.325125,47528212.4951124,0.452278278141995,0.424053710882252,0.396725112830672,f11,f20,f22
401.381330344067,-4196365623.39021,786310082.845525,577140126.983969,881955401.412042,714818468.325125,47528212.4951122,0.452278291713113,0.424053791391036,0.396725181179638,f11,f20,f23
401.381330344067,9876551178.59538,779450806.516882,577140126.983969,846076815.546417,714818468.325125,47528212.4951122,0.45227826929312,0.424053813666717,0.396725155842514,f11,f20,f30
401.381330344067,10800826566.2985,779000291.563025,577140126.983969,843720423.474905,714818468.325125,47528212.4951123,0.452278292365918,0.4240537974203,0.396725274646132,f11,f20,f31
401.381330344067,-8530562339.94526,788422485.092328,577140126.983968,893005226.830607,714818468.325125,47528212.4951123,0.452278311569645,0.424053736760354,0.396725159298612,f11,f20,f32
401.381330344067,3385526655.52034,782614559.666199,577140126.983969,862625503.542672,714818468.325125,47528212.4951123,0.452278311569642,0.424053736760354,0.396725159298613,f11,f20,f24
401.381330344067,6206727450.0499,781239662.143624,577140126.983969,855432839.098252,714818468.325125,47528212.4951123,0.452278596344191,0.424054093242264,0.396725255988958,f11,f20,f33
401.381330344067,10935746713.2426,711200738.721762,577140126.983969,844235977.036956,714818468.325125,47528212.4951124,0.452278398478151,0.424053570776646,0.3967249369488,f11,f12,f21
401.381330344067,11008218183.7644,520272258.923901,577140126.983969,846473399.801563,714818468.325125,47528212.4951122,0.452278336452881,0.424053659177382,0.396725086618103,f11,f12,f22
401.381330344067,11611153563.7755,-1068281428.14836,577140126.983969,865089861.260807,714818468.325125,47528212.4951123,0.452278292832282,0.42405379301755,0.396725088034915,f11,f12,f23
401.381330344067,10924360260.2026,741229828.24069,577140126.983969,843883935.417507,714818468.325125,47528212.4951124,0.452278248762093,0.424053858328071,0.396725389011762,f11,f12,f30
401.381330344067,10912511047.4105,772432532.461173,577140126.983969,843518336.566322,714818468.325125,47528212.4951122,0.452278388686209,0.42405404007421,0.396725148441975,f11,f12,f31
401.381330344067,10977440872.011,601345908.33629,577140126.983969,845523465.530415,714818468.325125,47528212.4951123,0.452278614169709,0.424053782934395,0.396725114795452,f11,f12,f32
401.381330344067,12096368580.9931,-2346674008.05228,577140126.983969,880071311.337605,714818468.325125,47528212.4951123,0.452278256896719,0.424053715033854,0.396725258317487,f11,f12,f24
401.381330344067,10948770824.868,676923209.007995,577140126.983969,844637517.943575,714818468.325125,47528212.4951134,0.45227846177368,0.424054128231689,0.396726227663071,f11,f12,f33
401.381330344067,6280333940.12301,735790725.23283,577140126.983969,855821586.813266,714818468.325125,47528212.4951124,0.452278393475523,0.42405363458262,0.396725155017981,f11,f21,f22
401.381330344067,-4239364847.55695,791355336.194877,577140126.983969,882001188.337813,714818468.325125,47528212.4951123,0.452278311569646,0.424053736760355,0.396725159298614,f11,f21,f23
401.381330344067,11885032386.1466,706186847.700506,577140126.983969,841873346.902339,714818468.325125,47528212.4951123,0.452278527783289,0.424053703591717,0.39672517918457,f11,f21,f30
401.381330344067,12054127818.7979,705293488.064664,577140126.983969,841452677.990299,714818468.325125,47528212.4951123,0.452278311569641,0.424053736760355,0.396725159298617,f11,f21,f31
401.381330344067,-14473226147.145,845410377.350372,577140126.98397,907470081.305874,714818468.325125,47528212.4951121,0.452278940727783,0.424053166770465,0.396725909896548,f11,f21,f32
401.381330344067,3474614828.22463,750610352.036214,577140126.983969,862803954.655109,714818468.325125,47528212.495113,0.452278735846301,0.42405353804659,0.396725149020308,f11,f21,f24
401.381330344067,8902296678.89908,721941461.303181,577140126.983969,849296523.628848,714818468.325125,47528212.4951124,0.452278222221885,0.424053733273437,0.396725122470742,f11,f21,f33
401.381330344067,-10149280506.3126,1484726939.79767,577140126.983969,888306586.726469,714818468.325125,47528212.4951124,0.452278334647227,0.424053742706685,0.396725235053732,f11,f22,f23
401.381330344067,-12917947984.073,1610934450.17685,577140126.983969,893781027.998616,714818468.325125,47528212.4951123,0.452278356816249,0.424053599136949,0.396724942003857,f11,f22,f30
