err [%],used f1,used f2,used f3,used f4,Mech params
4.67531633416792,f02,f22,f31,f32,positive MP
4.675657109354,f11,f20,f30,f33,positive MP
4.68059360784648,f02,f20,f21,f30,positive MP
4.68736120095412,f02,f22,f31,f33,positive MP
4.6953019831841,f11,f12,f21,f32,positive MP
4.70371421311418,f02,f12,f30,f31,positive MP
4.71288015107493,f02,f20,f32,f33,positive MP
4.72008706240251,f02,f20,f22,f32,positive MP
4.73401592490865,f11,f12,f31,f32,positive MP
4.73488341396928,f02,f12,f22,f31,positive MP
4.75226111313989,f21,f30,f31,f32,positive MP
4.78847964777161,f11,f22,f30,f32,positive MP
4.81583665629111,f02,f30,f32,f33,positive MP
4.82557261299452,f11,f02,f21,f23,positive MP
4.83880802855837,f11,f02,f12,f31,positive MP
4.85268983923409,f11,f02,f30,f24,positive MP
4.85441675956909,f12,f22,f32,f33,positive MP
4.85535232537737,f11,f22,f30,f33,positive MP
4.8591931338543,f11,f02,f21,f22,positive MP
4.85981767686691,f11,f20,f22,f30,positive MP
4.8657045683581,f30,f31,f32,f33,positive MP
4.86912142593347,f11,f02,f12,f32,positive MP
4.87484014791216,f20,f21,f31,f32,positive MP
4.88851151641286,f02,f30,f31,f33,positive MP
4.89613945089466,f11,f02,f22,f30,positive MP
4.90368723520742,f02,f21,f22,f33,positive MP
4.91362280340863,f20,f12,f21,f22,positive MP
4.9269896886617,f02,f20,f21,f32,positive MP
4.93420447685108,f11,f02,f21,f32,positive MP
4.94800186324029,f11,f02,f30,f31,positive MP
4.95327148246644,f11,f02,f12,f21,positive MP
4.9535258814402,f11,f02,f30,f33,positive MP
4.96091733444957,f11,f02,f24,f33,positive MP
4.9874598757364,f11,f12,f22,f33,positive MP
4.99138242995536,f11,f02,f30,f32,positive MP
5.01662229211746,f02,f21,f30,f33,positive MP
5.03347579581353,f02,f12,f22,f24,positive MP
5.0443984377138,f12,f21,f31,f24,positive MP
5.06105980035664,f11,f12,f32,f33,positive MP
5.06623060029828,f11,f02,f21,f31,positive MP
5.08003700386855,f12,f30,f32,f24,positive MP
5.08406925774384,f11,f22,f31,f32,positive MP
5.08680656267685,f20,f12,f30,f31,positive MP
5.09203654218981,f12,f31,f32,f24,positive MP
5.09693103735391,f11,f02,f21,f33,positive MP
5.10042806889094,f20,f12,f22,f33,positive MP
5.10717926000262,f11,f02,f31,f33,positive MP
5.11234872301886,f11,f31,f32,f33,positive MP
5.12005481744333,f20,f21,f30,f32,positive MP
5.12036837998807,f11,f02,f32,f33,positive MP
5.13170696409599,f11,f02,f31,f32,positive MP
5.14452741729981,f12,f21,f23,f30,positive MP
5.15988806926423,f20,f12,f22,f23,positive MP
5.16160635517412,f12,f21,f23,f31,positive MP
5.1750027195477,f11,f02,f20,f32,positive MP
5.2008049449619,f11,f02,f21,f30,positive MP
5.20855675421869,f11,f30,f31,f32,positive MP
5.23636430583009,f02,f21,f31,f33,positive MP
5.24437927500115,f02,f21,f30,f32,positive MP
5.26637718143393,f11,f02,f32,f24,positive MP
5.28823434166484,f11,f12,f23,f30,positive MP
5.2952818326714,f11,f02,f20,f22,positive MP
5.30138653598925,f12,f23,f31,f33,positive MP
5.32987012413757,f12,f23,f30,f33,positive MP
5.3562393709156,f11,f12,f22,f32,positive MP
5.38911362355714,f11,f22,f32,f33,positive MP
5.40528619365474,f11,f02,f31,f24,positive MP
5.40870446834746,f11,f02,f22,f32,positive MP
5.40891739991699,f12,f21,f30,f24,positive MP
5.43955462845237,f20,f12,f23,f33,positive MP
5.44969987085346,f11,f02,f20,f31,positive MP
5.46189112937909,f11,f21,f32,f33,positive MP
5.48464087082811,f11,f02,f22,f33,positive MP
5.50598910969457,f11,f02,f20,f12,positive MP
5.51480636229987,f11,f21,f22,f33,positive MP
5.52687437498067,f02,f20,f12,f24,positive MP
5.54711955317581,f02,f12,f23,f33,positive MP
5.56120143006875,f11,f02,f20,f33,positive MP
5.56604125731056,f11,f02,f20,f30,positive MP
5.61635102925162,f20,f30,f31,f32,positive MP
5.62585860757309,f02,f12,f32,f24,positive MP
5.63188152370795,f02,f12,f21,f24,positive MP
