rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1,used f2,used f3,used f4,used f5
401.381330344067,13803731561.7237,760064183.442316,577140126.983969,798849744.902202,714818468.325125,47528212.4951123,0.453159781614296,0.424170926192717,0.396043939024654,f11,f02,f20,f12,f21
401.381330344067,13733594578.1901,758247778.496623,577140126.983969,782412835.460054,714818468.325125,47528212.4951122,0.443740598924121,0.420542408620769,0.396545543900138,f11,f02,f20,f12,f22
401.381330344067,12981978580.4587,724778614.134879,577140126.983969,713324300.879101,714818468.325125,47528212.4951126,0.358804604016162,0.437633446413469,0.38051885371597,f11,f02,f20,f12,f23
401.381330344067,13588928072.3302,739598167.382644,577140126.983969,805323008.465544,714818468.325125,47528212.4951122,0.454539672275168,0.432255059851065,0.396176981956456,f11,f02,f20,f12,f30
401.381330344067,13519693266.1272,747718797.939425,577140126.983969,805124580.314356,714818468.325125,47528212.4951123,0.444086087266798,0.422284472404873,0.392331142807275,f11,f02,f20,f12,f31
401.381330344067,13774391425.4574,731787638.67795,577140126.983969,790481350.623418,714818468.325125,47528212.4951123,0.429116302895816,0.423611564181971,0.390778285392469,f11,f02,f20,f12,f32
401.381330344067,12404806366.2455,757063559.490499,577140126.983969,752010536.728052,714818468.325125,47528212.4951123,0.382530203413121,0.426333145279529,0.380499671730527,f11,f02,f20,f12,f24
401.381330344067,13772208785.9225,762848007.31627,577140126.983969,794727810.602913,714818468.325125,47528212.4951124,0.440144553647822,0.425268752114527,0.393577344849076,f11,f02,f20,f12,f33
401.381330344067,13997878738.6017,744428896.058014,577140126.983969,796986677.238478,714818468.325125,47528212.4951123,0.448103248767009,0.420564621441998,0.397269591451263,f11,f02,f20,f21,f22
401.381330344067,12850598967.4156,741136647.738267,577140126.983969,708540580.399468,714818468.325125,47528212.4951123,0.354841943409103,0.436949494049014,0.380323634264734,f11,f02,f20,f21,f23
401.381330344067,13941289579.8873,726767290.831538,577140126.983969,829427382.761385,714818468.325125,47528212.4951123,0.460739428867815,0.43306654324894,0.39699221239381,f11,f02,f20,f21,f30
401.381330344067,13840698304.2346,732157556.956528,577140126.983969,827348194.854398,714818468.325125,47528212.4951124,0.450066194675062,0.422791875948952,0.392864582578199,f11,f02,f20,f21,f31
401.381330344067,14101332705.3707,722057573.393504,577140126.983969,813034385.59092,714818468.325125,47528212.4951122,0.432127278740926,0.424024990539304,0.391115378920763,f11,f02,f20,f21,f32
401.381330344067,12341370260.0708,757876388.787147,577140126.983969,746059635.525316,714818468.325125,47528212.4951121,0.382964799042374,0.426197568918935,0.38062009689493,f11,f02,f20,f21,f24
401.381330344067,14109624100.0394,744066489.987713,577140126.983969,814445119.174308,714818468.325125,47528212.4951124,0.445528718463771,0.426226079521598,0.393952294130757,f11,f02,f20,f21,f33
401.381330344067,12872389841.5022,728268492.249818,577140126.983969,707367086.350726,714818468.325125,47528212.4951123,0.360092523045294,0.437617466554036,0.380489803291585,f11,f02,f20,f22,f23
401.381330344067,13800660875.0086,722673866.888812,577140126.983969,802234059.107834,714818468.325125,47528212.4951122,0.450888634018144,0.428206138170329,0.39735268403899,f11,f02,f20,f22,f30
401.381330344067,13716384277.4432,729174578.217845,577140126.983969,801256750.254726,714818468.325125,47528212.4951123,0.441263835242586,0.41921257800703,0.393741748862749,f11,f02,f20,f22,f31
401.381330344067,13961543219.8234,717929793.552812,577140126.983969,790434481.182983,714818468.325125,47528212.4951123,0.428487992639108,0.420809004729151,0.392386279348453,f11,f02,f20,f22,f32
401.381330344067,12330912367.301,753622622.612363,577140126.983969,740736156.812554,714818468.325125,47528212.4951122,0.382733397429873,0.425466319499089,0.380939821552768,f11,f02,f20,f22,f24
401.381330344067,13960934837.9297,744427019.65594,577140126.983969,792612315.735174,714818468.325125,47528212.4951122,0.438542278088538,0.421708960697224,0.395226940244069,f11,f02,f20,f22,f33
401.381330344067,12800979820.4295,714897469.424435,577140126.983969,705843949.791471,714818468.325125,47528212.4951123,0.362852416402756,0.439671029403976,0.38090458641024,f11,f02,f20,f23,f30
401.381330344067,12808552120.0048,720777109.691284,577140126.983969,705397178.520337,714818468.325125,47528212.4951123,0.359852726762043,0.436713894412972,0.380059902980144,f11,f02,f20,f23,f31
401.381330344067,12863334997.0217,717741847.184557,577140126.983969,702826148.866392,714818468.325125,47528212.4951126,0.357229625415953,0.436914194504483,0.379811182241131,f11,f02,f20,f23,f32
401.381330344067,11786813865.5338,722507034.483764,577140126.983969,666889437.106264,714818468.325125,47528212.4951123,0.32877058381018,0.435973222073412,0.372258208002035,f11,f02,f20,f23,f24
401.381330344067,12882244882.3812,738671805.970552,577140126.983969,712489923.493079,714818468.325125,47528212.4951122,0.365681911715232,0.436108490985341,0.382448536541634,f11,f02,f20,f23,f33
401.381330344067,13699340056.289,718392102.309205,577140126.983969,831626787.923045,714818468.325125,47528212.4951126,0.452344892776763,0.429910827425772,0.393581898426625,f11,f02,f20,f30,f31
401.381330344067,13928864929.8378,704706099.541043,577140126.983969,816677835.35351,714818468.325125,47528212.4951113,0.43744136870891,0.430475429049433,0.391903266358946,f11,f02,f20,f30,f32
401.381330344067,12263369280.9368,741193979.010059,577140126.983969,746705431.459675,714818468.325125,47528212.4951126,0.386499547189858,0.429898519167929,0.380951349392446,f11,f02,f20,f30,f24
401.381330344067,13892613942.447,725120239.103432,577140126.983969,821152337.529292,714818468.325125,47528212.4951123,0.448561298121277,0.433936205740649,0.394462472572227,f11,f02,f20,f30,f33
401.381330344067,13842573923.3614,708969415.324213,577140126.983969,815472563.715474,714818468.325125,47528212.4951123,0.428889233821734,0.422647513311988,0.388653069577493,f11,f02,f20,f31,f32
401.381330344067,12277885173.6736,749924032.509865,577140126.983969,746306932.646046,714818468.325125,47528212.4951122,0.382537095851311,0.425790896807131,0.379847405620812,f11,f02,f20,f31,f24
401.381330344067,13797328977.4932,731934570.014622,577140126.983969,819821307.852002,714818468.325125,47528212.4951114,0.437998427219823,0.424057912821067,0.390513122430488,f11,f02,f20,f31,f33
401.381330344067,12346335098.4423,734574915.647078,577140126.983969,738834645.920407,714818468.325125,47528212.4951126,0.374508170783172,0.426063629370992,0.378345504593527,f11,f02,f20,f32,f24
401.381330344067,14062399842.3229,720291104.09255,577140126.983969,807343686.966233,714818468.325125,47528212.4951123,0.425279979379589,0.424988906451724,0.389630643355633,f11,f02,f20,f32,f33
401.381330344067,12344496570.644,761264979.682315,577140126.983969,748552385.335118,714818468.325125,47528212.4951123,0.384903745888156,0.425823947970491,0.381141099238146,f11,f02,f20,f24,f33
401.381330344067,13754163803.2588,685710512.517095,577140126.983969,792799070.675013,714818468.325125,47528212.4951123,0.440643661778746,0.420802842529102,0.396281355792279,f11,f02,f12,f21,f22
401.381330344067,12997770118.393,623116062.8396,577140126.983969,734418201.811049,714818468.325125,47528212.4951122,0.346137982442904,0.43575881302195,0.38045557790064,f11,f02,f12,f21,f23
401.381330344067,13723090732.5012,677947755.065269,577140126.983969,809981875.115187,714818468.325125,47528212.4951123,0.44712095667267,0.426671762691135,0.395892007629366,f11,f02,f12,f21,f30
401.381330344067,13667394213.5115,677131811.006627,577140126.983969,810176733.294101,714818468.325125,47528212.4951122,0.442453581359254,0.422613275716208,0.39401089055824,f11,f02,f12,f21,f31
401.381330344067,13792068002.1018,659567305.505843,577140126.983969,805528015.093994,714818468.325125,47528212.4951123,0.433004492417365,0.423060544734223,0.393196583992846,f11,f02,f12,f21,f32
401.381330344067,12420174345.5266,687633650.740868,577140126.983969,761178098.521672,714818468.325125,47528212.495112,0.376456304448686,0.42563667251448,0.380437906533499,f11,f02,f12,f21,f24
401.381330344067,13794705053.5643,700403597.942379,577140126.983969,802905183.748214,714818468.325125,47528212.4951123,0.443206653041417,0.424211262187118,0.394844445118576,f11,f02,f12,f21,f33
401.381330344067,13474790363.9796,13403132.7950671,577140126.983969,794999919.235773,714818468.325125,47528212.4951125,0.393153789464047,0.441208753279702,0.38306345578348,f11,f02,f12,f22,f23
401.381330344067,13853261385.7386,612638751.24228,577140126.983969,794769342.622966,714818468.325125,47528212.4951123,0.444577604675051,0.41969883675899,0.396160501352444,f11,f02,f12,f22,f30
401.381330344067,13883388585.1535,573852554.176454,577140126.983969,798105466.334192,714818468.325125,47528212.4951125,0.448098806066878,0.4229012616669,0.397108039224715,f11,f02,f12,f22,f31
401.381330344067,13812166095.363,576968960.973344,577140126.983969,800352210.935516,714818468.325125,47528212.4951123,0.450282698322985,0.422469034388451,0.397093795148468,f11,f02,f12,f22,f32
401.381330344067,12669866980.7171,298763616.426493,577140126.983969,788538211.002732,714818468.325125,47528212.4951122,0.393334805925463,0.430063110852643,0.380807671263184,f11,f02,f12,f22,f24
401.381330344067,13812313893.0281,598609616.326158,577140126.983969,801592213.919885,714818468.325125,47528212.4951126,0.452174789871606,0.421029777074623,0.397858597516233,f11,f02,f12,f22,f33
401.381330344067,13400817970.4462,526807171.834005,577140126.983969,722238092.791771,714818468.325125,47528212.4951121,0.357932622261573,0.423946575181251,0.381432731696821,f11,f02,f12,f23,f30
401.381330344067,13625068117.6152,429771905.297184,577140126.983969,726336548.42265,714818468.325125,47528212.4951123,0.377463959604062,0.438548127469965,0.388589248889967,f11,f02,f12,f23,f31
401.381330344067,13109274998.2885,516060101.588619,577140126.983969,738675687.156984,714818468.325125,47528212.4951124,0.388009921530186,0.436872960973477,0.387626442148961,f11,f02,f12,f23,f32
401.381330344067,13767213951.8292,-1495908545.0582,577140126.983969,830763308.543416,714818468.325125,47528212.4951121,0.437108287902751,0.422079095403297,0.392040583567623,f11,f02,f12,f23,f24
401.381330344067,13186548197.6622,425708849.935274,577140126.983969,757557336.266148,714818468.325125,47528212.4951123,0.396624757714552,0.431013664744266,0.390114763563398,f11,f02,f12,f23,f33
401.381330344067,13808971151.8038,627069116.799984,577140126.983969,805827496.646011,714818468.325125,47528212.4951123,0.447291720018637,0.422387700551279,0.39534351477947,f11,f02,f12,f30,f31
401.381330344067,13865774631.1406,617406612.916113,577140126.983969,803469724.762111,714818468.325125,47528212.4951123,0.444305787584118,0.421862955005497,0.395019401818187,f11,f02,f12,f30,f32
401.381330344067,12606485662.3016,624075750.26373,577140126.983969,754266066.238804,714818468.325125,47528212.4951122,0.37999390937524,0.420419321474097,0.380652329728737,f11,f02,f12,f30,f24
401.381330344067,13813697087.0262,642837556.871161,577140126.983969,806835933.385324,714818468.325125,47528212.4951125,0.450102028348366,0.423880008202435,0.396224448855396,f11,f02,f12,f30,f33
401.381330344067,13844729185.8132,599164823.910564,577140126.983969,805728102.797336,714818468.325125,47528212.4951126,0.448442394158397,0.423815869519202,0.395978335095775,f11,f02,f12,f31,f32
401.381330344067,12702813783.9801,587510542.429209,577140126.983969,754545029.705161,714818468.325125,47528212.4951122,0.387783772911586,0.427515541979309,0.383848454841774,f11,f02,f12,f31,f24
401.381330344067,13791582295.4017,625700304.999605,577140126.983967,808729233.185744,714818468.325125,47528212.4951127,0.450685244823525,0.423068282255375,0.396119219363186,f11,f02,f12,f31,f33
401.381330344067,12494595555.5,584555277.559293,577140126.983969,763475051.24009,714818468.325125,47528212.4951113,0.395113348519747,0.426323466929945,0.383733908534829,f11,f02,f12,f32,f24
401.381330344067,13832752158.8379,610707287.954255,577140126.983969,808353594.419906,714818468.325125,47528212.4951123,0.449963930960168,0.422995872338631,0.396267864540211,f11,f02,f12,f32,f33
401.381330344067,12489964220.0064,598273588.835415,577140126.983969,770365153.320972,714818468.325125,47528212.4951123,0.397803470410456,0.42368772601118,0.3846170527216,f11,f02,f12,f24,f33
401.381330344067,12955120502.2756,635123924.231285,577140126.983969,733672536.790798,714818468.325125,47528212.4951123,0.347807901954192,0.436702618239116,0.380158780258737,f11,f02,f21,f22,f23
401.381330344067,14034204047.5747,646108571.740074,577140126.983969,818352141.893111,714818468.325125,47528212.4951124,0.441423945274202,0.421903065057944,0.397010666133598,f11,f02,f21,f22,f30
401.381330344067,13976024022.3295,638755965.246444,577140126.983969,819848271.805961,714818468.325125,47528212.4951122,0.438190713800223,0.419896931597724,0.395695073176831,f11,f02,f21,f22,f31
401.381330344067,14070482895.6903,629120313.88034,577140126.983969,817788472.396334,714818468.325125,47528212.4951123,0.43251407334324,0.420388494419807,0.395176240379476,f11,f02,f21,f22,f32
401.381330344067,12372819042.5636,688432924.46915,577140126.983969,755540583.541831,714818468.325125,47528212.4951122,0.376275689805648,0.425236417378485,0.380615742837896,f11,f02,f21,f22,f24
401.381330344067,14060090033.9581,657219432.117154,577140126.983969,814431431.668566,714818468.325125,47528212.4951121,0.439724701483897,0.420678375991277,0.396579223519219,f11,f02,f21,f22,f33
401.381330344067,12979343892.2106,652412463.616997,577140126.983969,725148559.54806,714818468.325125,47528212.4951124,0.346739535611516,0.433658674758434,0.380350478134119,f11,f02,f21,f23,f30
401.381330344067,13004998537.8732,648164305.60996,577140126.983969,725907924.354689,714818468.325125,47528212.4951125,0.349033750827524,0.436313589402646,0.381387771487873,f11,f02,f21,f23,f31
401.381330344067,12927773776.7426,651325207.906646,577140126.983969,728186625.211781,714818468.325125,47528212.4951125,0.35218668039403,0.436010012197565,0.381474728991416,f11,f02,f21,f23,f32
401.381330344067,11824471481.0635,639226438.831083,577140126.983969,692272930.510039,714818468.325125,47528212.4951123,0.311743710565898,0.434346198884402,0.371668362602276,f11,f02,f21,f23,f24
401.381330344067,12948358057.2569,670382559.788015,577140126.983969,733651126.461329,714818468.325125,47528212.4951121,0.359768371719818,0.434510089407162,0.383269565316916,f11,f02,f21,f23,f33
401.381330344067,14041554523.8008,642939591.268371,577140126.983969,842977371.537683,714818468.325125,47528212.4951122,0.445916574701763,0.424376737133593,0.394977740369669,f11,f02,f21,f30,f31
401.381330344067,14172589026.8697,631524210.267899,577140126.983969,837876285.244518,714818468.325125,47528212.4951123,0.436891026664085,0.424182346049918,0.394118944800604,f11,f02,f21,f30,f32
401.381330344067,12379980677.1924,693276345.980452,577140126.983969,756630131.933011,714818468.325125,47528212.4951123,0.376868825490767,0.42539426701315,0.380502714360529,f11,f02,f21,f30,f24
401.381330344067,14127782258.3994,651055138.083561,577140126.983969,837233702.662759,714818468.325125,47528212.4951123,0.445196590304308,0.426786400196323,0.395545780537946,f11,f02,f21,f30,f33
401.381330344067,14103241004.2511,624313555.101817,577140126.983969,839476434.218084,714818468.325125,47528212.4951122,0.435283272782133,0.422803596112474,0.393253344924347,f11,f02,f21,f31,f32
401.381330344067,12397501089.8213,698289221.355545,577140126.983969,755771424.865887,714818468.325125,47528212.4951124,0.377736946247335,0.425777543402403,0.380815138066749,f11,f02,f21,f31,f24
401.381330344067,14052736874.8453,645815279.610279,577140126.983969,838233875.634424,714818468.325125,47528212.4951122,0.441384702819916,0.423442308779577,0.393937855172403,f11,f02,f21,f31,f33
401.381330344067,12381789004.5688,676496119.435305,577140126.983968,757527209.797994,714818468.325124,47528212.4951123,0.373069252609601,0.425376765820953,0.379876453151911,f11,f02,f21,f32,f24
401.381330344067,14181712510.4483,633832455.265212,577140126.983969,835074511.409248,714818468.325125,47528212.4951123,0.434412100482267,0.423673312776101,0.393559804290988,f11,f02,f21,f32,f33
401.381330344067,12378618979.0352,712143611.780816,577140126.983969,759724881.602409,714818468.325125,47528212.4951123,0.383865742783234,0.424854105150001,0.38186940472192,f11,f02,f21,f24,f33
401.381330344067,13326415806.9527,552555286.043258,577140126.983969,729742490.485018,714818468.325125,47528212.4951119,0.359299970847407,0.428377888513084,0.380607827086914,f11,f02,f22,f23,f30
401.381330344067,13529213367.3486,479730298.793496,577140126.983969,738611805.715133,714818468.325125,47528212.4951124,0.374553322103819,0.441166007868558,0.385915602512016,f11,f02,f22,f23,f31
401.381330344067,13095422319.9038,537531694.245417,577140126.983969,743563764.994199,714818468.325125,47528212.4951123,0.384492695805498,0.438873048028956,0.385874224230084,f11,f02,f22,f23,f32
401.381330344067,12553147384.2654,-17089972.8132681,577140126.983969,778886984.527817,714818468.325125,47528212.4951123,0.359243985862832,0.44264727403642,0.373374194180593,f11,f02,f22,f23,f24
401.381330344067,13210713263.0208,471818423.531046,577140126.983969,763729609.195628,714818468.325125,47528212.4951125,0.390651389523534,0.434515593970348,0.387721928971162,f11,f02,f22,f23,f33
401.381330344067,14199492902.8884,587267143.358005,577140126.983969,817107341.62395,714818468.325125,47528212.4951122,0.445837056942148,0.418373390829349,0.396848996670814,f11,f02,f22,f30,f31
401.381330344067,14206285828.5009,587150564.175912,577140126.983969,816914978.586957,714818468.325125,47528212.4951121,0.445661733971541,0.418421922465219,0.396859144624427,f11,f02,f22,f30,f32
401.381330344067,12551083730.8049,633360266.250063,577140126.983969,753371494.958802,714818468.325125,47528212.4951123,0.381025454303395,0.421470011235699,0.380555752777972,f11,f02,f22,f30,f24
