f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3
62,105.5,147.5,155.5,184.5,288,393.5,420.5,468.5,521,606.5,692,,,
61.9999951670347,105.500003744598,147.499989586933,163.269816080131,189.264178692967,304.216322978102,475.968255339903,440.396783429913,490.619309273599,552.833836164061,720.804198110359,715.303228838,f11,f02,f20
61.9999980074101,105.500003902542,-972.512086655275,155.50000489804,-724.24361141938,-335.456876109755,-125.499357201026,-1594.41145695449,-1278.35426329744,-1905.18382517404,278.761981049402,-1445.9044320155,f11,f02,f12
62.0000007301203,105.499996274615,141.65883310529,163.229298193052,184.500000070753,300.880271214927,472.831458058913,429.784715642461,481.393639351269,540.014644829448,718.498837884675,704.031988222612,f11,f02,f21
61.9999971119937,105.499998344003,119.106654100362,163.072843489792,166.105918242771,288.000020665127,460.720500018228,388.81252302431,445.774193644547,490.520831697293,709.598014092561,660.514634558175,f11,f02,f22
62,105.5,-6.0668125040763,162.204488076016,64.0115417737264,216.509628455611,393.5,161.400688405171,248.072264560589,215.810775265325,660.195032077313,418.976312403024,f11,f02,f23
62,105.5,136.548276109293,163.193846127847,180.331711390168,297.961474376645,470.086994901087,420.5,473.321910087181,528.798836554388,716.481829274461,694.170510409728,f11,f02,f30
61.9999978900621,105.500000823297,133.495286245595,163.172664022737,177.841620519012,296.217813474592,468.44747238694,414.953407472197,468.499945722106,522.098630915309,715.276877298894,688.279359880264,f11,f02,f31
62,105.5,132.994684442875,163.169193935976,177.433319716437,295.931909316639,468.178649090818,414.04392888291,467.709283323845,521,715.079310821513,687.313397195471,f11,f02,f32
61.9999982338523,105.500010771675,-142.115264483687,161.260689968734,-46.9527308138351,138.808192862343,320.43943603465,-85.7685246850412,33.1941490902717,-82.7658944216195,606.499977313898,156.453312094503,f11,f02,f24
62.0000023435981,105.499987453762,135.423466805759,163.186039004778,179.414290556571,297.319062979782,469.482950484767,418.456456944916,471.54534207215,526.330299973743,716.037876307236,692.000055346712,f11,f02,f33
61.9999980673725,93.3269026234012,147.499992893093,155.499979080172,188.363851015496,298.244455231204,461.235009926661,425.260657328554,469.211455658284,548.231239027064,686.0610679186,705.718879228049,f11,f20,f12
62,41.0849820413908,147.5,122.155032881786,184.5,272.615636177703,398.005964233361,360.30264117698,377.337769217706,528.478745644932,536.957855806845,664.586741055502,f11,f20,f21
61.9999950447376,72.4445349221875,147.50000777251,142.171186539076,186.81938176907,287.999989158469,435.96081392371,399.295378840359,432.487321642366,540.335702326808,626.460871851168,689.277367408975,f11,f20,f22
62.0000031404158,37.3619899736749,147.50000657029,119.77872792014,184.22465271347,270.789223543421,393.499994053977,355.673454868443,370.790452396888,527.071115616399,526.332110895639,661.655506519716,f11,f20,f23
61.9999996958453,89.4981621455606,147.499998887691,153.056174819663,188.0806801605,296.366160402377,456.601046968312,420.499982698414,462.478164298212,546.783620935461,675.133501592773,702.704377858155,f11,f20,f30
62.0000004120404,92.9223405197985,147.49999725832,155.241758967466,188.333934595858,298.045993902722,460.745376425391,424.757631379145,468.499992305436,548.078292486923,684.90642428057,705.40037337774,f11,f20,f31
62,21.3050182022308,147.5,109.529886606568,183.037056574659,262.911986524721,374.066023149549,335.708072289742,342.5523249608,521,480.504027843091,649.013180595537,f11,f20,f32
62,65.4507539837538,147.5,137.707206656337,186.302113803457,284.568990409071,427.496167021648,390.599241383133,420.187908306411,537.691371728636,606.5,683.770892532406,f11,f20,f24
61.9999964831646,75.9025040075014,147.500013147382,144.378340309482,187.075139700164,289.696408243735,440.146053491172,403.595048592222,438.568589691751,541.643176190283,636.330251612098,691.999992867042,f11,f20,f33
62.0000021896027,93.3784605991732,142.758016436611,155.499997389807,184.500001475572,295.561471261353,458.750899682699,416.709672539082,461.812536927882,537.843838296797,684.336693912192,696.609242042139,f11,f12,f21
61.9999994467109,93.5237293844247,129.393758462744,155.500004017436,173.610545002626,287.999992884029,451.749850248536,392.610469776399,440.9601832883,508.569088224886,679.476735681958,670.935545176966,f11,f12,f22
62.0000013712774,94.7322457957858,18.2011235312162,155.500005839325,83.0086414048714,225.087351624362,393.499994278096,192.101317386816,267.46522710087,264.998783025414,639.040859702434,457.326542574041,f11,f12,f23
61.9999985140342,93.3556567318052,144.859936167766,155.500018198158,186.212686460204,296.750745322277,459.852054126248,420.500026197728,465.092255371308,542.448152310658,685.101170196013,700.647192646544,f11,f12,f30
62.0000005144137,93.3318959628534,147.044006521231,155.500006807621,187.992308428357,297.986484745918,460.996192361855,424.438440256744,468.500042910958,547.232413141082,685.895366657922,704.842941166764,f11,f12,f31
62.0000052520001,93.4620293516207,135.068602873585,155.499999188561,178.234519917767,291.210818308594,454.722700609121,402.8436564468,449.814666011673,520.99999515259,681.540398585553,681.837346851961,f11,f12,f32
61.9999957638312,95.7048066411093,-71.2814301674782,155.499999355856,10.0965242678314,174.458227794092,346.62325610924,30.7410758308248,127.844726899578,68.9849490597663,606.49996959315,285.424130496848,f11,f12,f24
61.999997254253,93.404588925586,140.358720692309,155.500023369783,182.545007092595,294.203966763823,457.494043556254,412.383174053041,458.068988957602,532.588137873669,683.46431182189,692.000051236396,f11,f12,f33
62.0000022185541,76.1458819358364,144.320684181952,144.511635724154,184.500012882178,288.000004753903,438.733273998422,398.121555719165,433.975091576846,534.757738317837,635.770085994262,686.056710810098,f11,f21,f22
62,37.2059330316689,147.851752954747,119.681555455443,184.5,270.913550184398,393.5,356.118455339516,371.071562154682,527.784058059304,526.025523304036,662.211362547231,f11,f21,f23
61.9999945214195,96.8923571686581,142.439390836719,157.740624196534,184.500005624441,297.103322167165,462.832681404198,420.500004223627,467.488900054035,538.473150881877,694.239895990603,698.761014576668,f11,f21,f30
62,97.5182849123996,142.382616594616,158.139755012288,184.5,297.377977187551,463.55977488899,421.175145247544,468.5,538.585221438933,696.00395954809,699.144297419091,f11,f21,f31
62.0000205460265,-0.675956807766381,151.28689279802,95.5261825187595,184.500017972744,254.291430042933,349.495900188378,315.256683578011,309.877266211395,520.999983536479,419.263023298667,639.014103179606,f11,f21,f32
62.0000006648192,65.7601692781991,145.262456048853,137.889179365106,184.500003865026,283.442856753191,426.669067218418,386.918859639567,417.198025778477,532.89778250176,606.500010854824,679.696897208421,f11,f21,f24
62.0000036827551,85.8513974932973,143.440577243119,150.700364119016,184.500008117674,292.258681249868,450.007348826374,408.590518902032,449.65334518529,536.495850098158,663.123158955195,691.999973517192,f11,f21,f33
61.9999979652465,15.7570663957662,196.192411022373,106.326531449707,222.341381367833,287.999996169539,393.500004188102,417.272783897378,409.70153037594,625.764400011054,483.88739930089,738.603331037157,f11,f22,f23
62.0000031620367,5.58053070135045,204.933611259988,99.8917045358663,228.718246257185,287.999974265727,385.87742221907,420.499980524032,405.610928571009,641.100437778794,458.292599917438,747.458231658463,f11,f22,f30
62.0000069288919,162.03860002345,70.5420500629391,198.823386182035,130.677154851713,288.000006553971,503.069820837883,370.882199797617,468.500047048193,405.31636607531,851.797113485377,611.31814225548,f11,f22,f31
61.9999973572151,85.2749794433735,136.479143215029,150.284145912612,178.779461431562,287.999998693448,445.57126447522,395.226444369232,437.644588824133,521.000091370641,658.730476495283,678.113130321638,f11,f22,f32
61.9999969989556,64.5080496887888,154.317162907597,137.152785896957,191.792623275172,288.000002624799,430.016134443992,401.812310646204,429.297237907153,552.296116182451,606.499997190905,696.183244306432,f11,f22,f24
61.999999694654,69.3154722950506,150.187718660148,140.192623505403,188.780113382658,287.999984251525,433.617055045217,400.287629985207,431.229536098302,545.051192042246,618.591060219048,692.000062031299,f11,f22,f33
61.9999995677211,14.6251775456885,198.743427902844,105.621769712089,224.338334597302,288.901683089801,393.500020911851,420.500005194089,411.740105642611,630.934996744685,481.663724184979,742.634680782523,f11,f23,f30
62.0000009551382,-16.8901915941688,269.771527746307,85.9988962848578,279.939597302016,314.007206937942,393.499995987487,510.355507357999,468.500001174908,774.899875449035,419.749078336416,854.879233367873,f11,f23,f31
61.9999995677307,38.6910311087911,144.504701868062,120.606243284395,181.879905863113,269.730505226136,393.5000034505,351.884203474873,368.396874213658,521.000014609158,528.943127682685,656.922073337643,f11,f23,f32
62.0000027765999,78.1685154824523,55.5317818338021,145.186690278533,112.231323993778,238.282207414561,393.499976005574,239.327190381692,297.296841479162,340.663258460564,606.499990252542,516.319577316008,f11,f23,f24
61.9999896909059,28.8421412603348,166.701930173653,114.473872024706,199.256035641846,277.576333304051,393.500066708155,379.965339640722,386.135241202251,565.990972627367,509.594179469168,692.000018855799,f11,f23,f33
62,98.3844211332381,141.418211221087,158.685901711787,183.777468831592,297.252084623477,464.090166649581,420.5,468.5,536.796187212556,698.095363674743,697.965296784744,f11,f30,f31
62.0000010869128,112.439008664914,131.799202371759,167.58992925942,176.97147397126,298.653271920812,475.935023507615,420.500030635073,478.024191739212,520.99997132095,734.412049195539,690.46992206402,f11,f30,f32
62,62.9369322984411,165.678636652932,136.22879564237,200.943106472522,293.718136672676,434.21592781816,420.5,444.47881954817,576.636374985272,606.5,716.869682524482,f11,f30,f24
61.9999802960744,109.569961858836,133.762795936606,165.772265952954,178.3608096591,298.367190781288,473.516985643357,420.50003150971,476.079957775026,524.224502877112,726.998415217546,691.999905345325,f11,f30,f33
61.999999364617,106.031904658222,132.903066382199,163.508060638957,177.397935687325,296.140521968255,468.773206404215,414.538855029602,468.499994578443,521.000030490641,716.561240436406,687.555380739495,f11,f31,f32
