f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
4.15049111599937e-06,1,1.57111444478072e-05,2,4.27214834578129e-06,3,9.17642427980733e-06,4,2.00799040070452e-05,5,1.33292550065099e-06,6,1.15058962282178e-05,7,1.45329141518227e-06,8,9.81968929202431e-06,9,8.29860801686617e-06,10,1.66928380843216e-05,11,1.24687096177103e-06,12,1.58317846537041e-06,13,8.41243419139707e-06,14,4.21446726567863e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.60726261818232e-06,1,2.83544116001331e-05,2,4.93873536745315e-06,3,1.620921976842e-05,4,3.57271441508758e-05,5,1.02142642603949e-06,6,1.7711056875543e-05,8,2.24692206972031e-06,7,7.06476560489086e-06,12,4.42743562539303e-06,9,1.91208233345565e-05,13,9.63113460728136e-07,10,4.93279149727298e-06,11,1.06764679909824e-05,14,6.07452706247999e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.55489345723244e-06,1,2.47138191267164e-05,2,4.54671416178423e-06,3,1.40552772941958e-05,4,3.09558525526381e-05,5,1.76827539112076e-06,6,1.68661867085844e-05,7,2.07712205379124e-06,8,1.30449720021377e-05,9,5.59975213336036e-06,10,2.13916641167887e-05,11,4.57163856317179e-06,12,1.01384949781982e-06,13,1.18547422746804e-05,14,3.88702784927235e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.78449408436413e-06,1,1.51499042832826e-05,2,2.75344933150114e-06,3,7.96875639486998e-06,4,8.36306133691796e-06,6,1.08232755064947e-05,5,9.35448996974362e-06,8,1.34950247183193e-06,7,6.82125827712694e-06,12,2.9095891828145e-06,11,1.28733575976516e-05,13,1.01168006071278e-06,9,1.58989229543957e-06,10,7.17806773672865e-06,15,NaN,NaN,NaN,NaN,2.65434452202655e-06,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.41070525818203e-06,1,1.46798503824127e-05,2,1.19151476238983e-05,3,1.21155561129816e-05,4,2.62791250236176e-06,6,1.97220405511142e-05,5,1.07704897784085e-05,8,1.29731193375386e-06,7,8.72174164553321e-06,10,1.43963114504302e-05,11,1.65903533101437e-05,12,1.97521819421068e-07,9,1.22664533593222e-05,13,8.40818277604964e-06,14,NaN,NaN,NaN,NaN,1.77061198904141e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.44110064321416e-06,1,2.162856083062e-05,2,4.14813952453889e-06,3,1.07491779764246e-05,4,2.700820477142e-05,5,1.23476955441483e-06,6,1.50500116058111e-05,7,2.30111276257255e-06,8,1.3343333401783e-05,9,6.80084430961986e-06,10,2.14840965782861e-05,11,2.06599945838488e-06,12,1.40451681523659e-06,13,1.13871410802398e-05,14,4.72705628082647e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.46255072921072e-06,1,1.65296069441803e-05,2,4.15062811335276e-06,4,9.4842857346133e-06,3,2.10073849567033e-05,5,2.61212845521331e-06,7,1.2450000698133e-05,6,1.15285576809893e-06,8,1.09110083609959e-05,9,3.51838580824578e-06,11,1.84375392874325e-05,10,6.26331082196737e-07,13,3.85179799394489e-07,14,1.09741674057235e-05,12,NaN,NaN,3.35054774886991e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.83075045705278e-06,1,1.44553245002107e-05,2,6.51918022733623e-06,4,8.70154985320762e-06,3,1.84601395304094e-05,5,2.40467500781841e-06,7,1.09257051365215e-05,6,1.01580969039196e-06,8,9.60645192437305e-06,9,4.40981113018824e-06,11,1.62983076036865e-05,10,1.10105883074371e-06,13,5.22885084382628e-07,14,9.41410572075658e-06,12,NaN,NaN,2.93449353871957e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.76206446519269e-06,1,1.05643312148325e-05,2,3.23518652697122e-06,4,5.38249910632822e-06,3,1.30753972238304e-05,5,2.06881264961219e-06,6,7.73985772830343e-06,7,9.05069037730564e-07,8,7.02934184465414e-06,9,2.69213323429285e-06,11,1.16827273284793e-05,10,4.11214506536992e-06,12,8.35429494446545e-07,14,6.45074378990623e-06,13,1.80243710768003e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.54528146986566e-06,1,1.63058095326359e-05,2,3.11849752857128e-06,3,1.05870891008582e-05,4,2.24022229096117e-05,5,1.33459081266568e-06,6,1.24103278174477e-05,8,1.66703481641991e-06,7,9.10076832972979e-06,11,3.81319538385844e-06,10,1.61425741454517e-05,13,2.72434349075184e-07,9,2.95481582298076e-06,12,9.71725956228595e-06,14,7.1034524442235e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
