f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
2.12409877687292e-06+9.306169990212e-07i,-8.00574943419691e-06+5.15460719469589e-07i,-1.88682367031472e-06+5.99058923629453e-07i,-4.74832665504566e-06+1.32368163042384e-06i,1.0279684859796e-05+5.07644435164707e-07i,5.10256701988273e-07+6.83843775366097e-07i,-5.68176077678756e-06+9.26698110926157e-10i,-3.10636908841338e-07+1.86991250155116e-06i,-4.45997206944221e-06+1.34863154843589e-06i,1.96104998021092e-06+3.19060707118293e-06i,7.75810930471671e-06+4.19890601481478e-08i,1.06906828884617e-06+2.7001184739612e-06i,-1.46709224348588e-07+9.59584891765671e-07i,-4.3173048433135e-06+1.65034178422229e-07i,-9.29681719467374e-09+3.80331626291829e-07i
1.34361921556708e-05+8.97625743116892e-07i,-3.61868647881163e-05+4.99327843731058e-07i,-1.44865544572977e-05+1.99756416832561e-06i,-1.50156470818964e-05+1.92492941844066e-06i,2.00925476090047e-05+5.2884163709817e-07i,6.41650172747341e-07+7.81811725897545e-07i,-6.03118848030364e-06+9.13838303961569e-08i,3.54653865453912e-07+9.45305265623467e-07i,-2.95033259100168e-06+1.09874775192303e-06i,5.32154983423586e-06+8.87493851898604e-07i,4.46342401929624e-06+1.58590851740393e-06i,4.54919028802031e-08+1.03229276931902e-06i,-8.40514404466167e-07+8.98484530905417e-07i,-1.71764552716389e-06+4.83463898209024e-08i,1.27135510414539e-07+3.81802950486413e-07i
1.05105499247168e-06+7.77370016651271e-07i,-3.75295627392895e-06+4.36685150889424e-07i,-2.01308863449042e-06+8.20739968754389e-08i,-2.26149337815624e-06+1.16307187865544e-06i,4.03763895990959e-06+5.00030399590158e-07i,-7.87710966587641e-08+8.67177240584862e-07i,-1.89583931851981e-06+1.39810163083171e-07i,-7.44227581565694e-08+5.54535084468166e-07i,-8.64781614965598e-07+9.51521901186348e-07i,2.07849675070958e-06+9.09839576040791e-07i,2.21481699095667e-06+3.08654847814503e-07i,-1.83107010252174e-08+8.2894353031228e-07i,-6.88451785476446e-07+5.47011873092848e-07i,-8.10025142247989e-07+7.13141466347124e-08i,1.46270562791618e-07+2.65507768676015e-07i
1.72668019819734e-06+8.08043823302736e-07i,-6.73442656153308e-06+4.69026211950789e-07i,-3.82980041472108e-06+4.38003670428036e-07i,-1.96057664467734e-06+2.51770043207782e-06i,8.70610747426069e-06+5.36527329377132e-07i,4.6636553399454e-07+1.11734905702691e-06i,-5.45630088765234e-06+1.79014729376862e-07i,4.86944646196877e-07+5.47939052790672e-07i,-5.17152334077401e-06+1.03332316150881e-06i,8.98244668732592e-06+8.0992871605132e-07i,2.08328943315096e-06+1.53510161855511e-06i,-2.18185256113522e-07+1.32770882822475e-06i,-4.79539847359964e-06+3.63029974814593e-07i,-1.1651659634809e-06+5.73900052549871e-07i,2.30814718399084e-07+8.27407721548974e-07i
8.88934048171654e-07+9.15708689841797e-07i,-3.33889144457781e-06+4.91969907081072e-07i,-8.83384514589105e-07+4.90120226063419e-09i,-1.9990028476802e-06+1.10800787727361e-06i,4.66464168621612e-06+4.74313593004338e-07i,1.84762832564722e-07+6.74637075727269e-07i,-2.65284902077802e-06+1.0264228622725e-07i,-2.49592717853682e-06+4.76326056196314e-07i,-1.65748396903212e-06+4.24850382547696e-07i,-1.75451118085964e-06+7.75097261422901e-07i,1.3311734088498e-07+2.37983102996719e-06i,4.90832796868425e-06+3.01324933351682e-07i,2.16503885218205e-07+1.16902776769668e-06i,-3.27683105697516e-06+1.71610384697314e-07i,-3.31019526646375e-08+3.65724119684098e-07i
8.60977518391519e-06+9.28705578772871e-07i,-3.37690273983003e-05+5.3956263622012e-07i,-1.77895805729688e-05+5.94361411237808e-07i,-6.27060720695887e-06+2.19592261669018e-06i,4.25765588059312e-05+5.54301746466715e-07i,2.95634901519661e-06+7.95254836919054e-07i,-2.53905269297893e-05+1.15553352310389e-07i,2.62108309359384e-06+8.18355906037309e-07i,-2.26756778118305e-05+1.01101909739743e-06i,3.78365154329878e-05+7.06455922396538e-07i,7.64417608869231e-06+1.08374805971936e-06i,-2.23938237175569e-07+1.11834021932992e-06i,-1.64146240584467e-05+5.86500704096646e-07i,-6.80074635778265e-06+7.18753498764941e-07i,-2.02641001692968e-07+7.88055787178022e-07i
8.97294527953814e-07+8.18009991332068e-07i,-3.24969373241056e-06+4.53155679234224e-07i,-9.62050097895344e-07+5.03376730465064e-08i,-1.86356403423622e-06+1.22985861925371e-06i,4.34375270235754e-06+5.1870774303576e-07i,6.79403581285999e-08+8.87979090950447e-07i,-2.707440417726e-06+1.20778506160234e-07i,-5.00351635831939e-08+7.61031396473676e-07i,-2.12739617759156e-06+1.47338528663621e-06i,-1.44083376742383e-07+2.72743177647989e-06i,4.72776772569172e-06+2.53957117679838e-07i,1.53988372668911e-07+1.16847266737775e-06i,-5.21184096361955e-07+9.48455918248532e-07i,-2.72169792627912e-06+7.44169765898314e-08i,2.13474014412535e-08+3.80811882739098e-07i
9.0384481781339e-07+9.08365686932751e-07i,-3.2584154455418e-06+4.91929737620983e-07i,-1.05161069993212e-06+4.42972434652905e-08i,-1.72828597151788e-06+1.13732719556929e-06i,3.54453100890612e-06+4.79586004037406e-07i,1.09899460126433e-07+6.5371302895179e-07i,-1.56665284211337e-06+9.61249847952114e-08i,-1.07390814453954e-06+6.07201264254652e-07i,-4.42088738813008e-07+8.96410350033222e-07i,3.80324519916769e-07+1.33028471938332e-06i,1.61236702984086e-06+1.85311497678299e-07i,1.57900607100246e-06+1.04534638213882e-07i,4.39498021454826e-08+7.57797590745407e-07i,-8.38624396407393e-07+1.57026495815819e-07i,4.93875508985874e-08+2.86256391849169e-07i
1.18338046881562e-06+8.07776615706529e-07i,-4.37130153923541e-06+4.54955909095983e-07i,-1.13735315555322e-06+1.38044062587214e-07i,-2.63561797183943e-06+1.19007790497711e-06i,5.80935271196644e-06+5.04306779916501e-07i,2.73749259263259e-07+7.74559995668757e-07i,-3.47775993818816e-06+1.03358339220956e-07i,-2.71223293476007e-08+9.12293398677753e-07i,-2.49663454725885e-06+1.52023470602296e-06i,-1.12609071748145e-07+2.85144910187068e-06i,5.31574074330585e-06+2.31339566000775e-07i,3.3623523692529e-07+1.44534812841488e-06i,-2.89052907201115e-07+9.66890118801546e-07i,-3.09094413333844e-06+1.36074267766274e-07i,9.25602858714579e-09+3.6252998218175e-07i
2.34783520409312e-06+8.77790813116864e-07i,-8.87577021462394e-06+4.85418090219427e-07i,-2.23369500425918e-06+8.73283543547486e-07i,-4.9031935314495e-06+1.45942604945539e-06i,1.04985487001437e-05+5.05745791016103e-07i,4.74514309095882e-07+7.14200478355648e-07i,-5.35095533167267e-06+5.89231937608586e-08i,1.5432677758315e-07+1.19082598599495e-06i,-3.76214272487423e-06+1.23253124895233e-06i,2.64901183478717e-06+3.50339943713946e-06i,6.57505878847891e-06+5.92852193578186e-08i,2.13753183430383e-07+1.38520859513224e-06i,-3.7221459742372e-07+9.59178705687827e-07i,-3.157664135689e-06+1.19267052586689e-07i,2.39365663144681e-08+3.80202523878286e-07i
