f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
67.4536624247744,1,109.310895938076,2,174.126471090656,4,169.333575946814,3,214.053897768134,5,295.443123734705,6,334.902740198712,7,353.727673797179,8,467.044328408251,9,519.892046089798,11,505.862462834258,10,556.361585805561,12,602.994002354761,13,624.732109973068,14,768.398528735279,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.1419558867056,1,106.577703815123,2,173.742985327477,4,168.873523688025,3,214.095341936471,5,289.137607724446,6,336.254928285022,7,349.449704647437,8,465.41882084568,9,519.890757228005,11,505.394292823598,10,544.075084174287,12,594.618123740884,13,624.973777588082,14,764.159780670663,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.9718474060475,1,103.334141603648,2,165.323804662714,3,167.80135989873,4,208.632162082463,5,281.404559463523,6,322.888390327284,7,336.866320155459,8,462.331384681971,9,499.770830942103,11,498.5919473404,10,532.747044965417,12,579.123569748326,13,609.550187917461,14,740.136770523084,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.6863819084129,1,105.639194976529,2,162.851454237934,4,159.324503392077,3,199.441316996185,5,285.285867727046,6,310.947549012255,7,336.016731318239,8,439.349454869959,9,486.153330798642,11,474.219950875643,10,536.906655783887,12,569.846350417306,13,589.841844961661,14,724.48099697509,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.3660455883616,1,106.593546758259,2,167.826552244508,3,194.509891737944,4,230.225702248677,5,288.049428437104,6,338.879963105853,7,341.953344698152,8,535.328073429779,10,511.992477111768,9,567.558076960887,12,538.191388627909,11,587.099917516845,13,664.772965936553,14,747.313637649271,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.5526496225886,1,99.1828542105508,2,152.659959605169,3,170.181382791717,4,203.539283821253,5,269.194896367373,6,303.338771414148,7,316.556228071876,8,469.038545100882,10,466.029972401824,9,498.382030938595,11,508.844602568535,12,549.74689793992,13,590.090824401232,14,692.179572896212,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.8901788290311,1,116.751981379066,2,175.259114762591,3,181.921683652449,4,220.738520121531,5,315.528823125318,6,337.590269631687,7,365.559911554718,8,500.409762776492,9,526.266383802564,10,535.136613394145,11,589.62463406082,12,624.145104950396,13,651.265141153042,14,784.207272843252,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.9284278645899,1,99.3169346292319,2,154.529435775156,3,155.326263422648,4,192.771775358008,5,267.817167406312,6,297.755582674792,7,316.752031301535,8,428.109176591356,9,461.871679864515,11,460.632911063092,10,502.223696887294,12,540.937291661261,13,562.181498789566,14,683.583616739423,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.5937867451914,1,109.110841679582,2,168.085605423007,3,179.023947346832,4,217.343662593481,5,294.302128663645,6,328.592951408633,7,346.479568749212,8,493.650578876516,9,506.49400037399,10,526.890648822514,11,552.310395844644,12,596.23682273823,13,630.142605700033,14,749.519444701373,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.7966824086795,1,100.16742101876,2,152.106670024516,3,178.778224664944,4,209.409047659374,5,270.760060577544,6,306.077822817501,7,315.791946506109,8,492.027093299423,10,465.543347326605,9,519.780785354715,12,506.593179857452,11,546.63325090366,13,605.997006438199,14,686.220036380311,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.1221402615467,1,113.619662948944,2,173.286071830803,4,165.396775374792,3,207.981567985977,5,306.140923812243,6,327.24869745938,7,358.078520946789,8,455.572988463047,9,513.800271021568,11,493.095716709675,10,572.179804828154,12,625.027124019522,14,597.035208509015,13,765.188805804357,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.0598127637172,1,105.208948838345,2,169.679495519474,3,173.440943551917,4,215.311710458124,5,285.720377687839,6,332.223365048993,7,343.436850627099,8,477.871096201687,9,511.594901931912,10,514.884486522065,11,538.506052938617,12,588.141821570154,13,626.531272473873,14,753.010724088642,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
