f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
1.28256167315402e-06,1,3.24272792925468e-06,2,2.03254806430584e-06,3,2.47197093808022e-06,4,4.12544758782491e-06,5,7.0424597838759e-07,6,2.29511184913578e-06,7,1.29531128114741e-06,8,2.07677106321716e-06,9,3.9101083708157e-06,10,3.88941344401448e-06,11,1.59780487052363e-06,12,9.57767042204592e-07,13,1.89583589693634e-06,14,3.88962052900503e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.41041822430375e-06,1,4.28006321922598e-06,2,2.59248575837481e-06,3,3.17217729673904e-06,4,5.52003123485803e-06,5,8.32680479092474e-07,6,3.27996039769688e-06,7,7.87972231520413e-07,8,3.00336431616044e-06,9,5.9003904121591e-06,10,5.87646610435617e-06,11,1.01254478726119e-06,12,1.40234785746672e-06,13,2.31839598734885e-06,14,4.3639545953969e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.35665674410043e-06,1,3.79074126377168e-06,2,2.50674514583188e-06,3,2.97437233746644e-06,4,5.17681220678718e-06,5,6.96651018574687e-07,6,3.16197264081889e-06,7,1.836219962366e-06,8,3.27395282213046e-06,9,5.61626767236057e-06,10,6.26426537553498e-06,11,2.92930218208623e-06,12,9.32444782431172e-07,13,3.68098909252424e-06,14,3.88684372855292e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.78177059345586e-06,1,1.17276920279666e-05,2,4.50143262715592e-06,4,4.8518901401217e-06,3,8.36282759951584e-06,5,8.94269324396218e-07,6,2.75015052723789e-06,7,6.4499047023124e-07,8,1.53573365017313e-06,9,1.88180991471601e-06,11,2.4694124857414e-06,10,8.59337471064748e-07,12,9.19441733205705e-07,13,7.28070783539737e-07,14,3.00654204821349e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.94589759045914e-06,1,6.72682502022392e-06,2,1.43464805144154e-06,3,4.18862251639467e-06,4,9.09336673092356e-06,5,1.33079439963651e-06,6,5.63133667952986e-06,7,7.64682373082805e-07,8,4.53426244327131e-06,9,4.29162867097198e-06,10,9.51024885877441e-06,11,1.13646944152844e-06,12,1.87613445046194e-06,13,4.74866534872542e-06,14,4.24308337872657e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.82100475421972e-06,1,5.90110632117056e-06,2,1.73231042828467e-06,3,3.7024442028086e-06,4,7.53843850094466e-06,5,7.85950181784604e-07,6,4.15769359047642e-06,7,1.72880890042312e-06,8,3.51836111773737e-06,9,3.51920817184248e-06,10,5.86826814469735e-06,11,2.84453832737273e-06,12,9.80249102927235e-07,13,3.2641887472079e-06,14,3.879722646669e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.52717282006002e-06,1,4.61149713515878e-06,2,1.06726512415663e-06,3,2.99112043738838e-06,4,6.32755631470539e-06,5,8.54585593625994e-07,6,3.89831483676671e-06,7,1.22508178252685e-06,8,2.71535115089143e-06,10,2.43461878988681e-06,9,6.79658943698765e-06,11,2.60675956162448e-06,12,1.03156611186179e-06,13,4.33598942763677e-06,14,3.81888300893691e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.02387857144423e-06,1,2.2244986860188e-05,2,3.84057194654633e-06,3,1.17561936968092e-05,4,2.53992022470328e-05,5,1.52469365388098e-06,6,1.24564564246847e-05,7,1.36394442603677e-06,8,7.70631009285968e-06,9,5.26228791960105e-06,10,1.33350921569895e-05,11,1.56030245834811e-06,12,1.19631947126912e-06,13,6.557164267751e-06,14,3.86562775372109e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.43542270472939e-06,1,4.08878875980314e-06,2,9.41593241592775e-07,3,2.60110365233582e-06,4,5.59054424494958e-06,5,7.23972103875241e-07,6,3.08492841282033e-06,8,2.50075335605811e-06,7,2.02147106862535e-06,10,1.53185616309542e-06,9,4.95895284590826e-06,12,2.13597717028421e-06,11,1.64896254165977e-06,13,3.10947939459293e-06,14,3.80336022610269e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.69671943692307e-06,1,2.09598620932657e-05,2,3.91529968895593e-06,3,1.00424933974051e-05,4,2.15334225328583e-05,5,1.19598166289989e-06,6,9.52971707477545e-06,7,1.48372921820272e-06,8,6.04682788685385e-06,9,4.36617209048158e-06,10,9.4792500254825e-06,11,1.98376835887876e-06,12,1.10241375325112e-06,13,4.52110151356276e-06,14,4.14762274043048e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
