f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f03,f03 peak N,f21,f21 peak N,f13,f13 peak N,f22,f22 peak N,f1t,f1t peak N
713.520079271251,1,846.421663811212,2,1395.65751390066,3,1715.38517372587,4,1726.58204771014,5,1931.36020355729,6,2227.31592746211,7,2442.02761499493,8,NaN,NaN
712.245724122258,1,941.046294849482,2,1408.74102110359,4,1404.4915664575,3,1844.12240817576,6,1663.43315961798,5,2337.98763814104,8,2249.40623155274,7,NaN,NaN
740.140745089413,1,819.228352172786,2,1398.74071241963,3,1551.82637678515,4,1690.56678964504,5,1810.56859505663,6,2235.89270423745,7,2361.32653125619,8,NaN,NaN
815.338944210095,1,857.472494919613,2,1573.5015630208,3,1887.34749376955,5,1824.05981051058,4,2158.79635335439,6,2449.70972292209,7,NaN,NaN,2715.07597007677,8
774.809188512359,1,802.619134400251,2,1412.22866879696,3,1473.88042420182,4,1658.52844324111,5,1754.86266306331,6,2188.35571565671,7,2317.36896983866,8,NaN,NaN
674.507668043168,1,789.81738128385,2,1314.55690015809,4,1101.44918355595,3,1664.4648678597,6,1459.4466546681,5,2252.54775054064,8,2168.40802070775,7,NaN,NaN
578.569238311301,1,730.388930104484,2,1133.20834571515,3,1310.19565354783,4,1434.83749698387,5,1492.42087506114,6,1815.73275976061,7,1904.94884773878,8,NaN,NaN
628.464399268956,1,760.055443425074,2,1224.07961336514,3,1265.94610294912,4,1568.13115020039,6,1495.55077410475,5,2087.29151326698,8,NaN,NaN,2028.0841650758,7
646.967432905032,1,875.315948044461,2,1317.7450652193,3,1424.31188888157,4,1747.61123888431,6,1629.34258770492,5,2335.34351828896,8,2140.47188185451,7,NaN,NaN
759.008503021062,1,901.70604140591,2,1484.52367916289,3,1793.3192727316,4,1815.15584276401,5,2031.77605330557,6,2324.98219013898,7,2581.46365889855,8,NaN,NaN
737.183601367211,1,800.70360191396,2,1398.9580427435,3,1578.36108581745,4,1688.58648868723,5,1836.01611931576,6,2265.42685694254,7,2401.94777307946,8,NaN,NaN
801.315058387751,1,860.932287477666,2,1495.68498091096,3,1582.78702968514,4,1793.91689466606,5,1883.83573608253,6,2391.37724892036,7,2502.13342551251,8,NaN,NaN
598.685063340209,1,751.893025755217,2,1218.00700934171,3,1392.04424055746,4,1547.00115497431,5,1624.1968799815,6,2084.44932092718,7,2144.10894762926,8,NaN,NaN
784.26446566269,2,717.585315948463,1,1439.41767419313,3,1678.71715317365,5,1554.42971707097,4,1924.01389955937,6,2138.03443995713,7,NaN,NaN,NaN,NaN
710.019953051287,1,827.639779459955,2,1397.85297179528,3,1748.98482974987,5,1714.08519307686,4,1967.66240823705,6,2251.82238784777,7,2490.22534168343,8,NaN,NaN
765.3298921181,1,913.808822287964,2,1488.89326077291,4,1343.21393430269,3,1888.39245054024,6,1697.24434054586,5,2499.3731354572,8,2434.16352456986,7,NaN,NaN
481.912828081011,1,662.409146130094,2,995.026176000315,3,1263.47081858633,4,1302.64812403245,5,1398.0493775261,6,1678.54937863307,7,1732.64067998956,8,NaN,NaN
703.124764473537,1,919.684185238696,2,1423.13997542761,3,1513.56425569115,4,1870.08350964383,6,1758.57773729567,5,2503.75798996794,8,2364.99416493628,7,NaN,NaN
594.496397157918,1,726.482651934569,2,1216.22185949069,3,1697.75768459689,5,1533.98987434896,4,1866.41124876141,6,2114.53411353219,8,NaN,NaN,2057.24132015112,7
683.084318543734,1,755.624933593093,2,1334.20085921885,3,1721.51302369556,5,1600.55413786457,4,1926.92422357467,6,2135.63130519136,7,NaN,NaN,2323.7719890449,8
668.546534574938,1,800.469051079808,2,1265.74195944754,3,1316.40986309265,4,1629.81039976548,6,1531.13250506702,5,2152.13682387026,8,2030.69054497379,7,NaN,NaN
809.255376988998,1,827.375230585238,2,1488.32574561408,3,1498.82454135045,4,1743.61276593837,5,1825.48224761073,6,2340.72151353173,7,2469.73860270046,8,NaN,NaN
691.751162004597,1,792.269004006875,2,1291.95417816403,3,1424.43783093911,4,1572.39944187331,5,1647.34593751034,6,2004.62945602247,7,2119.72916235336,8,NaN,NaN
719.265401442768,1,876.423427464651,2,1386.29049623547,4,1373.77962636133,3,1781.40905712016,6,1648.52006044525,5,2366.85467175778,8,2243.62785402898,7,NaN,NaN
628.560258889674,1,743.927676537635,2,1230.66386628656,3,1466.86813547355,4,1525.22643664246,5,1668.67921296257,6,1988.35103052703,7,2141.28589074177,8,NaN,NaN
601.562899953481,1,874.332525337626,2,1316.43285821376,3,1533.15336305712,4,1784.58731483979,6,1724.51522279439,5,NaN,NaN,2288.28854519231,8,2272.66320447733,7
693.082731133503,1,806.489391679502,2,1336.31134354326,3,1491.24401883537,4,1650.3084080675,5,1742.69433526463,6,2203.59212679991,7,2271.4816864815,8,NaN,NaN
646.960228301949,1,860.700734449966,2,1360.53858987288,3,1756.6692908344,4,1774.59985455771,5,1963.13271352364,6,2386.10463949625,8,NaN,NaN,2353.62836878248,7
678.467793866799,1,798.003567128819,2,1307.28017328917,3,1380.33129182423,4,1667.23593866088,6,1608.54109263127,5,NaN,NaN,2209.78865718633,8,2167.75436382005,7
691.676135473208,1,843.954546675178,2,1387.58895877082,3,1663.52690893731,4,1750.89399059575,5,1903.31460757497,6,2392.73760798425,7,2441.57043329964,8,NaN,NaN
501.769554874002,1,743.462732522442,2,1081.01237778614,3,1305.22796377377,4,1465.99599840611,6,1436.03956027775,5,1915.50824177577,8,1811.45540840125,7,NaN,NaN
670.987252629494,1,737.567097859498,2,1279.1112407407,3,1308.36931928701,4,1543.27019970318,5,1603.77810760233,6,2110.38098841008,7,2173.42088404909,8,NaN,NaN
724.678419936986,1,834.566218656492,2,1396.86957439453,3,1528.65684233862,4,1723.42067725976,5,1801.89116154022,6,2311.6615233843,7,2379.12171708575,8,NaN,NaN
720.240866612925,1,855.290468084015,2,1365.82699576476,3,1441.57513225235,4,1738.98213814617,6,1668.71524533672,5,NaN,NaN,2250.12842336602,8,2207.02103009844,7
670.897944551729,1,856.668889447667,2,1341.25701750759,3,1557.14116646794,4,1725.44207303212,5,1775.12882414469,6,2237.33886214724,7,2297.45992459662,8,NaN,NaN
654.810364266907,1,905.751861378531,2,1373.86445707132,3,1562.46420610057,4,1837.88510364838,6,1762.8701763789,5,2439.00651643025,8,2331.43920574806,7,NaN,NaN
648.579954008249,1,859.173926574267,2,1339.09898630572,4,1251.92124715786,3,1766.03530661398,6,1553.87249772972,5,2372.04788364368,8,2237.6159012166,7,NaN,NaN
662.445147182512,1,682.062572717071,2,1289.84901591476,3,1593.28239287489,5,1497.90000700526,4,1824.09385075807,6,2066.73879937543,7,NaN,NaN,2107.19627765038,8
642.576629147102,2,588.495444309715,1,1172.68892701968,3,1439.27613758614,5,1304.25693444503,4,1635.38279760617,6,1817.7755948255,7,NaN,NaN,1912.05482114818,8
673.032837170489,2,649.173888055368,1,1279.55670135658,3,1729.13881697606,5,1446.81710366923,4,1922.61087424737,6,2015.16667403677,7,NaN,NaN,2048.05825060533,8
651.4956784293,1,789.827432968766,2,1277.1170532793,3,1463.65913828689,4,1586.70576053403,5,1681.28382889753,6,2029.00114404548,7,2182.61173607898,8,NaN,NaN
580.206404852694,1,786.48130234561,2,1208.67326421625,3,1355.17860620248,4,1608.5240587279,6,1536.81616992833,5,NaN,NaN,2038.55168991172,7,2169.02691183919,8
735.983047389252,1,826.859702851321,2,1432.60875565905,3,1656.26707240978,4,1735.57167730269,5,1915.64058378756,6,2308.3771100047,7,2505.15890206915,8,NaN,NaN
612.624970706275,1,820.681788507505,2,1265.09382414894,3,1456.83398412484,4,1679.90437628258,6,1642.86488734593,5,2256.43657629819,8,2153.87887848827,7,NaN,NaN
714.120425663465,1,793.844980321513,2,1362.48919312424,3,1469.27862748334,4,1637.61288747886,5,1733.60800965816,6,2153.19611620715,7,2302.2501415111,8,NaN,NaN
583.495073451144,1,901.94430491257,2,1335.49686373855,3,1832.24857472187,5,1799.48939484898,4,1986.86092443159,6,NaN,NaN,2413.92549308494,8,2243.09198862471,7
