H12 f11,H12 f11 peak N,H12 f02,H12 f02 peak N,H12 f12,H12 f12 peak N,H12 f20,H12 f20 peak N,H12 f03,H12 f03 peak N,H12 f21,H12 f21 peak N,H12 f13,H12 f13 peak N,H12 f22,H12 f22 peak N,H12 f1t,H12 f1t peak N,H13 f11,H13 f11 peak N,H13 f02,H13 f02 peak N,H13 f12,H13 f12 peak N,H13 f20,H13 f20 peak N,H13 f03,H13 f03 peak N,H13 f21,H13 f21 peak N,H13 f13,H13 f13 peak N,H13 f22,H13 f22 peak N,H13 f1t,H13 f1t peak N,H15 f11,H15 f11 peak N,H15 f02,H15 f02 peak N,H15 f12,H15 f12 peak N,H15 f20,H15 f20 peak N,H15 f03,H15 f03 peak N,H15 f21,H15 f21 peak N,H15 f13,H15 f13 peak N,H15 f22,H15 f22 peak N,H15 f1t,H15 f1t peak N
0.00116167756930639,1,0.00171162333850136,2,0.00192745942010169,3,0.00166521772351046,4,0.00263405854227653,5,0.00169185828762692,6,0.00193450876877951,7,0.00134053515132543,8,NaN,NaN,0.00068400136837292,1,0.000310001682449267,2,0.000484903328446837,3,0.00090252653622181,4,0.000726339541310256,5,0.00108831474441098,6,0.00103405580254384,7,0.000907306089059853,8,NaN,NaN,1.73276072816632e-05,1,0.000995139881476959,2,9.67164286250968e-05,3,0.00137136161830432,4,0.000106225880138499,5,0.000237929588333953,6,0.000433161821807325,7,0.00238805940082072,8,NaN,NaN
0.00109788418583835,1,0.00163547111263133,2,0.00182873537984127,3,0.0015203960491006,4,0.00252942420489769,5,0.00152733775704539,6,0.0019852967063965,7,0.00123138150469525,8,NaN,NaN,0.000655749982823656,1,0.000314873183681283,2,0.000473318880008706,3,0.00083695025351452,4,0.000727501467170409,5,0.00102267290732515,6,0.000902581505293255,7,0.000950381437360899,8,NaN,NaN,1.83162044393402e-05,1,0.000970699832276405,2,8.15466277986683e-05,3,0.00124549771234902,4,7.59307401631881e-05,5,0.000214392894778612,6,0.000311609085058402,7,0.00223105402600597,8,NaN,NaN
0.00119678743044147,1,0.0017345045405779,2,0.00211682773923493,3,0.00188945751541319,4,0.00279741116470681,5,0.00189005281535433,6,0.00204223280562951,7,0.00159899370553002,8,NaN,NaN,0.000701480453177916,1,0.000375104300630118,2,0.000475463022808395,3,0.00101261161171071,4,0.000784199883100687,5,0.00119393546786097,6,0.00108700815498759,7,0.000846891018776094,8,NaN,NaN,5.54612303679935e-05,1,0.000978310041552681,2,6.41312327507895e-05,3,0.00149608315941151,4,8.90513883754772e-05,5,0.000255853381280014,6,0.000537273545233097,7,0.00260098196585202,8,NaN,NaN
0.000980635524924914,1,0.0014861128465199,2,0.00166206328278713,3,0.00185264646297905,5,0.00215679688983979,4,0.00150948281351686,6,0.00187007952748758,7,NaN,NaN,0.00092163018700858,8,0.00060316610573354,1,0.000249875758559114,2,0.000480087186734055,3,0.000811418444288186,5,0.000420275988498982,4,0.00110554654396284,6,0.000869351176106344,7,NaN,NaN,0.000195486076693889,8,9.14801184811024e-06,1,0.000856249990090749,2,6.42744460978975e-05,3,0.00121217724778134,5,5.64582901334593e-05,4,0.000282829897165131,6,0.000290409255751817,7,NaN,NaN,0.000257804075123921,8
0.00114473075353729,1,0.00178761438586069,2,0.00190481059676343,3,0.00150898765175287,4,0.00262749736107543,5,0.00171622470328907,6,0.00196852802053347,7,0.00154082353512469,8,NaN,NaN,0.000692316555821577,1,0.000294585177017561,2,0.000563159073480845,3,0.000814113882435143,4,0.000751846094251093,5,0.00110442899671564,6,0.00100450792313788,7,0.00103274019314566,8,NaN,NaN,9.61605150504786e-06,1,0.00101658642184809,2,0.00011613774809286,3,0.0013545241854247,4,0.000199410229057022,5,0.000266332447113531,6,0.000402150433408802,7,0.00250658210549652,8,NaN,NaN
0.00120694133504203,1,0.00181686094062237,2,0.00200604124920819,3,1.34166877108962e-05,4,0.00265300500954281,5,0.00178711742474474,6,0.00193227833735389,7,NaN,NaN,0.000478649466256252,8,0.000718107941704179,1,0.00029540115941729,2,0.000537441987149221,3,0.000387955514627617,4,0.000779036249779105,5,0.00124551722377984,6,0.00117572587856981,7,NaN,NaN,0.000146821793758502,8,1.25792113188242e-05,1,0.00102809252383652,2,0.000129498260564238,3,0.000990761718714343,4,0.000595956914757869,5,0.000290597975475209,6,0.000494030235508661,7,NaN,NaN,0.000930233356137692,8
0.0011386229851293,1,0.0016817649675434,2,0.00204746391727282,3,0.0016847253776587,4,0.00274070696891807,5,0.00172347929999503,6,0.00221893664816862,7,0.00111304332220676,8,NaN,NaN,0.000678551958237996,1,0.00037591639329136,2,0.000462672723135092,3,0.000938649911237334,4,0.00079538820336068,5,0.00113165524466018,6,0.00100821243058257,7,0.000889506114630769,8,NaN,NaN,5.76223811167858e-05,1,0.000951620223738619,2,6.14561863806121e-05,3,0.00137188091523025,4,7.6926196975973e-05,5,0.000227854128495867,6,0.000368664762488632,7,0.00231368750104109,8,NaN,NaN
0.00082971067173874,1,0.00149004168464338,2,0.00188895973184838,3,0.0013097773550593,4,0.00251571880683062,5,0.00150871626216805,6,0.00227374439587163,7,NaN,NaN,0.00131669099175002,8,0.000561050556393029,1,0.000426625052672803,2,0.000438325340332332,3,0.000798069184411282,4,0.000805697343991236,5,0.00106617954776222,6,0.000822055202802656,7,NaN,NaN,0.00020837305418665,8,0.000127903654913353,1,0.000738466537828572,2,2.55984786257227e-05,3,0.00121631152769629,4,0.000134687598403495,5,0.000209733377324874,6,0.000206375920655263,7,NaN,NaN,0.000181830428628936,8
0.00133896046874762,2,0.00113925242537093,1,0.00194142222079084,3,0.00174059441666516,5,0.0020811081745329,4,0.00152728980492257,6,0.00242084862617005,7,NaN,NaN,0.000201360779555824,8,0.000753299307433644,2,0.000184086423193036,1,0.000420073312424481,3,0.000910587905410928,5,0.000509272956491739,4,0.00118240391539215,6,0.000827393650308096,7,NaN,NaN,0.000317609427178411,8,4.38824927555276e-05,2,0.000818295717312582,1,8.30823385141529e-06,3,0.00120514270440762,5,0.000123925040939269,4,0.000235337390970221,6,0.000176579925206441,7,NaN,NaN,0.000322210115376076,8
0.00135881842025559,2,0.00122021001267538,1,0.00224803525356457,3,0.0017609727823547,5,0.0020113376993377,4,0.00163703784362532,6,0.00271879169422403,7,NaN,NaN,0.000911656075303851,8,0.000795736775670851,2,0.000267987122377616,1,0.000440349374786132,3,0.000979019729543322,5,0.00065600330343083,4,0.00132056936700002,6,0.000683389675097761,7,NaN,NaN,5.97731742785066e-05,8,1.15380504996426e-05,2,0.000880235403457325,1,8.76370427179448e-05,3,0.0013568933318984,5,6.1487559590619e-05,4,0.000264780862573468,6,0.000101177638152474,7,NaN,NaN,0.00013576665530138,8
0.00134187128978762,1,0.00201643707997888,2,0.00212952555623944,3,0.00178580236215432,4,0.00260352412682003,6,0.000549722891628318,5,0.00272784474774101,8,0.000303378138229701,7,NaN,NaN,0.000741670840799857,1,0.000318771569261696,2,0.000495472908096792,3,0.00101223907007804,4,0.000200061624463408,6,0.00172777102700003,5,0.000527656877756973,8,0.00115197342044323,7,NaN,NaN,1.54116884367935e-05,1,0.0011165460661548,2,0.000185495277588468,3,0.00142594933988299,4,8.51111499936607e-05,6,0.000289566198451426,5,0.00126394193685269,8,0.002072688533442,7,NaN,NaN
0.00107131730707843,1,0.0017178729745104,2,0.00216098695389272,3,0.00184141944890599,4,0.00299134375703525,5,0.00185372050578195,6,0.00223940504499054,7,0.00111533764286291,8,NaN,NaN,0.000661411075196403,1,0.00042336108213615,2,0.000471114529457458,3,0.00102192093848024,4,0.000752835106843585,5,0.00127601919578846,6,0.00110745579629532,7,0.00083433795030276,8,NaN,NaN,0.000105804794612075,1,0.000890510774833527,2,6.90701392535808e-05,3,0.00151710042693712,4,9.39265286222301e-05,5,0.000264148816334053,6,0.00044303844582801,7,0.0024349731492362,8,NaN,NaN
0.00130996252033419,1,0.00188188705644575,2,0.00201704853742425,4,0.00171910892589247,3,0.00252446018198076,6,0.000874098910396142,5,NaN,NaN,0.000877712163011582,7,NaN,NaN,0.000678844632659635,1,0.000282500360651317,2,0.000450771124869509,4,0.000887607999322276,3,0.000115714126955938,6,0.00167338085113812,5,NaN,NaN,0.000974382523240697,7,NaN,NaN,1.72763430674984e-05,1,0.00102906973628045,2,0.000219219807717994,4,0.00127118200705844,3,6.34620006392261e-05,6,0.000286691702617823,5,NaN,NaN,0.00237668148234175,7,NaN,NaN
0.00110827059154301,1,0.001646355651675,2,0.00177133581306386,3,0.00167623002062352,4,0.00206997859855564,6,8.95231995127851e-05,5,NaN,NaN,0.00223077918912083,8,9.86537814119763e-05,7,0.00062211904194664,1,0.000271537039935926,2,0.000446844127023393,3,0.000859132454522892,4,0.000337489918558632,6,0.00131877139970806,5,NaN,NaN,0.000159126526185677,8,0.000942562850907315,7,1.27207482703566e-05,1,0.000924914044663649,2,0.000138242394148826,3,0.00125505156628953,4,0.000107906228458018,6,0.000236683604009381,5,NaN,NaN,0.00136033779709281,8,0.00156852500168004,7
0.00115409830352227,1,0.00168490185743872,2,0.00192493002823387,3,0.0014035924439656,4,0.00258109515605232,5,0.00170101225011117,6,0.00201013980021908,7,0.000862322065963875,8,NaN,NaN,0.000681360703970725,1,0.000300187734275393,2,0.000474005161081118,3,0.00082371589514701,4,0.000749291707765797,5,0.00109090861970064,6,0.00105607966581616,7,0.000821721312797166,8,NaN,NaN,1.74404469558297e-05,1,0.000972755516689798,2,8.90635150885727e-05,3,0.00132559397425968,4,0.000194357366621455,5,0.000239445194818683,6,0.000403860757141638,7,0.00217273371395671,8,NaN,NaN
0.00123286320776695,1,0.00185263059694063,2,0.00205273971585373,3,0.00174721327205225,4,0.00260357873270131,5,0.00179831553166601,6,0.00227195758406524,7,0.00158733183210122,8,NaN,NaN,0.000740560297771522,1,0.000364070638016164,2,0.000549393060261489,3,0.000922995431698691,4,0.000871520343228965,5,0.00109653997182621,6,0.000923508880103201,7,0.00106517714496055,8,NaN,NaN,1.83094670676974e-05,1,0.00111082000700247,2,6.21014528363749e-05,3,0.00141220315525068,4,0.000107931178104061,5,0.000248381037232241,6,0.000353755714177496,7,0.00261062542347287,8,NaN,NaN
0.00101314513198832,1,0.00156008891382203,2,0.00164939434252801,3,0.00165841836589265,4,0.00221378451900618,5,0.00162112935116624,6,NaN,NaN,0.000779767603446173,8,0.000160226913201631,7,0.000584245129146939,1,0.000195280517962705,2,0.000457243511925782,3,0.00084347661058356,4,0.000584894718598203,5,0.000921278150275357,6,NaN,NaN,0.00109709810875002,8,0.000872480487824321,7,6.42898234441325e-06,1,0.000808350593785131,2,0.000210629426213895,3,0.00131472436108295,4,0.000126300528726753,5,0.000222229937548371,6,NaN,NaN,0.00163181588921503,8,0.0018044913869773,7
0.000888156737048212,1,0.00139055392763695,2,0.00148100173118638,3,0.00178723652173343,5,0.00174167187219081,4,0.00136958625570717,6,0.00104835266022787,7,NaN,NaN,0.000109088909394959,8,0.000530166804149159,1,0.000190630277590898,2,0.00044852918822544,3,0.000685838091530846,5,0.000198406965927853,4,0.00103136486465284,6,0.000935598981888884,7,NaN,NaN,0.000546940085467701,8,5.99868604811667e-06,1,0.000746381821751163,2,0.000154810421290594,3,0.00100160776042027,5,0.000130279465147389,4,0.000270418002094246,6,0.000628398880264114,7,NaN,NaN,0.000500514554052837,8
