f1,f2,f3
0.301693333333333,0.23908,0.258353333333333
0.334053333333333,0.304833333333333,0.387686666666667
0.4386,0.453966666666667,0.379086666666667
0.553566666666667,0.563146666666667,0.468733333333333
0.625093333333333,0.7022,0.55262
0.647086666666667,0.657193333333333,0.724906666666667
0.659233333333333,0.697606666666667,0.55886
0.657786666666667,0.64624,0.69824
0.656973333333333,0.68948,0.722653333333333
0.667313333333333,0.735053333333333,0.660033333333333
0.6236,0.75072,0.743433333333333
0.66088,0.703826666666667,0.71272
0.695906666666667,0.796233333333333,0.68306
0.690466666666667,0.64294,0.73148
0.70354,0.76836,0.735406666666667
0.706473333333333,0.79902,0.730326666666667
0.604453333333333,0.712706666666667,0.687326666666667
0.714873333333333,0.666726666666667,0.707133333333333
0.713866666666667,0.582686666666667,0.682473333333333
0.66456,0.717746666666667,0.68128
0.683466666666667,0.677026666666667,0.710546666666667
0.591253333333333,0.713286666666667,0.55854
0.687966666666667,0.69232,0.63518
0.660513333333333,0.723753333333333,0.741973333333333
0.7106,0.655026666666667,0.713726666666667
0.6282,0.777353333333333,0.620786666666666
0.68558,0.754573333333333,0.633166666666667
0.668926666666667,0.64708,0.678733333333333
0.74478,0.631626666666667,0.66546
0.648206666666667,0.728933333333333,0.655213333333333
0.618546666666667,0.662573333333333,0.76944
0.691193333333333,0.680313333333333,0.70208
0.72336,0.744173333333333,0.720386666666667
0.60352,0.491233333333333,0.749466666666667
0.698893333333333,0.67488,0.653066666666667
0.62954,0.665086666666667,0.674253333333333
0.69416,0.714253333333333,0.632026666666667
0.6978,0.656593333333333,0.67112
0.72,0.71746,0.662426666666667
0.701846666666667,0.660466666666667,0.759813333333333
0.71102,0.618073333333333,0.69034
0.686206666666667,0.720966666666667,0.622173333333333
0.522306666666667,0.666653333333333,0.587033333333333
0.695773333333333,0.54208,0.660326666666667
0.716733333333333,0.653986666666667,0.669473333333333
0.6699,0.632646666666667,0.642393333333333
0.6972,0.68048,0.585873333333333
0.6592,0.672473333333333,0.65412
0.670226666666667,0.51078,0.63426
0.61762,0.609426666666667,0.595953333333333
